score,relative_path,suffix,size,sha1_head,tags,name_hits,content_hits,reference_hits,mp_QueryName,mp_ScriptName,ActivationRadius
89,content/dlc/zombiepack/gringos/dlc_mexico_crossing1.xml,.xml,5049,D91A366CD7CB7032F8E0E2B65DB4F6F763BB47D9,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_mexico_crossing2.xml,.xml,5049,268AAD3CA9C5231506CAF2F70DB138C2106C43E2,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_mexico_crossing3.xml,.xml,5049,373AC456B201C157D6BCB4096B7E178EDDEFDC74,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_mexico_crossing_b1.xml,.xml,5074,142669C3A7CA393F53A276FFB25C435CBDF08411,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_mexico_crossing_b2.xml,.xml,5071,40A708E64696FF48BF111768FDB6A2BBD4E5F9B9,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_mexico_crossing_z1.xml,.xml,4785,4E54802A3C668F7260A205EFDA904E45EDD26E83,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_mexico_crossing_z2.xml,.xml,4785,77E600A7D7676B8EFF2E9F360424F32D69FAE398,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_mother_superior_waiting.xml,.xml,5772,9471E26AE1F3D2B23B9BE7A4F584D9E6BE953D64,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_mourn_dead_body.xml,.xml,9905,B318508B348118A6977BA437AFE000A00CD8ADC4,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_mourn_suicide.xml,.xml,9893,7493C6CB815655F9F78E7B4F1E91346D541B723D,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0
