score,relative_path,size,sha1,mp_QueryName,mp_ScriptName,ActivationRadius,bCritical,bMaintainState,bLargeScript
20,content/dlc/zombiepack/gringos/dlc_mexico_crossing_b2.xml,5071,40A708E64696FF48BF111768FDB6A2BBD4E5F9B9,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_mexico_crossing_z1.xml,4785,4E54802A3C668F7260A205EFDA904E45EDD26E83,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_mexico_crossing_z2.xml,4785,77E600A7D7676B8EFF2E9F360424F32D69FAE398,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_mother_superior_waiting.xml,5772,9471E26AE1F3D2B23B9BE7A4F584D9E6BE953D64,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_mourn_dead_body.xml,9905,B318508B348118A6977BA437AFE000A00CD8ADC4,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_mourn_suicide.xml,9893,7493C6CB815655F9F78E7B4F1E91346D541B723D,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_mourn_suicide_original.xml,5754,51AFE5DE1927F427B573D28707406AE5A61F9451,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_nun_bencha.xml,5029,4D558F685A18B31D07F398B45F92771E31A64325,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_nun_benchb.xml,5029,6558AF2A7EF28F7E4BE931FAD7ED26F21AEF0829,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_nun_benchc.xml,5029,C6CFFBA89A5087C15AC75C271F93A05A62749D00,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_outbreak3.xml,4750,EB36778F19759F8823C4EE6BE60E7C71612C257F,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_player_burn_coffin.xml,10554,AE46002053C0F276C0B95D2F7D407AE26AE5F903,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\DLC_player_burn_coffin,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_rand_idle_sit_ground_player.xml,5359,F03B312AE56969B87D984A4E91ACD64FA22D6BD0,AttachProp,content\scripting\gringo\CommonScripts\Rand_Idle_Sit_Ground_Player,10.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_rcm_mother_superior.xml,9332,B1930E49BA9E55DD3F2A70E769A4EDFF906AF46F,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_robber_struggle.xml,9894,4D1E7D17E74EDEA84770472F82DCF13FE5879798,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_sasquatch2.xml,4754,A4EDA823DF73A80DEC66B7991223FF4D9F43025C,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_stand_kneelvomit_n_any.xml,3848,777F137CF5583A2E59ACAC1B19362051EEFF1D89,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,true,true,false
20,content/dlc/zombiepack/gringos/dlc_survivor_fight.xml,5046,31EFBBB70F50E52E10F0C3794AB8E475120BB113,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_survivor_kneel_rfl.xml,5037,B85C0FD14241090DCB6F7C5A877399FE7A68C128,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_survivor_low_wall_rfl.xml,5046,8D6B4367104F367CD81EE63A4CD202459042F856,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_survivor_roof_rfl.xml,5034,D687C6587B304C434124354BC1A160B4CB9A0328,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_survivor_stand_rfl.xml,5037,E15F9756F7D7F6A0FA15080F5B40D6A4425D551A,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_survivor_window_rfl.xml,5040,90F15F1E5774C624636155B8A13E326B37DDB524,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/dlc_unforgiven.xml,9868,C1BCB637A0D1CBBA719FAE0BC4D4B297D567024D,SpeechConts,content\scripting\gringo\CommonScripts\GenericGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/holyrelic.xml,1230,9626C048FB0E3E55D1E8C41C8A722C07DBE9AD22,UseAnim,content\DLC\ZombiePack\gringos\Scripts\Holy_Relic,0.0,false,true,false
20,content/dlc/zombiepack/gringos/horse_deed_death_z.xml,1111,9FA78988429EF9E529B312F73CC02807A2ABB95C,ItemAttribs,content\scripting\gringo\ItemScripts\Horse_Deed,0.0,false,true,false
20,content/dlc/zombiepack/gringos/horse_deed_famine_z.xml,1114,CF40EB3728B60C01ED897336FD47280288D48264,ItemAttribs,content\scripting\gringo\ItemScripts\Horse_Deed,0.0,false,true,false
20,content/dlc/zombiepack/gringos/horse_deed_pestilence_z.xml,1126,F7B546413B2544F303550944788F7CA29FD9CD4F,ItemAttribs,content\scripting\gringo\ItemScripts\Horse_Deed,0.0,false,true,false
