offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
42599,0xA667,99,branch_candidate,jump_false,3,63 04 82,1154,43756
42615,0xA677,99,branch_candidate,jump_false,3,63 04 72,1138,43756
42625,0xA681,102,branch_candidate,jump_le,3,66 04 68,1128,43756
42700,0xA6CC,99,branch_candidate,jump_false,3,63 00 12,18,42721
42706,0xA6D2,85,call_candidate,call2,3,55 6B F6,27638,70347
42713,0xA6D9,84,call_candidate,call2,3,54 10 1B,4123,46839
42718,0xA6DE,98,branch_candidate,unconditional_jump,3,62 04 0B,1035,43756
42733,0xA6ED,99,branch_candidate,jump_false,3,63 00 21,33,42769
42740,0xA6F4,85,call_candidate,call2,3,55 6B F6,27638,70381
42747,0xA6FB,84,call_candidate,call2,3,54 10 1B,4123,46873
42754,0xA702,85,call_candidate,call2,3,55 6B F6,27638,70395
42761,0xA709,84,call_candidate,call2,3,54 10 1B,4123,46887
42766,0xA70E,98,branch_candidate,unconditional_jump,3,62 03 DB,987,43756
42782,0xA71E,99,branch_candidate,jump_false,3,63 00 2F,47,42832
42789,0xA725,85,call_candidate,call2,3,55 6B F6,27638,70430
42796,0xA72C,84,call_candidate,call2,3,54 10 1B,4123,46922
42803,0xA733,85,call_candidate,call2,3,55 6B F6,27638,70444
42810,0xA73A,84,call_candidate,call2,3,54 10 1B,4123,46936
42817,0xA741,85,call_candidate,call2,3,55 6B F6,27638,70458
42824,0xA748,84,call_candidate,call2,3,54 10 1B,4123,46950
42829,0xA74D,98,branch_candidate,unconditional_jump,3,62 03 9C,924,43756
42847,0xA75F,99,branch_candidate,jump_false,3,63 00 3D,61,42911
42854,0xA766,85,call_candidate,call2,3,55 6B F6,27638,70495
42861,0xA76D,84,call_candidate,call2,3,54 10 1B,4123,46987
42868,0xA774,85,call_candidate,call2,3,55 6B F6,27638,70509
42875,0xA77B,84,call_candidate,call2,3,54 10 1B,4123,47001
42882,0xA782,85,call_candidate,call2,3,55 6B F6,27638,70523
42889,0xA789,84,call_candidate,call2,3,54 10 1B,4123,47015
42896,0xA790,85,call_candidate,call2,3,55 6B F6,27638,70537
42903,0xA797,84,call_candidate,call2,3,54 10 1B,4123,47029
42908,0xA79C,98,branch_candidate,unconditional_jump,3,62 03 4D,845,43756
42927,0xA7AF,99,branch_candidate,jump_false,3,63 00 3D,61,42991
42934,0xA7B6,85,call_candidate,call2,3,55 6B F6,27638,70575
