term,offset,offset_hex,status,reason
ActorEnum,11050,0x2B2A,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
ActorEnum,12724,0x31B4,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
ItemAttribs,12267,0x2FEB,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
own_new_horse,11182,0x2BAE,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SettingPlayerHorse,13288,0x33E8,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
NewPlayerHorse_Wipe,13320,0x3408,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
WasPlayerMount,12892,0x325C,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
ItemSave,224,0xE0,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
ItemSave,258,0x102,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
ItemSave,11214,0x2BCE,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
