likely_region,mp_sector_name,mp_source_file,sp_candidate_count,first_sp_candidates
avatarpicker,mp_avatarpicker_conf_lobby,multiplayer/freemode/freemode.wsc,1,mp_avatarpicker
avatarpicker,mp_avatarpicker_conf,multiplayer/freemode/freemode.wsc,1,mp_avatarpicker
tutorial,MP_Tutorial,multiplayer/freemode/freemode.wsc,1,mp_tutorial
tutorial,MP_Tutorial,multiplayer/freemode/freemode.wsc,1,mp_tutorial
tutorial,MP_Tutorial,multiplayer/freemode/freemode.wsc,1,mp_tutorial
defend,MP_DEFEND,multiplayer/freemode/freemode.wsc,1,MP_DEFEND
defend,MP_DEFEND,multiplayer/freemode/freemode.wsc,1,MP_DEFEND
defend,MP_DEFEND,multiplayer/freemode/freemode.wsc,1,MP_DEFEND
defend,MP_DEFEND,multiplayer/freemode/freemode.wsc,1,MP_DEFEND
defend,MP_DEFEND,multiplayer/freemode/freemode.wsc,1,MP_DEFEND
defend,MP_DEFEND,multiplayer/freemode/freemode.wsc,1,MP_DEFEND
spectatormk2,mp_spectatorMk2,multiplayer/freemode/freemode.wsc,1,mp_spectatormk2
defend,MP_DEFEND,multiplayer/freemode/freemode.wsc,1,MP_DEFEND
killstreak,MP_KillStreak_Icon,multiplayer/freemode/freemode.wsc,1,MP_KILLSTREAK
killstreak,MP_KillStreak_Icon_128,multiplayer/freemode/freemode.wsc,1,MP_KILLSTREAK
killstreak,MP_KillStreak_Icon,multiplayer/freemode/freemode.wsc,1,MP_KILLSTREAK
killstreak,MP_KillStreak_Icon_128,multiplayer/freemode/freemode.wsc,1,MP_KILLSTREAK
killstreak,MP_KillStreak_Icon,multiplayer/freemode/freemode.wsc,1,MP_KILLSTREAK
tdm,MP_TDM_Icon,multiplayer/freemode/freemode.wsc,1,MP_TDM
dm,MP_DM_Icon,multiplayer/freemode/freemode.wsc,1,MP_DM
help,mp_Help_Barker,multiplayer/PR_Multiplayer.wsc,1,mp_help
transport,mp_transport,multiplayer/PR_Multiplayer.wsc,1,mp_transport
help,mp_help,multiplayer/PR_Multiplayer.wsc,1,mp_help
ffa,mp_ffa,multiplayer/PR_Multiplayer.wsc,7,FFA_Barker; mp_ffa; mp_ffa; MP_FFA; MP_FFA_HC; MP_FFA_V
defend,MP_DEFEND,multiplayer/PR_Multiplayer.wsc,1,MP_DEFEND
rezbuddy,mp_rezBuddy,multiplayer/multiplayer_system_thread.wsc,1,MP_RezBuddy
killstreak,mp_killstreak_ended,multiplayer/multiplayer_system_thread.wsc,1,MP_KILLSTREAK
killstreak,mp_killstreak_level1,multiplayer/multiplayer_system_thread.wsc,1,MP_KILLSTREAK
killstreak,mp_killstreak_level2,multiplayer/multiplayer_system_thread.wsc,1,MP_KILLSTREAK
killstreak,mp_killstreak_level3,multiplayer/multiplayer_system_thread.wsc,1,MP_KILLSTREAK
death,mp_death_expert,multiplayer/multiplayer_system_thread.wsc,1,MP_DEATH
death,mp_death_casual,multiplayer/multiplayer_system_thread.wsc,1,MP_DEATH
death,mp_death_mule,multiplayer/multiplayer_system_thread.wsc,1,MP_DEATH
death,mp_death_horse,multiplayer/multiplayer_system_thread.wsc,1,MP_DEATH
death,mp_death_bull,multiplayer/multiplayer_system_thread.wsc,1,MP_DEATH
death,mp_death_mount,multiplayer/multiplayer_system_thread.wsc,1,MP_DEATH
killstreak,MP_KillStreak_Icon_128,multiplayer/multiplayer_system_thread.wsc,1,MP_KILLSTREAK
killstreak,mp_killstreak_personal,multiplayer/multiplayer_system_thread.wsc,1,MP_KILLSTREAK
rezbuddy,MP_RezBuddy,multiplayer/multiplayer_update_thread.wsc,1,MP_RezBuddy
spectatormk2,mp_spectatorMk2,multiplayer/multiplayer_update_thread.wsc,1,mp_spectatormk2
tutorial,mp_tutorial,multiplayer/multiplayer_update_thread.wsc,1,mp_tutorial
save,MP_Save,multiplayer/multiplayer_update_thread.wsc,2,MP_Save; MP_Save
killstreak,MP_KillStreak_Icon,multiplayer/multiplayer_update_thread.wsc,1,MP_KILLSTREAK
tdm,MP_TDM_Icon,multiplayer/multiplayer_update_thread.wsc,1,MP_TDM
dm,MP_DM_Icon,multiplayer/multiplayer_update_thread.wsc,1,MP_DM
