categories,relative_path,path,name,extension,size,sha1,match_reasons,matched_terms,line_hits,strings_sample,metadata
cutscenes,cutscene\intro_sequence_1\0x07C8F8A9,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x07C8F8A9,0x07C8F8A9,<none>,515438,dc5c8c06d911bfd24d97ee4c2989312141ade0b6,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""hhh@"", ""q<`b"", ""|5x"", ""O>^g"", ""8>%)"", ""PIqT"", ""1:(C"", ""3%+`"", ""]*8?"", "",UZv\\0@"", "">N+^"", ""=i]-"", ""acLD"", ""g68Z"", ""\""5(:"", ""0y8s"", ""j&vF"", ""K#`bU?0"", "":A]`'3"", ""bbaBss"", ""F L/-"", ""6Yuls"", ""w)1J"", "";=:#:"", ""c#KuI"", ""sb6["", ""|v*N{"", ""zp^!"", ""F;z("", "",c@l"", ""c=Hzx91T"", ""PFqiV"", ""hml_"", ""=<$\\"", ""!^W;M"", ""GN|@$W"", ""0}*G"", ""6MEw"", ""H8;q"", ""kg4waS""]",{}
cutscenes,cutscene\intro_sequence_1\0x07D8B276,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x07D8B276,0x07D8B276,<none>,167251,2318b1b78af4aef703a8d6b661ae9291a582e5ca,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""4J7HwKwIH"", ""=09h"", ""#Z+("", ""NuC)"", ""_P+E3+"", "">Qg/"", ""_2iU"", ""[3S`y"", ""I:gsU"", ""CTy["", ""^}!B"", ""u1p7"", ""<e}}<"", ""{|$=ovsS2"", ""Nc8>"", ""J>\\;N"", ""=r{F"", ""[6,Vs"", ""(P\\"", ""\""mQj|"", ""BT]"", ""S_pV5SM+"", "">6Kh'"", ""G4fQPwt"", ""\"",1he(q"", ""zuo|C_SG"", ""Mesc"", ""l%N*"", ""x2`|"", ""5;t4+"", ""7tro_"", ""B7b4"", ""eBcl"", ""kLf-"", ""+_O#*"", ""Rd?v"", ""wS:N"", ""IMz)"", ""#6c!So"", ""lLPo)""]",{}
cutscenes,cutscene\intro_sequence_1\0x37662ED5,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x37662ED5,0x37662ED5,<none>,357359,53e0c5e53b0826201e549fbf45eae7703a1238c4,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""%IFr"", ""\""9.HN"", ""\""QDAQ@@@"", ""tuUuM"", ""_,CA"", ""AC=Z"", ""H8F$"", ""1DA]"", ""g&@T"", ""0Nu:"", ""7p1h"", ""yq<Sq"", ""w8E<97"", ""q8OI"", ""xk*z"", "":UN=k"", ""B~\\7"", ""U= b!jWf"", ""c;YR"", ""/m)."", ""adMU"", "";5:L"", "":3#\"""", ""vY6&7"", ""7}x>"", ""I^w*"", ""y&ySi"", "")mnn"", ""GzUe"", ""Tv}0"", ""+KuJ)|"", ""HR:hx"", ""c2ck"", ""4etd"", ""T)8<"", ""bNy|"", ""gJ-k"", ""qujy"", ""17X*U"", ""iL}v""]",{}
cutscenes,cutscene\intro_sequence_1\0x57D4E47B,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x57D4E47B,0x57D4E47B,<none>,539247,5a78eeab9db670923ade9f087864f59a839818b9,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""PT:E"", ""8@!`b"", ""GAX("", ""tYCA"", ""f(h34"", ""VNI>"", ""+'VMwo"", ""yd\\w"", ""S.c&G"", ""\\&|O\\"", ""%\\ej"", ""nT6h"", ""Pk0"", ""l18$"", ""\""A}|"", ""m?|_"", ""rBSCe"", ""#TSl"", ""n=YV%OH?{"", ""^W{]"", ""M_w`"", ""P?-h-r\"""", ""s<gz"", ""VOx=W>"", ""AA\""+rc/"", ""%C &"", "";8&9"", ""#,$p"", ""wCZ/"", ""ox#W"", ""QrnJ"", ""XF.x"", ""k%:;I"", "")%SJmF%"", ""A2ta"", ""0Ax["", ""mcZ+2"", ""Weu?"", ""n(\\M"", ""CB_(g""]",{}
cutscenes,cutscene\intro_sequence_1\0x59939AFB,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x59939AFB,0x59939AFB,<none>,565609,33d5f46426ad7bb68e9145e20cbc1fb3ba6e9268,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"["",e;$$tDB*k"", ""97b2n"", ""D!Fq"", "".@zF0_"", ""]78Ow8"", ""\""a]$"", ""fu)Z"", ""YT48"", ""k^/h"", "".98/5"", ""ndFo$e]cq{Wz"", ""7V|y"", ""q$g%Z"", ""&jI`J"", ""C`P{"", ""|o!v\"""", ""\\]SIRu"", ""!y&Jd8"", ""JSbc"", ""<i|#"", ""Q)JcX"", ""0GqJ1"", ""[891A"", ""{>b6"", ""?GfA"", ""s$>2r-"", ""lO/|z"", ""ro\\^"", ""?\\bO"", ""V}j!"", ""NvGXK)>P.&"", ""wygZT"", "">H;w"", ""~S;W"", ""W_A|"", ""i,C^"", ""$s6W"", "")g_E"", ""]2?VO"", ""J<k}""]",{}
cutscenes,cutscene\intro_sequence_1\0xC01B9D88,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0xC01B9D88,0xC01B9D88,<none>,306659,976ccecb00566f300231a477def09c3812df5f0c,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"["">twJwKw+-q"", ""D688"", ""\""_FB"", ""2T#!& g"", ""_@IH"", ""`'C"", ""65FB"", ""DB62"", ""rwGB"", ""'ca_"", ""%o+\\Tf"", ""W7_<c"", ""w9NP"", ""`Yk'{~"", ""l;M6A"", "";|]M"", ""^]u)"", ""!\\K}["", ""KE8z"", ""p)gW"", "";1ae"", ""UG(="", ""Y]P}"", ""Z_Sw"", ""hIk{"", ""%-,`="", ""}r`v"", ""R&gv"", ""lKi@"", ""r4R="", ""b9nqQ"", ""e>u6"", ""RrSZ"", ""+MPS"", ""?])@"", ""B`OJ"", ""4#A!*"", "";38uu"", ""s&Q."", ""sUxNOG""]",{}
cutscenes,cutscene\intro_sequence_1\0xEE5E8FAF,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0xEE5E8FAF,0xEE5E8FAF,<none>,182527,db1e786cb9e073dab1b5e21d597c1bdf150d3edb,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""x (B0"", ""i{P?"", ""[4>I"", ""OL4U"", ""\""2U7"", ""h{7s"", ""=\""2Q;"", ""KLl)"", ""j O>"", ""c2H~"", ""]3_A"", ""4cx)c"", ""YOxd"", ""S(QP"", ""X>C:G"", ""P5]#if"", ""kr+}"", ""*\\K2"", ""|&N2{"", ""{[SQ"", ""QDtYdn"", "">\""dL"", ""~M`y"", ""NL8D"", ""Gh!oi]"", ""(v<<"", ""t|7Ke"", ""p9c5"", ""*;OZG"", ""g!v;"", ""1?\""n"", ""o@4!"", ""U9bt"", ""m5y,+"", ""fo)a"", ""e?5#6"", ""<:#n"", ""}]{y"", ""sbC}"", ""9A>#""]",{}
cutscenes,cutscene\intro_sequence_1\intro_sequence_1.cutbin,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\intro_sequence_1.cutbin,intro_sequence_1.cutbin,.cutbin,28594,0f17ae95441a2a55b972ed7b1cf4609447013a0f,cutscenes:cutbin;cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutbin;cutscene;intro_sequence,[],"[""RBF0"", ""rage__cutfCutsceneFile2"", ""fTotalDuration"", ""cFaceDir"", ""t:\\rdr2\\assets\\animationMakeClip\\cutscene_face\\INTRO_Sequence_1"", ""iCutsceneFlags"", ""content"", ""int_array"", ""vOffset3CUD"", ""fRotation"", ""cExtraRoom"", ""vExtraRoomPos"", ""pCutsceneObjects"", ""Item"", ""type"", ""rage__cutfAssetManagerObject"", ""iObjectId"", ""attributeList"", ""rage__cutfAnimationManagerObject"", ""rage__cutfCameraObject"", ""cName"", ""ExportCamera"", ""fNearDrawDistance"", ""fFarDrawDistance"", ""rage__cutfPropModelObject"", ""p_gen_signDepartures01x:root"", ""cAnimExportCtrlSpecFile"", ""cAnimCompressionFile"", ""vStartPosition"", ""K%?'"", ""vStartRotationQuaternion"", ""vEndPositionZ09?"", ""o?&Mm"", ""vEndRotationQuaternion"", ""rage__cutfPedModelObject"", ""Bandana"", ""value"", ""PLAYER_cs:character_root"", ""Ped_Model_Default_Spec.xml"", ""Ped_Model_Default_Compress.txt""]",{}
cutscenes,cutscene\intro_sequence_2\0x07C8F8A9,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_2\0x07C8F8A9,0x07C8F8A9,<none>,866935,7de240fac2a23f6abb7b0ec6fb1156322b9cd374,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""HHwww7"", ""ovf~"", ""= @t7"", ""s~P"", ""Ox=\"""", ""]~Z4|I#"", ""Kc_SZ"", ""0JwbH"", ""mlTy"", ""`PKu"", ""^fZRH"", ""5_n~"", ""ECd4Ix:g"", ""D3`n"", ""bV+Q"", ""2l\""=\""R"", ""QdM0"", "":]j:6k"", "",q\\R"", ""kU:W"", ""1G8VS"", ""pa__9$o"", ""C[&I"", ""q|=0"", ""Vx_p"", ""<dBda"", ""{|2Y"", ""y~^u"", ""e(h_"", ""%Zy8"", ""Fe]%"", ""FwHP"", ""kV`<q=q"", ""W\""rx"", ""()#0N"", ""Cc_w(i"", ""{aG,`n"", ""*/3e"", ""aA2P."", ""/vwWy""]",{}
cutscenes,cutscene\intro_sequence_2\0x57D4E47B,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_2\0x57D4E47B,0x57D4E47B,<none>,556520,f77c73c82f4e9dba19928a36896fddeb28d17174,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""!Bp$"", ""C|I"", ""t YI"", ""Y;nh3"", ""'zla"", ""5eUR"", ""j04R"", ""v<s_%N"", ""\""At)"", ""Lzep"", ""KZ>:"", ""5o$w"", ""O92ut"", ""ij#}"", ""^x+Y"", ""g/-^"", ""J'1JIZ"", ""[f]ac"", ""myW?m"", ""3D!g\"""", ""*!,71"", ""G|$c"", ""e3E*"", ""j$s=p"", ""~5x"", ""[6Z="", ""0iA\"""", ""\\9ET"", ""8OIn%B"", ""}aJ."", ""O\\<6,3"", ""6Rvm"", ""pW7F"", ""P[1<5"", ""Uns&:"", ""Xv\""B4"", ""|9\\-"", ""Y<~$["", ""=vVy)"", ""dur~O""]",{}
