term,offset,offset_hex,context_ascii,context_hex
FREEROAM,2022,0x7E6,"8.R... 8... c...9.8.R..d.>.9.,....,...R.4..c.$o.FREEROAM.7.r.R..7.?..7.?..%.7.2R.iR.Tb..8.R..d.>.9.,....",38 03 52 1D AE 08 20 38 03 8C 08 20 63 00 D1 8C 39 05 38 03 52 1D B6 64 00 3E 8A 39 03 2C 01 18 8C 08 2C 01 19 1F 52 1E 34 06 1F 63 00 24 6F 09 46 52 45 45 52 4F 41 4D 00 37 06 72 10 52 1D B6 37 06 3F 10 8A 37 06 3F 1C 8B 25 08 37 06 32 52 1D 69 52 1E 54 62 00 88 38 03 52 1D AE 64 00 3E 8A 39 03 2C 01 18 8C 08
FREEROAM,2092,0x82C,".?..%.7.2R.iR.Tb..8.R..d.>.9.,....,...R.?..c.$o.FREEROAM.7.r.R..7.?..7.?..%.7.2R.iR.Jb.B,....,...R.4R.? ",06 3F 1C 8B 25 08 37 06 32 52 1D 69 52 1E 54 62 00 88 38 03 52 1D AE 64 00 3E 8A 39 03 2C 01 18 8C 08 2C 01 19 1F 52 1E 3F 06 1F 63 00 24 6F 09 46 52 45 45 52 4F 41 4D 00 37 06 72 10 52 1D AE 37 06 3F 10 8A 37 06 3F 1C 8B 25 08 37 06 32 52 1D 69 52 1E 4A 62 00 42 2C 01 18 8C 08 2C 01 19 1F 52 1E 34 52 1E 3F 20
FREEROAM,2154,0x86A,"..7.?..7.?..%.7.2R.iR.Jb.B,....,...R.4R.? .c.""o.FREEROAM.7.r..7.?..7.?..%.7.2R.i8..d...9.R.*:E>t.e."":E>t",1D AE 37 06 3F 10 8A 37 06 3F 1C 8B 25 08 37 06 32 52 1D 69 52 1E 4A 62 00 42 2C 01 18 8C 08 2C 01 19 1F 52 1E 34 52 1E 3F 20 1F 63 00 22 6F 09 46 52 45 45 52 4F 41 4D 00 37 06 72 10 8A 37 06 3F 10 8A 37 06 3F 1C 8B 25 08 37 06 32 52 1D 69 38 03 8C 64 00 03 8A 39 03 52 1E 2A 3A 45 3E 74 8A 65 00 22 3A 45 3E 74
FREEROAM,9794,0x2642,.:EC...h.!o.mp_FRD_RunningElsewhere.:E?Xb..o.mp_FreeRoamDefense.7!r o net_barker_invite_help_specific.:E,B5 3A 45 43 05 80 8B 68 00 21 6F 18 6D 70 5F 46 52 44 5F 52 75 6E 6E 69 6E 67 45 6C 73 65 77 68 65 72 65 00 3A 45 3F 58 62 00 B2 6F 13 6D 70 5F 46 72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 00 37 21 72 20 6F 20 6E 65 74 5F 62 61 72 6B 65 72 5F 69 6E 76 69 74 65 5F 68 65 6C 70 5F 73 70 65 63 69 66 69 63 00 3A 45
FREEROAM,14642,0x3932,".8.RN.c.e8.8.=.5.8.8.=.4.>.8.RL&c.(8.8.=.5.o.MP_FreeRoamDefense_blip.,..b. 8.8.=.5.o.MP_FreeRoamDefense.",7F 38 09 52 4E 0E 63 00 65 38 09 38 00 3D 10 35 02 38 09 38 00 3D 10 34 02 3E 04 38 09 52 4C 26 63 00 28 38 09 38 00 3D 10 35 02 6F 18 4D 50 5F 46 72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 5F 62 6C 69 70 00 2C 04 80 62 00 20 38 09 38 00 3D 10 35 02 6F 13 4D 50 5F 46 72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 00
FREEROAM,14682,0x395A,".5.o.MP_FreeRoamDefense_blip.,..b. 8.8.=.5.o.MP_FreeRoamDefense.,..b..8.R..c..8.8.=.5....)>...,..8.8.=.5",10 35 02 6F 18 4D 50 5F 46 72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 5F 62 6C 69 70 00 2C 04 80 62 00 20 38 09 38 00 3D 10 35 02 6F 13 4D 50 5F 46 72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 00 2C 04 80 62 00 1B 38 09 52 11 A0 63 00 13 38 09 38 00 3D 10 35 02 95 95 95 29 3E CC CC CD 2C 0A 81 38 09 38 00 3D 10 35
FREEROAM,16830,0x41BE,"ker.%........,.;8.?.b..8.RN.c..R..c.eR3.c.1o.mp_FreeRoamDefense_Disabled.%........,.;8.?.b.+o.mp_FreeRoa",6B 65 72 00 25 1E 8F 8B 8B 8B 8B 8A 8B 2C 13 3B 38 00 3F 08 62 02 86 38 01 52 4E 0E 63 01 2E 52 19 04 63 00 65 52 33 8A 63 00 31 6F 1C 6D 70 5F 46 72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 5F 44 69 73 61 62 6C 65 64 00 25 1E 8F 8B 8B 8B 8B 8A 8B 2C 13 3B 38 00 3F 08 62 00 2B 6F 19 6D 70 5F 46 72 65 65 52 6F 61
FREEROAM,16879,0x41EF,"reeRoamDefense_Disabled.%........,.;8.?.b.+o.mp_FreeRoamDefense_claim.%........,.;8.?.b..o.mp_barkerLoca",72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 5F 44 69 73 61 62 6C 65 64 00 25 1E 8F 8B 8B 8B 8B 8A 8B 2C 13 3B 38 00 3F 08 62 00 2B 6F 19 6D 70 5F 46 72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 5F 63 6C 61 69 6D 00 25 1E 8F 8B 8B 8B 8B 8A 8B 2C 13 3B 38 00 3F 08 62 00 C0 6F 12 6D 70 5F 62 61 72 6B 65 72 4C 6F 63 61
FREEROAM,16983,0x4257,"tion.8.j.3.=.4.=.,.^,.ho.mp_barkerRotation.o.mp_FreeRoamDefense.,.^,.h8.7.7.R@..e.5o mp_barker_fmt_speci",74 69 6F 6E 00 38 01 6A 01 33 19 3D C4 34 0A 3D 14 2C 03 5E 2C 04 68 6F 12 6D 70 5F 62 61 72 6B 65 72 52 6F 74 61 74 69 6F 6E 00 6F 13 6D 70 5F 46 72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 00 2C 03 5E 2C 04 68 38 01 37 04 37 05 52 40 1A 8B 65 00 35 6F 20 6D 70 5F 62 61 72 6B 65 72 5F 66 6D 74 5F 73 70 65 63 69
FREEROAM,17635,0x44E3,...-....8.9.8.9..R..n...................b.3o.mp_FreeRoamDefense_tis..o.mp_FRD_UpForGrabs_TIS..RGwc.Qo.Ge,2E 04 01 2D 02 00 04 00 38 00 39 00 38 01 39 01 8D 52 19 1C 6E 03 FF FF FF FF 00 0F FF FF FF FD 00 09 FF FF FF FE 00 1D 62 00 33 6F 17 6D 70 5F 46 72 65 65 52 6F 61 6D 44 65 66 65 6E 73 65 5F 74 69 73 00 83 6F 16 6D 70 5F 46 52 44 5F 55 70 46 6F 72 47 72 61 62 73 5F 54 49 53 00 83 52 47 77 63 00 51 6F 15 47 65
