offset,offset_hex,length,text,population_term
17547,0x448B,21,HAS_VIRAL_ACHIEVEMENT,
17575,0x44A7,17,COMBATMODE_CASUAL,
17599,0x44BF,17,COMBATMODE_EXPERT,
17623,0x44D7,15,IN_ACTOR_PICKER,
17645,0x44ED,13,MELEE_BLOCKED,
17665,0x4501,10,BLIND_FIRE,
17682,0x4512,24,FREE_MODE_DEFENSE_ACTIVE,
17713,0x4531,17,PLAYER_IS_GRIEFER,
17737,0x4549,22,CANNOT_AFFORD_MINIGAME,
17766,0x4566,29,FREE_MODE_DEFENSE_SPOONHOLDER,
17802,0x458A,7,UNKNOWN,
17855,0x45BF,4,"R;,8",
17995,0x464B,4,R:H+,
18045,0x467D,12,<MP_DEFEND> ,
18067,0x4693,8,<SPACE> ,
18093,0x46AD,5,--:--,
18163,0x46F3,4,RGu7,
18184,0x4708,4,RGu7,
18207,0x471F,4,RGu8,
18231,0x4737,4,RGu%,
18253,0x474D,5,RGu+8,
18272,0x4760,4,RGuo,
18277,0x4765,7,<SKULL>,
18371,0x47C3,49,>o/Tried to get genfloat from not-yet-valid slot ,
18562,0x4882,11,Common_Null,
18580,0x4894,13,mp_plist_name,
18610,0x48B2,4,RGuo,
18615,0x48B7,15,FRD_StakeHolder,
18636,0x48CC,4,RGuo,
18641,0x48D1,15,mp_plist_region,
18662,0x48E6,4,RGuo,
18667,0x48EB,18,mp_plist_score_alt,
18696,0x4908,4,RGuo,
18701,0x490D,14,mp_plist_posse,
18721,0x4921,4,RGuo,
18726,0x4926,11,mp_plist_mw,
18741,0x4935,4,RIc8,
18756,0x4944,4,RGuo,
18761,0x4949,11,Common_Null,
19009,0x4A41,4,c+~-,
19173,0x4AE5,18,out_of_bounds_time,
19212,0x4B0C,18,out_of_bounds_time,
19248,0x4B30,18,out_of_bounds_time,
19346,0x4B92,18,out_of_bounds_time,
19375,0x4BAF,18,out_of_bounds_time,
19396,0x4BC4,5,"5+;*,",
19753,0x4D29,5,RM-z-,
19800,0x4D58,4,RM_b,
19897,0x4DB9,4,c+z-,
19985,0x4E11,4,RN%c,
20042,0x4E4A,52,;o2IS_ACTOR_AGGROING_ACTOR got the same actor twice!,
20488,0x5008,5,R'\~-,
20637,0x509D,4,RVv8,
20644,0x50A4,5,VlRV`,
20723,0x50F3,4,RRbm,
20739,0x5103,4,+%N8,
20747,0x510B,4,+%Mm,
20757,0x5115,4,+%Pm,
21116,0x527C,11,Common_Null,
21148,0x529C,5,XpHud,
21159,0x52A7,12,XpMultiplier,
21180,0x52BC,5,XpHud,
21191,0x52C7,19,mp_killchain_header,
21213,0x52DD,5,sn_kc,
21225,0x52E9,5,RV6RT,
21297,0x5331,8,RSQRS8~-,
21361,0x5371,4,RTej,
21368,0x5378,7,RTA%%RO,
21490,0x53F2,4,4`?|,
21532,0x541C,5,RT z-,
21770,0x550A,4,RV'8,
21797,0x5525,5,_info,
21825,0x5541,4,_num,
21858,0x5562,8,PVP_num2,
21889,0x5581,8,PVP_num3,
21914,0x559A,4,RV'7,
22172,0x569C,12,freemodetest,
22185,0x56A9,4,RW>9,
22210,0x56C2,4,-)=L,
22223,0x56CF,25,Registering Net Script...,
22343,0x5747,4,blah,
22369,0x5761,4,j[$<,
22464,0x57C0,5,W&OYY,
22514,0x57F2,4,;2mB,
22618,0x585A,7,H29&#/I,
22751,0x58DF,5,2 7@m,
22761,0x58E9,5,W'H(R,
22860,0x594C,4,lu-',
22987,0x59CB,5,)y.>V,
23004,0x59DC,4,cO3c,
23075,0x5A23,4,$k\v,
23084,0x5A2C,4,`Ux>,
23144,0x5A68,4,!\Oy,
23291,0x5AFB,4,",7bi",
23316,0x5B14,5,1#y[i,
