score,path,suffix,size,terms,excerpt
160,research/modified_xml/placementglobals_15_50_rival_gang_towns.xml,.xml,31145,criminal|gang|lawman,L48: <Name>beacon_escort_criminals</Name>
160,research/CodeRed_USArmy_Companion_AI_Research_Pass12.txt,.txt,10440,criminal|enemy|faction relation|factionrelation|factionrelations|gang|marshal|relation,"L3: Scope: Check companion/follow AI, cutscene/mission references, faction relations, and safe routes for a 4-man US Army horseback bodyguard group."
120,research/faction_wars/FW_TARGET_PLAN.md,.md,42068,factionrelation|factionrelations|gang|hostile|marshal|relation,"L17: Use tune/content/resource patches to increase law/gang pressure, awareness, lasso/hogtie, dogs, weapons, and event density. This is the safest live path."
120,research/CodeRed_Behavior_File_Findings_Pass05_Research.txt,.txt,5672,enemy|factionrelation|factionrelations|gang|hostile|relation,L63: Contains commented-out LAW_HOSTILE and Hostile behavior reactions:
110,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/content_cutscene_vehicle_entries.csv,.csv,57527,bandit|bandito|marshal,"L57: root/content/release64/scripting/gringo/commonscripts/bandito_harass.wsc,.wsc,8895,True,2,RSC-compiled-or-non-zstd:52534385,,,compiled/high-entropy script resource; string token scan is not reliable"
100,research/15_50_rival_gang_towns_report.json,.json,4593,factionrelation|factionrelations|gang|lawman|relation,"L2: ""stage"": ""15_50_rival_gang_towns"","
100,research/15_40_all_towns_active_report.json,.json,4453,factionrelation|factionrelations|gang|lawman|relation,"L32: ""root/content/ambient/factionrelations.xml"": true,"
100,research/15_30_cumulative_blackwater_lasso_report.json,.json,3889,factionrelation|factionrelations|gang|lawman|relation,"L18: ""root/content/ambient/factionrelations.xml"": true,"
100,research/15_00_pass12_base_report.json,.json,3870,factionrelation|factionrelations|gang|lawman|relation,"L18: ""root/content/ambient/factionrelations.xml"": true,"
100,data/codered/script_workshop_extension_manifest.csv,.csv,1579664,criminal|enemy|gang|hostile|lawmen,"L4: data/codered/ai_menu_bridge_integration_manifest.json,.json,source_text,editable_source,1255,62095aa4458ab7d4d0571112b7edc2b8c9905bb6,related_apps/CodeRED_Script_Workshop/workspace/read/data__codered__ai_menu_bridge_integration_manifest.jso"
80,research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv,.csv,173869,bandit|bandito|marshal|relation,"L156: 0x0003E698,ItemGringo,,content\scripting\gringo\CommonScripts\bandito_harass,,content\scripting\gringo\CommonScripts\bandito_harass,0x410215CF,0x00000000,0.0,5,5,20,20,1,1,,,,,"
80,research/CodeRED_Project_Research_Master_Chat_Source_2026-04-29.md,.md,28857,gang|relation|relationship|sheriff,"L23: - The next best test is **WSI ↔ WGD Gringo correlation**, not another raw model-name swap."
80,docs/CodeRED_Living_World_Station_Prep.md,.md,3021,gang|lawman|relation|sheriff,L32: - rowdy gangs
80,README.md,.md,1312,faction relation|factionrelation|factionrelations|relation,L31: ## 2. Locate real factionrelations resources
60,research/wft_wedt_attachment_lab/model_resource_summary.csv,.csv,44174,bandit|bandito|criminal,"L5: fragments2.rpf,5,zombie_toxiccaucasiancriminal_01_medlod.wfd,root/fragments/zombie_toxiccaucasiancriminal_01_medlod.wfd,zombie_toxiccaucasiancriminal_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,182763,409600,3129fddebd"
60,research/wft_wedt_attachment_lab/fragment_bundle_map.csv,.csv,8184,bandit|bandito|criminal,"L5: fragments2.rpf,zombie_toxiccaucasiancriminal_01,root/fragments/zombie_toxiccaucasiancriminal_01.wft,root/fragments/zombie_toxiccaucasiancriminal_01_hilod.wfd,root/fragments/zombie_toxiccaucasiancriminal_01.wedt,4"
60,research/wft_wedt_attachment_lab/complete_fragment_bundles_sample.csv,.csv,4052,bandit|bandito|criminal,"L5: fragments2.rpf,zombie_toxiccaucasiancriminal_01,root/fragments/zombie_toxiccaucasiancriminal_01.wft,root/fragments/zombie_toxiccaucasiancriminal_01_hilod.wfd,root/fragments/zombie_toxiccaucasiancriminal_01.wedt,4"
60,research/wft_wedt_attachment_lab/candidate_transforms.csv,.csv,376839,bandit|bandito|criminal,"L3: fragments2.rpf,5,zombie_toxiccaucasiancriminal_01_medlod.wfd,root/fragments/zombie_toxiccaucasiancriminal_01_medlod.wfd,zombie_toxiccaucasiancriminal_01,.wfd,1,quat_translate_candidate,16,0x00000010,0.8601,0.625,0.94921875,0.08837890625,2.3"
60,research/faction_wars/FW_ACTIONABLE_TARGETS.md,.md,15244,gang|hostile|relation,L15: | 1 | FW-1 tune/content pressure | 8850 | 8725 | world host / gringo | `research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv` |  | gringobrain|vehicle_generator |
60,research/IMPORTANT_later_rpf_compare_2026-05-02/later_rpf_compare.md,.md,19881,enemy|hostile|sheriff,L71: - `0xA562A52D\0xABD6FBF8\sheriff.xml` versions=base_old_tune|live_tune|putback_tune sha1s=2 terms=camera;faction;nav;vehicle
60,research/IMPORTANT_later_rpf_compare_2026-05-02/later_rpf_changed_between_versions.csv,.csv,40608,enemy|hostile|sheriff,"L34: 0xA562A52D\0xABD6FBF8\sheriff.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:5bff1752a959a310378e4da4923fe8ebf32abc55|live_tune:d896610f75ae2d554438e006e558b8fb161636a1|putback_tune:d896610f75ae2d554438e"
60,research/CodeRed_Refgroup_Parent_File_Findings_Pass12.txt,.txt,10248,criminal|enemy|gang,L57: - gap_battleset01x/02x/enemy01x
60,reports/fragments2_wft_scan.json,.json,28757,bandit|bandito|criminal,"L9: ""path"": ""root/fragments/zombie_gore_toxicccriminal_01.wft"","
60,related_apps/Code_RED_ScriptHookRDR_AI_Menu/data/codered/npc_model_roster_v1.json,.json,5985,bandit|bandito|marshal,"L80: ""name"": ""anc_marshaldeputy_cs_hat"","
60,data/codered/script_workshop_compile_candidates.json,.json,129184,criminal|enemy|hostile,"L18: ""AI_IS_HOSTILE_OR_ENEMY"","
60,data/codered/script_pipeline_manifest.json,.json,287543,criminal|enemy|hostile,"L354: ""AI_IS_HOSTILE_OR_ENEMY"","
60,data/codered/script_pipeline_manifest.csv,.csv,172596,criminal|enemy|hostile,"L12: related_apps/code_red_sccl_attempt_bundle_v1/code_red_script_compile_lab_v1/include/RDR/natives32.h,.h,editable_source_pipeline,scratch/script_workshop_pipeline/read_full/related_apps__code_red_sccl_attempt_bundle_v1__code_red_script_compil"
60,data/codered/npc_model_roster_v1.json,.json,5985,bandit|bandito|marshal,"L80: ""name"": ""anc_marshaldeputy_cs_hat"","
40,research/wft_wedt_attachment_lab/smic_player_hand_rows.csv,.csv,15714,bandit|bandito,"L2: tune_d11generic.rpf,root/tune/settings/smictofragmap_rm.txt,607,player_bandito,2,2,smic_player_bandito_1 smic_player_default_hand_1_rm,1,0,0,0"
