source_kind,path,relative_path,scan_reason,scan_mode,size,suffix,hit_count,sha1,crc32
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_generalmenus.sc.xml.decoded.xml,root_content_ui_generalmenus.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,48838,.xml,1,22575735E4D7A3B1FB0A9AD810BAA57CFAC996BD,F175D7E1
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_hudsceneonline.sc.xml.decoded.xml,root_content_ui_net_hudsceneonline.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,8645,.xml,2,8151E6230B37FEC9CD40E817DD2BFC0CF26A91C1,40D22A18
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_main.sc.xml.decoded.xml,root_content_ui_net_profileeditor_main.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,16741,.xml,0,A326C0FFDBE1FE11FE3E6F82323A7F5DFFF05E51,4DCF3169
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_titles.sc.xml.decoded.xml,root_content_ui_net_profileeditor_titles.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,10062,.xml,0,D9889553027790C306D3A611309AA0462F914890,F33DE306
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_titles_ambient.sc.xml.decoded.xml,root_content_ui_net_profileeditor_titles_ambient.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,5149,.xml,0,5CBF45665CF38F0730CB1C85825EA01F5BE23ABE,DAFDD946
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_titles_dlc1.sc.xml.decoded.xml,root_content_ui_net_profileeditor_titles_dlc1.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,3736,.xml,0,245C2394AB4DEDBE36C90ECA87BCED60828D59C2,70FBC699
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_titles_dlc2.sc.xml.decoded.xml,root_content_ui_net_profileeditor_titles_dlc2.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,3736,.xml,0,846148E506E6CD07CF270496DDB56AFBA9613672,CFF7E266
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_titles_dlc3.sc.xml.decoded.xml,root_content_ui_net_profileeditor_titles_dlc3.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,4850,.xml,0,D9C707CFF5E32FA81254A491697F10D759D03AD1,289981F9
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_titles_dlc4.sc.xml.decoded.xml,root_content_ui_net_profileeditor_titles_dlc4.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,3845,.xml,0,27B3D09B0999EDF87B846039C8BC159CBAFB327B,9C3070DB
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_titles_pvp.sc.xml.decoded.xml,root_content_ui_net_profileeditor_titles_pvp.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,6672,.xml,0,DDAC5AD96AEA3F297C8A676AD976B14F28F6C690,B5BB629E
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_titles_stat.sc.xml.decoded.xml,root_content_ui_net_profileeditor_titles_stat.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,803,.xml,0,1C0B8086AE8CA24A388BDFB47D21DD4E4FF03C10,A60421D5
decoded_ui_scxml,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_titles_weapon.sc.xml.decoded.xml,root_content_ui_net_profileeditor_titles_weapon.sc.xml.decoded.xml,decoded UI route corpus,decoded_text,1701,.xml,0,2A4B320F4CD8FF3BA578ED2E65E6F9AF7068AA5D,C48B0711
