source,path,relative_path,path_family,name,extension,is_hash_named,size,size_mod_4,header_family,magic_hex_4,head_hex_16,head_hex_32,head_ascii_16,zstd_marker_in_first_512,zstd_marker_offset_in_first_512,compression_encryption_note,sha1,crc32,resource_type,resource_flag1_hex,resource_flag2_hex
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\funnyman\rcm_funnyman3.wsc,release64/rcm/funnyman/rcm_funnyman3.wsc,content/release64,rcm_funnyman3.wsc,.wsc,False,16521,1,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0A 00 00 90,52 53 43 85 02 00 00 00 00 00 00 80 0A 00 00 90 73 3F B4 1C 58 83 26 F9 7E 1A 9B 87 29 33 AB 3C,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,C169D6FDD44FEE0224D84478250E0E1C037F3028,61178751,2,0x80000000,0x9000000A
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\funnyman\rcm_funnyman4.wsc,release64/rcm/funnyman/rcm_funnyman4.wsc,content/release64,rcm_funnyman4.wsc,.wsc,False,17906,2,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80 CE 66 DD 5F C3 26 1F AE 2D FD C2 75 B9 68 1C C2,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,BBA9F3BBB66A9B243E22539283D8DCD0DEEE2E29,A6FABB66,2,0x80000000,0x8000000B
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\icarus\rcm_icarus1.wsc,release64/rcm/icarus/rcm_icarus1.wsc,content/release64,rcm_icarus1.wsc,.wsc,False,17798,2,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80 5B 9B 03 02 D6 51 7B 0D DF 77 BD 3B 55 FF CB 7D,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,1E9242EB15DA98788518D53726271E4F10979191,CF49D751,2,0x80000000,0x8000000B
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\icarus\rcm_icarus2.wsc,release64/rcm/icarus/rcm_icarus2.wsc,content/release64,rcm_icarus2.wsc,.wsc,False,18803,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80 CD 63 4D BE 2B A2 CA EB 36 49 EE 93 CA 35 82 34,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,4C80ACC3672CD85B5FE0A8D6A74AB944F44BA059,B45C7D70,2,0x80000000,0x8000000B
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\icarus\rcm_icarus3.wsc,release64/rcm/icarus/rcm_icarus3.wsc,content/release64,rcm_icarus3.wsc,.wsc,False,19503,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80 20 FD AE 92 19 11 D3 15 DB 15 5E 45 26 0C BC 79,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,77E48069AD198232FEFAFC2410D586273D4579C7,81818B64,2,0x80000000,0x8000000D
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\iknowyou\rcm_iknowyou1.wsc,release64/rcm/iknowyou/rcm_iknowyou1.wsc,content/release64,rcm_iknowyou1.wsc,.wsc,False,16023,3,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80 3F 6C DB DD 26 01 6B 87 CA DD 37 9C 96 50 47 DB,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,4BECD8CA3EA6923978912B5786F406D5398A1D1D,86C49953,2,0x80000000,0x80000009
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\iknowyou\rcm_iknowyou2.wsc,release64/rcm/iknowyou/rcm_iknowyou2.wsc,content/release64,rcm_iknowyou2.wsc,.wsc,False,20661,1,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80 EF 13 84 5E 90 70 DE 97 16 30 65 7F 6D F8 0D A4,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,CC662780FB0EED033BBD49840434A4B6C1FC9977,A3C626AB,2,0x80000000,0x8000000D
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\iknowyou\rcm_iknowyou3.wsc,release64/rcm/iknowyou/rcm_iknowyou3.wsc,content/release64,rcm_iknowyou3.wsc,.wsc,False,18809,1,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0B 00 00 80 57 B8 2B D0 86 12 D7 DA 74 DD F3 5C 1B 25 49 C3,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,11819875D93B694A3E3786FAD3D49F9CDA212602,2C689F52,2,0x80000000,0x8000000B
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\iknowyou\rcm_iknowyou4.wsc,release64/rcm/iknowyou/rcm_iknowyou4.wsc,content/release64,rcm_iknowyou4.wsc,.wsc,False,20398,2,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 0D 00 00 80 12 AD 91 F5 B2 0E 67 BD 91 97 2F 94 AE E6 92 F7,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,0C53C4EAE6DB0F526B61E5AA5EE0E12455F7CA1A,588946FC,2,0x80000000,0x8000000D
pc_current,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\release64\rcm\iknowyou\rcm_iknowyou8.wsc,release64/rcm/iknowyou/rcm_iknowyou8.wsc,content/release64,rcm_iknowyou8.wsc,.wsc,False,15245,1,RSC85,52 53 43 85,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80,52 53 43 85 02 00 00 00 00 00 00 80 09 00 00 80 73 7E 95 2D D0 BC EF 00 3B 41 D0 19 54 C5 84 3C,RSC.............,False,,resource wrapper; payload is normally encrypted before compressed bytes are visible,09EF84AC5A18C8F94DF4602E60D8439180F66999,72F046AF,2,0x80000000,0x80000009
