package,path,content_path,extension,size,important_restored_resource,sha1,crc32
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\dm_lsh\deathmatch_lsh.csc,content/release/multiplayer/regions/dm_lsh/deathmatch_lsh.csc,.csc,13710,False,A840B93F284F4C84A14A9B266581F0F1971D1637,00E871B2
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\dm_tum\deathmatch_tum.csc,content/release/multiplayer/regions/dm_tum/deathmatch_tum.csc,.csc,13193,False,78E14990F74ECF66869653E092D61AEB8536B1D9,2ECB052E
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\minigames\liarsdice_sb.csc,content/release/multiplayer/regions/minigames/liarsdice_sb.csc,.csc,2666,False,23C220C282522D356A4C4DD8F66952BD103CB9F5,5987111B
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\minigames\poker_sb.csc,content/release/multiplayer/regions/minigames/poker_sb.csc,.csc,2685,False,4970EC2C4A906B2891B956094424896EDAD9CCFE,8EE8D943
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\spectator\mp_spectatormk2.csc,content/release/multiplayer/spectator/mp_spectatormk2.csc,.csc,3660,False,240B7623CD384625E0DC8824EBC8C41AD1F6C8A5,3455A425
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\tutorial\mp_tutorial.csc,content/release/multiplayer/tutorial/mp_tutorial.csc,.csc,2854,False,94C820400D0045106566F2D2E95BB03B882D3628,E9183C87
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.csc,content/release64/multiplayer/action_areas/fort_mercer/fortmercermp.csc,.csc,30899,False,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,655537AD
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,content/release64/multiplayer/action_areas/gaptooth_breach/gaptoothbreachmp.csc,.csc,33109,False,2B948987AD4F6608861762D90E4806B96966D406,B1516F4C
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\nosalida\nosalidamp.csc,content/release64/multiplayer/action_areas/nosalida/nosalidamp.csc,.csc,29619,False,4FE9D4D1F095091F594BE426A710CEEF73175695,ADC32BF9
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,content/release64/multiplayer/action_areas/pikes_basin/pikesbasinmp.csc,.csc,30632,False,03F6BC1B24DCA47996071AFB204F11BBF68261E5,AB06F484
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\solomons_folly\solomonsfollymp.csc,content/release64/multiplayer/action_areas/solomons_folly/solomonsfollymp.csc,.csc,28195,False,86145814BA49418D96D0311E339E3F24D5871933,7197F7CF
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,content/release64/multiplayer/action_areas/tesoro_azul/tesoroazulmp.csc,.csc,30235,False,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,90AB3337
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,content/release64/multiplayer/action_areas/tumbleweed/tumbleweedmp.csc,.csc,30659,False,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,61D7F330
