logical_key,csc_path,csc_size,csc_size_mod_4,csc_header_family,csc_head_hex_16,csc_compression_encryption_note,csc_resource_type,csc_resource_flag1_hex,csc_resource_flag2_hex,csc_sha1,csc_crc32,xsc_path,xsc_size,xsc_size_mod_4,xsc_header_family,xsc_head_hex_16,xsc_compression_encryption_note,xsc_resource_type,xsc_resource_flag1_hex,xsc_resource_flag2_hex,xsc_sha1,xsc_crc32,headers_match,bytes_match
action_areas/wilderness/cougarwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\cougarwildernessaa.csc,13049,1,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000007,9B410E83BC29DA293F4F9D13D40645FEA92DCD62,58169875,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\cougarwildernessaa.xsc,12564,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000007,08736297354EC8100C97B4D154957DD6569F82FE,E02C6FEF,False,False
action_areas/wilderness/wolfwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\wolfwildernessaa.csc,13038,2,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000007,467865D3E3EB2CB19D1F101CA33D62F77D02D9CC,4DAEB359,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\wolfwildernessaa.xsc,12556,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000007,68DAEF23AF2A634472BF48D1F553A1769ECF5913,4465F890,False,False
ctf/ctf_base_game,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\ctf\ctf_base_game.csc,49087,3,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 1B,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x8000001B,AC7C093773FE09EEEEE4C2596FC240BFC57643A2,42B3FF50,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\ctf\ctf_base_game.xsc,45446,2,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 1B,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x8000001B,301C5AA2919AF5BFA3C347F17A9BA78209CF6850,2C768785,False,False
deathmatch/deathmatch,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\deathmatch\deathmatch.csc,37135,3,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 15,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000015,DD24E432C08D25D17B09A64D29331FDC23646505,BDE20FFB,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\deathmatch\deathmatch.xsc,34574,2,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 15,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000015,7A5909CF0F14B595C71A46971E013178418CA37F,2EA5F3F8,False,False
deathmatch/testmatch,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\deathmatch\testmatch.csc,7875,3,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 05,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000005,282B9963BAA2C8E307B8FC257C037F55B1E501C9,A3187040,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\deathmatch\testmatch.xsc,7596,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 05,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000005,87BAAF6ADC052DC1768707017FE343BC3AD69930,D7DA0583,False,False
freemode/freemode,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\freemode\freemode.csc,52662,2,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 A0 00 00 1C,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0xA000001C,39EB147487968B55BFA814C1754E4AB4B609BEFF,D9B7B993,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\freemode\freemode.xsc,47730,2,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 A0 00 00 1C,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0xA000001C,E8273C4D88372400873F17FC44FB1B4BEE8473FE,D1B360EE,False,False
mp_idle,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\mp_idle.csc,44631,3,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 1B,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x8000001B,836DA3EB1E388C2C12A0DBAE31B61EA11E93133E,B5A846BD,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\mp_idle.xsc,41412,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 1B,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x8000001B,5F91B6BEBB0BE1F29C13C8720405BFBD02B9289A,BF212567,False,False
multiplayer_system_thread,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\multiplayer_system_thread.csc,31765,1,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 90 00 00 12,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x90000012,BCE3CD2CD1979BC827360BD76C3835FC608E41D2,A27B51DE,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\multiplayer_system_thread.xsc,29428,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 90 00 00 12,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x90000012,6DD6456F9F6DE374B52F1A7CEF48471805ECB62D,B1AAD248,False,False
multiplayer_update_thread,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\multiplayer_update_thread.csc,24419,3,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 90 00 00 0E,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x9000000E,230CB503BBBE0F54BF2AA0BC8D34CAEDE42EF7C7,3DB12DCB,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\multiplayer_update_thread.xsc,22824,0,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 90 00 00 0E,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x9000000E,AF254ECF5FB559A5C5A1BE063DF454ED5DDB231E,AA200A93,False,False
pr_multiplayer,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\pr_multiplayer.csc,15043,3,CSC_SWAPPED_RSC86,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09,32-bit word-swapped RSC86 family; PSN CSC raw import is not proven by extracted PC examples,2,0x80000000,0x80000009,8EDD0E69B621DF58B2B7F66D744BAC8EE696C364,69A3548B,D:\Games\Red Dead Redemption\Code_RED\imports\XENON MULTIPLAYER\content\release64\multiplayer\pr_multiplayer.xsc,14510,2,XSC_SWAPPED_RSC85,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09,32-bit word-swapped RSC85 family; not raw-PC-proven by extracted examples,2,0x80000000,0x80000009,1C47BE25F28029C96D4E0384CBDE3C3C11C82FC7,3D87883B,False,False
