candidate_kind,logical_key,path,extension,header_family,classification,pc_family_match,decision,format_reason
pass1_psn_csc,action_areas/fort_mercer/fortmercermp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
pass1_psn_csc,action_areas/gaptooth_breach/gaptoothbreachmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
pass1_psn_csc,action_areas/nosalida/nosalidamp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\nosalida\nosalidamp.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
pass1_psn_csc,action_areas/pikes_basin/pikesbasinmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
pass1_psn_csc,action_areas/solomons_folly/solomonsfollymp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\solomons_folly\solomonsfollymp.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
pass1_psn_csc,action_areas/tesoro_azul/tesoroazulmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
pass1_psn_csc,action_areas/tumbleweed/tumbleweedmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
pass1_psn_csc,action_areas/twin_rocks/twinrocksmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
pass1_psn_csc,action_areas/wilderness/bearwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
pass1_psn_csc,action_areas/wilderness/boarwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.csc,.csc,CSC_SWAPPED_RSC86,raw_import_candidate,False,stage raw in isolated CSC import packages; verify Magic RDR re-export before launch,CSC donor header family is not observed in current extracted PC WSC/SCO examples
