source,relative_path,source_size,source_sha1,output,output_relative_path,status,error,decoded_size,decoded_sha256,output_size,output_sha1,bridge_stdout,bridge_stderr,runtime_compatibility,lzx_magic,lzx_compressed_size,expected_unpacked_size,codec,compressed_size,output_sha256,validate_ok,runtime_note
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.xsc,action_areas/wilderness/boarwildernessaa.xsc,12566,AFDF515A459E51540226B6A39597C3CE66D5A2BA,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\wilderness\boarwildernessaa.wsc,action_areas/wilderness/boarwildernessaa.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,28672,B3A1BF552979197DE98E8ABD35A2C0185042E5FBB47DB9290AD2356FA7B0CC0E,12602,64C38A82ED40C194E3674904E258A7D10F960BC5,"{""status"":""ok"",""hr"":0,""input_size"":12542,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12542,28672,zstd-level-22-no-content-size,12586,26BC04AAABFD4A835A3128D56EC3A57F050BA78DC74FF1A6D9EDE6A3DCC1D49D,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\cougarwildernessaa.xsc,action_areas/wilderness/cougarwildernessaa.xsc,12564,08736297354EC8100C97B4D154957DD6569F82FE,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\wilderness\cougarwildernessaa.wsc,action_areas/wilderness/cougarwildernessaa.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,28672,34B17BE9C6D3B356E0641FA45E05AFF2D3416B3565DC46E85E70D9346B5A0F3F,12613,7D1326AE7ACF4C94778860E7759F77AFAEBFC839,"{""status"":""ok"",""hr"":0,""input_size"":12540,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12540,28672,zstd-level-22-no-content-size,12597,5152302FF98D4FD14DED1039EF947DB352E8BEA118E73DBDB26318C603CAA3BF,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\wolfwildernessaa.xsc,action_areas/wilderness/wolfwildernessaa.xsc,12556,68DAEF23AF2A634472BF48D1F553A1769ECF5913,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\wilderness\wolfwildernessaa.wsc,action_areas/wilderness/wolfwildernessaa.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,28672,DA1FE19A22E044916C3ACE7F97D8FBC8ED385472323BD8DB4978FE4BCB6229C4,12601,4009FD4875E698AB0BD1C167BDA2244630B1832D,"{""status"":""ok"",""hr"":0,""input_size"":12532,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12532,28672,zstd-level-22-no-content-size,12585,4B7E1B092FAE8582E43E0900339B687C6BB3D244B48ECC72389D554FD060C868,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\ctf\ctf_base_game.xsc,ctf/ctf_base_game.xsc,45446,301C5AA2919AF5BFA3C347F17A9BA78209CF6850,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\ctf\ctf_base_game.wsc,ctf/ctf_base_game.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,110592,E4C593FC75EF2D5E213C82E7315D6A9FCAF897234F089ADC9C32A499167A95E8,45649,71CDC54C375F47C1C79006C35E25ACC709CB463D,"{""status"":""ok"",""hr"":0,""input_size"":45422,""output_size"":110592,""message"":""""}",,unproven,0x0FF512F1,45422,110592,zstd-level-22-no-content-size,45633,651EBE5C8E2A7CE76F5D48AE52B216C34AAC26BA021EAB72AE4089EFDB89A833,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\deathmatch\deathmatch.xsc,deathmatch/deathmatch.xsc,34574,7A5909CF0F14B595C71A46971E013178418CA37F,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\deathmatch\deathmatch.wsc,deathmatch/deathmatch.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,86016,5491FBA36108D5135F4AAE4B78865A001221AE091D8AE648928AFF3EE40E6873,34747,05C05FF5E154953E92C9C529AF324EEF11BEE27A,"{""status"":""ok"",""hr"":0,""input_size"":34550,""output_size"":86016,""message"":""""}",,unproven,0x0FF512F1,34550,86016,zstd-level-22-no-content-size,34731,C17B401F0A99FA5F5DD6FA767B1B72D9CF2856544C867CCFA49F80F3E1873C32,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\deathmatch\testmatch.xsc,deathmatch/testmatch.xsc,7596,87BAAF6ADC052DC1768707017FE343BC3AD69930,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\deathmatch\testmatch.wsc,deathmatch/testmatch.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,20480,6CE32884D2A160A746147DDD3E10CE6EBB1B4AD946BCEDC3B9BA76920E9EBFDE,7612,BBACFCC745E80281D0F75E3807A451FFF4357D8F,"{""status"":""ok"",""hr"":0,""input_size"":7572,""output_size"":20480,""message"":""""}",,unproven,0x0FF512F1,7572,20480,zstd-level-22-no-content-size,7596,CD5213C9110A570A1C64A9C6DB08A29124359ACE5414D2458BBEB34DF55806DA,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\freemode\freemode.xsc,freemode/freemode.xsc,47730,E8273C4D88372400873F17FC44FB1B4BEE8473FE,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\freemode\freemode.wsc,freemode/freemode.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,114688,51542DA6B2C1ED4519379B8BB87AEBD92A2705B2F76E09EDF6575A7C6A3CD6B6,47921,D5BC42FA3394A2CCBEAB5033AB71591B04CBD71E,"{""status"":""ok"",""hr"":0,""input_size"":47706,""output_size"":114688,""message"":""""}",,unproven,0x0FF512F1,47706,114688,zstd-level-22-no-content-size,47905,D58B323262B29FB2E1D3FE46839C4122DE2D902667D6AB165437328C58A29FAA,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\mp_help_barker.xsc,mp_help_barker.xsc,556,26F353E2ED6A25421612EFD6A986D7899CA4027B,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\mp_help_barker.wsc,mp_help_barker.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,4096,1F2AC50013573443FBD55F83F3CB3B586C3F776B408B8B2190DDADE88E255A27,482,B85F9DD8DED2796D2114F1EFF14EB568C725B2A3,"{""status"":""ok"",""hr"":0,""input_size"":532,""output_size"":4096,""message"":""""}",,unproven,0x0FF512F1,532,4096,zstd-level-15-no-content-size,466,D7C03FDDB1D61196131AEB50A4601E51BEFC676D6CE9413CE90BB1E56BCBE04E,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\mp_idle.xsc,mp_idle.xsc,41412,5F91B6BEBB0BE1F29C13C8720405BFBD02B9289A,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\mp_idle.wsc,mp_idle.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,110592,20924A1BAB42E32EEB87F494066CE5CBBA392441453E35FCD8971F441F1638D2,41676,24A3910648EE433FB939C237E73BA017B0F1C88E,"{""status"":""ok"",""hr"":0,""input_size"":41388,""output_size"":110592,""message"":""""}",,unproven,0x0FF512F1,41388,110592,zstd-level-22-no-content-size,41660,4755C436D38DF860578ED0D910846E10CBFA1C4A095CD77FD2F021D534C16B66,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\mp_teleport.xsc,mp_teleport.xsc,4924,D231DC2CAA4BEAA2F1FFEC36287977A4580390C0,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\mp_teleport.wsc,mp_teleport.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,20480,522D7400A5E8D37E426DE12C99A9FD5C7830267F2E8C343ECD66B4BC20F2FE5D,4859,BF1321D39AE062896FCAFC57F7533D72B0ACA568,"{""status"":""ok"",""hr"":0,""input_size"":4900,""output_size"":20480,""message"":""""}",,unproven,0x0FF512F1,4900,20480,zstd-level-22-no-content-size,4843,B692BD56A58B4CEA6A720133FAC04E58E29272EAC2085D96CF0BC3338B8F8FEC,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
