string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
812,0x32C,playermeds,unknown,810,0x32A,2,Function_2,0x322..0x348
965,0x3C5,ITEM_GET_STRING_FROM_ENUM: Missing eSTRING_TYPE_ITEM_NAMES for this eItemsTypes value:,debug/display text,963,0x3C3,5,Function_5,0x3AB..0x49F
1065,0x429,ITEM_GET_STRING_FROM_ENUM: Missing eSTRING_TYPE_ITEM_NAMES for this eItemsTypes value! Ask Christian to add it,debug/display text,1063,0x427,5,Function_5,0x3AB..0x49F
1193,0x4A9,playemitteroncurve,unknown,1191,0x4A7,6,Function_6,0x49F..0x51C
1220,0x4C4,rsdEFFECTCURVE_TNTFuse,unknown,1218,0x4C2,6,Function_6,0x49F..0x51C
1253,0x4E5,TNTFuse,unknown,1251,0x4E3,6,Function_6,0x49F..0x51C
1263,0x4EF,muzzle_dynamite,unknown,1261,0x4ED,6,Function_6,0x49F..0x51C
1318,0x526,makeswim,unknown,1316,0x524,7,Function_7,0x51C..0x54D
1339,0x53B,swimming,unknown,1337,0x539,7,Function_7,0x51C..0x54D
1367,0x557,regions_reset,unknown,1365,0x555,8,Function_8,0x54D..0x575
2001,0x7D1,stand_hostage,unknown,1999,0x7CF,16,Function_16,0x7C7..0x8AD
2023,0x7E7,stand_hostage,unknown,2021,0x7E5,16,Function_16,0x7C7..0x8AD
2043,0x7FB,custom/stand_hostage,unknown,2041,0x7F9,16,Function_16,0x7C7..0x8AD
2070,0x816,stand_hostage,unknown,2068,0x814,16,Function_16,0x7C7..0x8AD
2090,0x82A,custom/stand_hostage,unknown,2088,0x828,16,Function_16,0x7C7..0x8AD
2132,0x854,stand_hostage,unknown,2130,0x852,16,Function_16,0x7C7..0x8AD
2157,0x86D,stand_hostage/walk_pose,unknown,2155,0x86B,16,Function_16,0x7C7..0x8AD
2191,0x88F,stand_hostage/injury/,unknown,2189,0x88D,16,Function_16,0x7C7..0x8AD
2231,0x8B7,ghostscan,unknown,2229,0x8B5,17,Function_17,0x8AD..0x95E
2272,0x8E0,v_region,unknown,2270,0x8DE,17,Function_17,0x8AD..0x95E
2408,0x968,addnotor,unknown,2406,0x966,18,Function_18,0x95E..0x99F
2491,0x9BB,STAT_INCREASE: Attempting to use a Stat out of bounds.,debug/display text,2489,0x9B9,19,Function_19,0x99F..0xB3A
2560,0xA00,STAT_INCREASE: fIncreaseValue < 0 - I am turning this into a positive number for you!,debug/display text,2558,0x9FE,19,Function_19,0x99F..0xB3A
2719,0xA9F,QME+,unknown,2717,0xA9D,19,Function_19,0x99F..0xB3A
2805,0xAF5,QME+,unknown,2803,0xAF3,19,Function_19,0x99F..0xB3A
2921,0xB69,STAT_FIND_FIRST_EMPTY_SLOT_ON_STACK: too many synchronous Stat Updates! Dropping the oldest in the buffer,debug/display text,2919,0xB67,20,Function_20,0xB3A..0xBDB
3241,0xCA9,,unknown,3239,0xCA7,22,Function_22,0xC99..0xCFF
3254,0xCB6,,unknown,3252,0xCB4,22,Function_22,0xC99..0xCFF
3269,0xCC5,,unknown,3267,0xCC3,22,Function_22,0xC99..0xCFF
3415,0xD57,STAT_INCREASE_NOW: Attempting to use a Stat out of bounds.,debug/display text,3413,0xD55,24,Function_24,0xD44..0xF50
3494,0xDA6,STAT_INCREASE_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,debug/display text,3492,0xDA4,24,Function_24,0xD44..0xF50
