index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
1790,file,root/content/release64/frontier/gaptooth_ridge/tumbleweed/actionarea/event_tum_churchboss.wsc,event_tum_churchboss.wsc,.wsc,6772736,10919,28672,True,False,2
1791,dir,root/content/release64/frontier/hennigans_stead/pikes_basin,pikes_basin,,,,,,,
1792,dir,root/content/release64/frontier/hennigans_stead/hennigans_ranch,hennigans_ranch,,,,,,,
1793,dir,root/content/release64/frontier/hennigans_stead/thieves_landing,thieves_landing,,,,,,,
1794,file,root/content/release64/frontier/hennigans_stead/hennigansstead.wsc,hennigansstead.wsc,.wsc,6864896,14944,53248,True,False,2
1795,file,root/content/release64/frontier/hennigans_stead/henniganssteadvol.wsc,henniganssteadvol.wsc,.wsc,6881280,11241,36864,True,False,2
1796,file,root/content/release64/frontier/hennigans_stead/pikes_basin/pikesbasinvol.wsc,pikesbasinvol.wsc,.wsc,6961152,8420,20480,True,False,2
1797,dir,root/content/release64/frontier/hennigans_stead/pikes_basin/actionarea,actionarea,,,,,,,
1798,file,root/content/release64/frontier/hennigans_stead/pikes_basin/pikesbasin.wsc,pikesbasin.wsc,.wsc,6926336,32832,86016,True,False,2
1799,file,root/content/release64/frontier/hennigans_stead/pikes_basin/actionarea/pikesbasin_herding.wsc,pikesbasin_herding.wsc,.wsc,6971392,26706,69632,True,False,2
1800,file,root/content/release64/frontier/hennigans_stead/hennigans_ranch/hennigansranchvol.wsc,hennigansranchvol.wsc,.wsc,6914048,10656,28672,True,False,2
1801,file,root/content/release64/frontier/hennigans_stead/hennigans_ranch/hennigansranch.wsc,hennigansranch.wsc,.wsc,6893568,20414,69632,True,False,2
1802,file,root/content/release64/frontier/hennigans_stead/thieves_landing/thieveslanding.wsc,thieveslanding.wsc,.wsc,7000064,21866,73728,True,False,2
1803,file,root/content/release64/frontier/hennigans_stead/thieves_landing/thieveslandingvol.wsc,thieveslandingvol.wsc,.wsc,7022592,17231,53248,True,False,2
1804,dir,root/content/release/multiplayer,multiplayer,,,,,,,
1805,file,root/content/release/multiplayer/0x1BDACBA9,0x1BDACBA9,,24700416,1037,1037,False,False,
1806,file,root/content/release/multiplayer/multiplayer_update_thread.xsc,multiplayer_update_thread.xsc,.xsc,24982928,22824,22824,False,False,
1807,file,root/content/release/multiplayer/multiplayer_update_thread.csc,multiplayer_update_thread.csc,.csc,24958504,24419,24419,False,False,
1808,dir,root/content/release/multiplayer/regions,regions,,,,,,,
1809,file,root/content/release/multiplayer/0x30849AC7,0x30849AC7,,24701456,51392,51392,False,False,
1810,file,root/content/release/multiplayer/multiplayer_system_thread.csc,multiplayer_system_thread.csc,.csc,24897304,31765,31765,False,False,
1811,dir,root/content/release/multiplayer/spectator,spectator,,,,,,,
