input,file_name,platform,reader_endian_requested,returncode,duration_seconds,ok,decoded_size,object_start,function_count,decompiled_chars,error,error_type,stdout,stderr,reader_endian
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\magicrdr_import_export_probe\exported_back\content\release64\multiplayer\multiplayer_system_thread.wsc,multiplayer_system_thread.wsc,Switch,Auto,0,1.582,True,73728,65536,725,12516,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\magicrdr_import_export_probe\\exported_back\\content\\release64\\multiplayer\\multiplayer_system_thread.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":73728,""object_start"":65536,""function_count"":725,""decompiled_chars"":12516,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\magicrdr_import_export_probe\exported_back\content\release64\multiplayer\multiplayer_update_thread.wsc,multiplayer_update_thread.wsc,Switch,Auto,0,1.133,True,57344,49152,433,9406,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\magicrdr_import_export_probe\\exported_back\\content\\release64\\multiplayer\\multiplayer_update_thread.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":57344,""object_start"":49152,""function_count"":433,""decompiled_chars"":9406,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\magicrdr_import_export_probe\exported_back\content\release64\multiplayer\pr_multiplayer.wsc,pr_multiplayer.wsc,Switch,Auto,0,1.103,True,36864,32768,225,5949,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\magicrdr_import_export_probe\\exported_back\\content\\release64\\multiplayer\\pr_multiplayer.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":225,""decompiled_chars"":5949,""error"":""""}",,Little
