# Code RED source/decompiled export
# Source: research/Code_RED_CarTruck_MissionRecipe_Pass29/reports/pass29_line_hits.csv
# SHA1: be4ac746b184407bcedbca91405bb32e90cd2be6

line,function,position,term,text
25053,Function_792,0x29B4B,_ACCESORIZE_VEHICLE_HORSES,"_ACCESORIZE_VEHICLE_HORSES(&uVar0, 5);"
25056,Function_792,0x29B4B,1197,if (fParam2 == 1197)
25061,Function_792,0x29B4B,ENABLE_VEHICLE_SEAT,"ENABLE_VEHICLE_SEAT(&uVar0, uVar18, 0);"
25088,Function_794,0x29DD2,GET_RAND_ACTORENUM_FROM_POPULATION_NATIVE,"return GET_RAND_ACTORENUM_FROM_POPULATION_NATIVE(&uParam0, &uParam3, &uParam4, &uParam5, 1, Param1);"
25953,Function_830,0x2B423,1197,bLocal_1197 = true;
25955,Function_830,0x2B423,1197,if (!bLocal_1197)
25972,Function_830,0x2B423,1197,bLocal_1197 = true;
25974,Function_830,0x2B423,1197,if (!bLocal_1197)
25993,Function_830,0x2B423,1197,if (bLocal_1352 && (STREAMING_IS_WORLD_LOADED() && (bLocal_1197 || bLocal_1197 != 4294967295)))
25999,Function_830,0x2B423,Local_6 + 1184[02],"TELEPORT_ACTOR_WITH_HEADING(&bLocal_1352, &Local_6 + 1184[02], *(&Local_6 + 2576[13]), 1, 1, 1);"
26014,Function_830,0x2B423,Local_6 + 1184[02],if (&Local_6 + 1184[02])
26058,Function_830,0x2B423,START_VEHICLE,START_VEHICLE(&Local_6 + 1184[02]);
26058,Function_830,0x2B423,Local_6 + 1184[02],START_VEHICLE(&Local_6 + 1184[02]);
26104,Function_830,0x2B423,Local_6 + 1184[02],"if (IS_ACTOR_IN_VOLUME(&Local_6 + 1184[02], &Local_6 + 2176))"
26631,Function_842,0x2D1EE,1193,"CREATE_PROP_IN_LAYOUT(""p_gen_crate16x"", 415.6345f, 108.5148f, 1537.194f, 2.08659f, 128.7953f, -5.261193f, 1);"
27201,Function_854,0x30358,1197,bLocal_1197 = true;
27203,Function_854,0x30358,1197,if (!bLocal_1197)
27220,Function_854,0x30358,1197,if (bLocal_1352 && (STREAMING_IS_WORLD_LOADED() && (bLocal_1197 || bLocal_1197 != 4294967295)))
27226,Function_854,0x30358,Local_6 + 1184[02],"TELEPORT_ACTOR_WITH_HEADING(&bLocal_1352, &Local_6 + 1184[02], *(&Local_6 + 2440[23]), 1, 1, 1);"
27240,Function_854,0x30358,Local_6 + 1184[02],if (&Local_6 + 1184[02])
27394,Function_854,0x30358,TASK_VEHICLE_ENTER_SPECIFIC_LOCATION,"TASK_VEHICLE_ENTER_SPECIFIC_LOCATION(&Local_6 + 1208[02], &Local_6 + 1184[02], 0, 2, 0);"
27394,Function_854,0x30358,Local_6 + 1184[02],"TASK_VEHICLE_ENTER_SPECIFIC_LOCATION(&Local_6 + 1208[02], &Local_6 + 1184[02], 0, 2, 0);"
27395,Function_854,0x30358,TASK_VEHICLE_ENTER_SPECIFIC_LOCATION,"TASK_VEHICLE_ENTER_SPECIFIC_LOCATION(&iLocal_1189, &Local_6 + 1184[02], 1, 2, 0);"
27395,Function_854,0x30358,Local_6 + 1184[02],"TASK_VEHICLE_ENTER_SPECIFIC_LOCATION(&iLocal_1189, &Local_6 + 1184[02], 1, 2, 0);"
27417,Function_854,0x30358,START_VEHICLE,START_VEHICLE(&Local_6 + 1184[02]);
27417,Function_854,0x30358,Local_6 + 1184[02],START_VEHICLE(&Local_6 + 1184[02]);
27437,Function_854,0x30358,Local_6 + 1184[02],STOP_VEHICLE(&Local_6 + 1184[02]);
28432,Function_884,0x32611,1197,bLocal_1197 = true;
28434,Function_884,0x32611,1197,if (!bLocal_1197)
28458,Function_884,0x32611,1197,if (bLocal_1197 || bLocal_1197 != 4294967295)
28480,Function_884,0x32611,Local_6 + 1184[02],if (&Local_6 + 1184[02])
28513,Function_884,0x32611,START_VEHICLE,START_VEHICLE(&Local_6 + 1184[02]);
28513,Function_884,0x32611,Local_6 + 1184[02],START_VEHICLE(&Local_6 + 1184[02]);
28604,Function_884,0x32611,Local_6 + 1184[02],"if (IS_ACTOR_IN_VOLUME(&Local_6 + 1184[02], &Local_6 + 2192))"
28613,Function_884,0x32611,Local_6 + 1184[02],STOP_VEHICLE(&Local_6 + 1184[02]);
28658,Function_884,0x32611,START_VEHICLE,START_VEHICLE(&Local_6 + 1184[02]);
28658,Function_884,0x32611,Local_6 + 1184[02],START_VEHICLE(&Local_6 + 1184[02]);
28673,Function_884,0x32611,Local_6 + 1184[02],STOP_VEHICLE(&Local_6 + 1184[02]);
28880,Function_891,0x332B8,Local_6 + 1184[02],"SET_ACTOR_SPEED(&Local_6 + 1184[02], 0.0f);"
28881,Function_891,0x332B8,Local_6 + 1184[02],"TELEPORT_ACTOR_WITH_HEADING(&uLocal_1630, &Local_6 + 1184[02], *(&Local_6 + 3176), 1, 1, 1);"
28917,Function_891,0x332B8,Local_6 + 1184[02],if (!IS_VEHICLE_ENGINE_RUNNING(&Local_6 + 1184[02]))
28919,Function_891,0x332B8,START_VEHICLE,START_VEHICLE(&Local_6 + 1184[02]);
28919,Function_891,0x332B8,Local_6 + 1184[02],START_VEHICLE(&Local_6 + 1184[02]);
28931,Function_891,0x332B8,Local_6 + 1184[02],ACTIVATE_PHYSINST(GET_PHYSINST_FROM_ACTOR(&Local_6 + 1184[02]));
28932,Function_891,0x332B8,Local_6 + 1184[02],"SET_PROP_VELOCITY(GET_PHYSINST_FROM_ACTOR(&Local_6 + 1184[02]), &uVar0);"
29070,Function_896,0x33A55,MaximShootTruck,"_GRINGO_SET_IS_USABLE_BY_PLAYER(&uVar0, ""MaximShootTruck"", 0);"
29085,Function_897,0x33AD9,gattling_attach,"GET_LOCATOR_OFFSETS(GET_PHYSINST_FROM_OBJECT(&Local_6 + 1184[02]), ""gattling_attach"", &Var0, &Var2);"
29085,Function_897,0x33AD9,Local_6 + 1184[02],"GET_LOCATOR_OFFSETS(GET_PHYSINST_FROM_OBJECT(&Local_6 + 1184[02]), ""gattling_attach"", &Var0, &Var2);"
29086,Function_897,0x33AD9,Local_6 + 1184[02],"ATTACH_OBJECTS(&uLocal_1391, &Local_6 + 1184[02], Function_54(), Var0, Var2, 4294967295);"
29436,Function_905,0x34BE0,Local_6 + 1184[02],if (IS_ACTOR_VALID(&Local_6 + 1184[02]))
29438,Function_905,0x34BE0,Local_6 + 1184[02],CUTSCENE_MANAGER_HIDE_ACTOR(&Local_6 + 1184[02]);
29869,Function_916,0x359C8,Local_6 + 1184[02],"if (!IS_ACTOR_IN_VOLUME(&Local_6 + 1184[02], &Local_6 + 2192))"
30969,Function_955,0x384F0,GET_ACTOR_ENUM,if (GET_ACTOR_ENUM(&uParam0) == 1194 && GET_ACTOR_ENUM(&uParam0) == 1193)
30969,Function_955,0x384F0,1194,if (GET_ACTOR_ENUM(&uParam0) == 1194 && GET_ACTOR_ENUM(&uParam0) == 1193)
30969,Function_955,0x384F0,1193,if (GET_ACTOR_ENUM(&uParam0) == 1194 && GET_ACTOR_ENUM(&uParam0) == 1193)
30973,Function_955,0x384F0,carSettings,"if (!DECOR_CHECK_EXIST(&uParam0, ""carSettings""))"
30977,Function_955,0x384F0,carSettings,"uVar0 = DECOR_GET_INT(&uParam0, ""carSettings"");"
30979,Function_955,0x384F0,carSettings,"DECOR_SET_INT(&uParam0, ""carSettings"", uVar0);"
30989,Function_956,0x3856C,GET_ACTOR_ENUM,if (GET_ACTOR_ENUM(&uParam0) == 1194 && GET_ACTOR_ENUM(&uParam0) == 1193)
30989,Function_956,0x3856C,1194,if (GET_ACTOR_ENUM(&uParam0) == 1194 && GET_ACTOR_ENUM(&uParam0) == 1193)
30989,Function_956,0x3856C,1193,if (GET_ACTOR_ENUM(&uParam0) == 1194 && GET_ACTOR_ENUM(&uParam0) == 1193)
30993,Function_956,0x3856C,carSettings,"if (!DECOR_CHECK_EXIST(&uParam0, ""carSettings""))"
30995,Function_956,0x3856C,carSettings,"DECOR_SET_INT(&uParam0, ""carSettings"", false);"
30997,Function_956,0x3856C,carSettings,"uVar0 = DECOR_GET_INT(&uParam0, ""carSettings"");"
31008,Function_956,0x3856C,carSettings,"DECOR_SET_INT(&uParam0, ""carSettings"", uVar0);"
31014,Function_957,0x38636,Local_6 + 1184[02],"SET_ACTOR_UPDATE_PRIORITY(&Local_6 + 1184[02], 0);"
31016,Function_957,0x38636,SET_VEHICLE_EJECTION_ENABLED,"SET_VEHICLE_EJECTION_ENABLED(&Local_6 + 1184[02], 0);"
31016,Function_957,0x38636,Local_6 + 1184[02],"SET_VEHICLE_EJECTION_ENABLED(&Local_6 + 1184[02], 0);"
31026,Function_958,0x38698,GET_ACTOR_ENUM,if (GET_ACTOR_ENUM(&uParam0) == 1194 && GET_ACTOR_ENUM(&uParam0) == 1193)
31026,Function_958,0x38698,1194,if (GET_ACTOR_ENUM(&uParam0) == 1194 && GET_ACTOR_ENUM(&uParam0) == 1193)
31026,Function_958,0x38698,1193,if (GET_ACTOR_ENUM(&uParam0) == 1194 && GET_ACTOR_ENUM(&uParam0) == 1193)
31030,Function_958,0x38698,carSettings,"if (!DECOR_CHECK_EXIST(&uParam0, ""carSettings""))"
31034,Function_958,0x38698,carSettings,"uVar0 = DECOR_GET_INT(&uParam0, ""carSettings"");"
31036,Function_958,0x38698,carSettings,"DECOR_SET_INT(&uParam0, ""carSettings"", uVar0);"
