# Code RED source/decompiled export
# Source: research/wft_wedt_attachment_lab/model_resource_summary.csv
# SHA1: 0ac58d17c76d9578dc36b2ef474c5aa95cee73bd

archive,entry_index,entry_name,entry_path,bundle_key,extension,resource_type,resource_hint,root_vft,root_vft_hint,slot_size,decoded_size,decoded_sha1,decode_mode,virtual_pointer_count,toc_offset,toc_total_size,decoded_extract
fragments2.rpf,12,zombie_gore_fastmexicanrebel_01.wft,root/fragments/zombie_gore_fastmexicanrebel_01.wft,zombie_gore_fastmexicanrebel_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,104516,311296,55b88111cd4dfe17abbd1ce2733b125dd040b581,rsc_zstd,1071,29319168,32768,
fragments2.rpf,13,zombie_gore_blackgunslinger_01_hilod.wfd,root/fragments/zombie_gore_blackgunslinger_01_hilod.wfd,zombie_gore_blackgunslinger_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1118604,1966080,4d1dd4e4fef2392479dfae640fa4b147ff8de4cb,rsc_zstd,785,7034880,262144,
fragments2.rpf,14,zombie_toxicfemaleprostitute_02_hilod.wfd,root/fragments/zombie_toxicfemaleprostitute_02_hilod.wfd,zombie_toxicfemaleprostitute_02,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1054401,1703936,39587eff7a43c61f5995fb77958f5837e5dfea7e,rsc_zstd,678,52285440,196608,
fragments2.rpf,15,zombie_gore_bruiserprisoner_01.wedt,root/fragments/zombie_gore_bruiserprisoner_01.wedt,zombie_gore_bruiserprisoner_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1544,8192,0793411dbd998c3a9279c24fd379e5c1e593b55e,rsc_zstd,186,14866432,512,
fragments2.rpf,16,zombie_caucasianmaleold_01_set_zombie_caucasianmaleold_01_hat.wft,root/fragments/zombie_caucasianmaleold_01_set_zombie_caucasianmaleold_01_hat.wft,zombie_caucasianmaleold_01_set_zombie_caucasianmaleold_01_hat,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,21732,45056,2cca18a5e851651ced7728c3ee277cdcab20a0b7,rsc_zstd,193,1304576,6144,
fragments2.rpf,17,zombie_hispanicmaleposse_01_set_zombie_caucasianmaleold_01_hat.wft,root/fragments/zombie_hispanicmaleposse_01_set_zombie_caucasianmaleold_01_hat.wft,zombie_hispanicmaleposse_01_set_zombie_caucasianmaleold_01_hat,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,18837,40960,2c15096deef196b282a10225a5a33a24ca40c6d7,rsc_zstd,159,46651392,4096,
fragments2.rpf,18,zombie_gore_bruisertreasurehunter_01.wedt,root/fragments/zombie_gore_bruisertreasurehunter_01.wedt,zombie_gore_bruisertreasurehunter_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1541,8192,8aabb294aaae101c9e25a7a34c6055b55f703314,rsc_zstd,186,17840128,512,
fragments2.rpf,19,zombie_gore_asianmale_01_medlod.wfd,root/fragments/zombie_gore_asianmale_01_medlod.wfd,zombie_gore_asianmale_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,146202,286720,d76c519b02d1745c4bb9956bc1b35971ba323a1f,rsc_zstd,566,6805504,32768,
fragments2.rpf,20,zombie_gore_bruiserbandito_01.wft,root/fragments/zombie_gore_bruiserbandito_01.wft,zombie_gore_bruiserbandito_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,105153,335872,48be5249ebe77c2d4b5e06486e4e9be40501c7d6,rsc_zstd,1065,8351744,32768,
fragments2.rpf,21,zombie_gore_hmaleposse_01_medlod.wfd,root/fragments/zombie_gore_hmaleposse_01_medlod.wfd,zombie_gore_hmaleposse_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,234530,466944,2de54d902a47bb427c56737b270cdb07ab2edde9,rsc_zstd,622,33781760,40960,
fragments2.rpf,22,zombie_gore_hmaleposse_01_hilod.wfd,root/fragments/zombie_gore_hmaleposse_01_hilod.wfd,zombie_gore_hmaleposse_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1327930,2031616,78d2be3d08542efe195f99c0e2ded9bde9e57cf4,rsc_zstd,792,32452608,327680,
fragments2.rpf,23,zombie_gore_cmalefat_01.wft,root/fragments/zombie_gore_cmalefat_01.wft,zombie_gore_cmalefat_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,109380,360448,df07d3caefe691f3a3666d266e2f181e0c6d7b2e,rsc_zstd,1067,24334336,32768,
fragments2.rpf,24,zombie_gore_toxicfemaleprostitute_01.wedt,root/fragments/zombie_gore_toxicfemaleprostitute_01.wedt,zombie_gore_toxicfemaleprostitute_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1560,8192,fb1b03be7dbf760a8ce720a11cffd5544c60760d,rsc_zstd,187,38981632,512,
fragments2.rpf,25,zombie_gore_cmaleold_01_medlod.wfd,root/fragments/zombie_gore_cmaleold_01_medlod.wfd,zombie_gore_cmaleold_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,233905,458752,8b21b197c61ae972086c04bf81ed8a549a93b9de,rsc_zstd,654,27385856,32768,
fragments2.rpf,26,zombie_toxicdrunk_n_dirty_01.wft,root/fragments/zombie_toxicdrunk_n_dirty_01.wft,zombie_toxicdrunk_n_dirty_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,102241,352256,07f5faa4c26d84316395283882df568b35831a97,rsc_zstd,993,49391616,40960,
fragments2.rpf,27,zombie_gore_txfeprostitute_02_hilod.wfd,root/fragments/zombie_gore_txfeprostitute_02_hilod.wfd,zombie_gore_txfeprostitute_02,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1235269,2031616,9dcdfab40ad1e7f72d11c87090abd1d3dba396dc,rsc_zstd,656,42557440,327680,
fragments2.rpf,28,zombie_toxicfemaleprostitute_01_hilod.wfd,root/fragments/zombie_toxicfemaleprostitute_01_hilod.wfd,zombie_toxicfemaleprostitute_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1118277,1769472,5cf65c5a57a8865e52961d42820eeec9a28fda37,rsc_zstd,689,50903040,262144,
fragments2.rpf,29,zombie_gore_bruiserprostitute_01.wft,root/fragments/zombie_gore_bruiserprostitute_01.wft,zombie_gore_bruiserprostitute_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,93001,286720,46e2f1db1d40319a666f5a229b5b5202e9da140f,rsc_zstd,1068,16369664,32768,
fragments2.rpf,30,zombie_hispanicfemaleprostitute_01.wft,root/fragments/zombie_hispanicfemaleprostitute_01.wft,zombie_hispanicfemaleprostitute_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,65135,212992,2f70cbc9ce25bc61e1f44956e6b16426729be1fe,rsc_zstd,1013,44044288,24576,
fragments2.rpf,31,zombie_gore_toxicrancher_01_hilod.wfd,root/fragments/zombie_gore_toxicrancher_01_hilod.wfd,zombie_gore_toxicrancher_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1366895,2228224,ecc46f262363fab4746c57ac865992cb34c1202f,rsc_zstd,751,40769536,196608,
fragments2.rpf,32,zombie_gore_fastmexicanrebel_01.wedt,root/fragments/zombie_gore_fastmexicanrebel_01.wedt,zombie_gore_fastmexicanrebel_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1688,8192,6330e8549bfdd05eaacd82bea1bdec273d1acf00,rsc_zstd,210,29317120,512,
fragments2.rpf,33,zombie_caucasianmaleold_01_medlod.wfd,root/fragments/zombie_caucasianmaleold_01_medlod.wfd,zombie_caucasianmaleold_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,170836,352256,20149fa159f375dd9c827f242e1af7d3da99c57d,rsc_zstd,619,1132544,40960,
fragments2.rpf,34,zombie_gore_abnashsamra_hilod.wfd,root/fragments/zombie_gore_abnashsamra_hilod.wfd,zombie_gore_abnashsamra,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1292596,2031616,7a3d998ef786286345a4ad6a0bde020c81a228f3,rsc_zstd,751,4233216,327680,
fragments2.rpf,35,zombie_gore_cgunslinger_01_set_com_famousgunslinger_01_hat.wft,root/fragments/zombie_gore_cgunslinger_01_set_com_famousgunslinger_01_hat.wft,zombie_gore_cgunslinger_01_set_com_famousgunslinger_01_hat,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,15259,32768,5e9389bf0d988aa1b48ff4ee2d6fbb289e8c0afc,rsc_zstd,137,24315904,2048,
fragments2.rpf,36,zombie_mexicanrebel_01.wft,root/fragments/zombie_mexicanrebel_01.wft,zombie_mexicanrebel_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,72078,237568,1754b1e623b167d90e87722920d5077d658c46bd,rsc_zstd,1010,46673920,32768,
fragments2.rpf,37,zombie_gore_fastdrunk_n_dirty_01_medlod.wfd,root/fragments/zombie_gore_fastdrunk_n_dirty_01_medlod.wfd,zombie_gore_fastdrunk_n_dirty_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,232701,450560,23d870782dccc9c47aeffb90527280808043fdae,rsc_zstd,671,29083648,49152,
fragments2.rpf,38,zombie_gore_toxicccriminal_01.wedt,root/fragments/zombie_gore_toxicccriminal_01.wedt,zombie_gore_toxicccriminal_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1679,8192,b83282c6d5bdf9019dac86b6ae95c912bd4fb1f3,rsc_zstd,203,35614720,512,
fragments2.rpf,39,zombie_fastmexicanrebel_01.wft,root/fragments/zombie_fastmexicanrebel_01.wft,zombie_fastmexicanrebel_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,78597,253952,da126153c3ae12e9f76370483d05f0149d3f5e13,rsc_zstd,991,2783232,40960,
fragments2.rpf,40,zombie_gore_toxicrancher_01.wedt,root/fragments/zombie_gore_toxicrancher_01.wedt,zombie_gore_toxicrancher_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1456,8192,309f7003896b7ecdae82f40dbe63d825c75f7956,rsc_zstd,179,40615936,512,
fragments2.rpf,41,zombie_gore_cgunslinger_01_medlod.wfd,root/fragments/zombie_gore_cgunslinger_01_medlod.wfd,zombie_gore_cgunslinger_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,248911,483328,b1ff89f00ce7b4d2d4e0c191c6c0d68f740fff2b,rsc_zstd,708,24066048,49152,
fragments2.rpf,42,zombie_toxiccaucasiancriminal_01.wedt,root/fragments/zombie_toxiccaucasiancriminal_01.wedt,zombie_toxiccaucasiancriminal_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1678,8192,71027e2015ddf592b08690f164ef24c86d56f60d,rsc_zstd,203,48017408,512,
fragments2.rpf,43,zombie_toxicfemaleprostitute_02.wft,root/fragments/zombie_toxicfemaleprostitute_02.wft,zombie_toxicfemaleprostitute_02,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,79419,253952,846d49ba951d77a7f22c756ba7248bc7d431da31,rsc_zstd,1009,52205568,40960,
fragments2.rpf,44,zombie_gore_cmalefat_01_hilod.wfd,root/fragments/zombie_gore_cmalefat_01_hilod.wfd,zombie_gore_cmalefat_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1287236,2031616,68a36296aebe5e0ad1b2e8ba41ac78987259c7da,rsc_zstd,629,24444928,327680,
fragments2.rpf,45,zombie_gore_cmaleold_01_set_zombie_caucasianmaleold_01_hat.wft,root/fragments/zombie_gore_cmaleold_01_set_zombie_caucasianmaleold_01_hat.wft,zombie_gore_cmaleold_01_set_zombie_caucasianmaleold_01_hat,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,21737,45056,88180663a2256dda4a6e6bae6dc325f08b7dda6e,rsc_zstd,193,27621376,6144,
fragments2.rpf,46,zombie_toxiccaucasiancriminal_01.wft,root/fragments/zombie_toxiccaucasiancriminal_01.wft,zombie_toxiccaucasiancriminal_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,87140,303104,be47d1afef86cfa0161ab679ea411b8e7f52741e,rsc_zstd,1074,48019456,32768,
fragments2.rpf,47,zombie_gore_hmaleposse_01.wedt,root/fragments/zombie_gore_hmaleposse_01.wedt,zombie_gore_hmaleposse_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1580,8192,65a3ff9c2ef3ea4e7e86242e357541d9ad42ca63,rsc_zstd,195,32346112,512,
fragments2.rpf,48,zombie_gore_toxicrancher_01.wft,root/fragments/zombie_gore_toxicrancher_01.wft,zombie_gore_toxicrancher_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,150403,458752,084123276dcbb88d1b33030696cb0e9e70a035b7,rsc_zstd,1054,40617984,49152,
fragments2.rpf,49,zombie_gore_fastdrunk_n_dirty_01_hilod.wfd,root/fragments/zombie_gore_fastdrunk_n_dirty_01_hilod.wfd,zombie_gore_fastdrunk_n_dirty_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1331822,2097152,f11723848e8abaee25a5739d8fd9e4cf7181660c,rsc_zstd,917,27750400,131072,
fragments2.rpf,50,zombie_gore_cfemaleprostitute_01.wft,root/fragments/zombie_gore_cfemaleprostitute_01.wft,zombie_gore_cfemaleprostitute_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,88072,278528,2d0b7b75a294433ed52f7e580ac8ec2e65bb5b5c,rsc_zstd,1096,21096448,24576,
fragments2.rpf,51,zombie_gore_ccattlerustlers_01_set_gan_cattlerustlers_e_02_hat.wft,root/fragments/zombie_gore_ccattlerustlers_01_set_gan_cattlerustlers_e_02_hat.wft,zombie_gore_ccattlerustlers_01_set_gan_cattlerustlers_e_02_hat,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,16078,32768,88b3f887f865f3ebd59c9cf73c5e8d6703eaa4f7,rsc_zstd,130,21078016,2048,
fragments2.rpf,52,zombie_mexicanrebel_01_hilod.wfd,root/fragments/zombie_mexicanrebel_01_hilod.wfd,zombie_mexicanrebel_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1110005,1769472,848fd6da0eea47687d73eb62cc52f2974c949fb0,rsc_zstd,715,46747648,262144,
fragments2.rpf,53,zombie_gore_hmaleposse_01.wft,root/fragments/zombie_gore_hmaleposse_01.wft,zombie_gore_hmaleposse_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,104091,327680,35f4cac1cfdd48fb5e624a803b9246c1c07fb6f9,rsc_zstd,1125,32348160,24576,
fragments2.rpf,54,zombie_hispanicfemaleprostitute_01.wedt,root/fragments/zombie_hispanicfemaleprostitute_01.wedt,zombie_hispanicfemaleprostitute_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1622,8192,851ca4403d5ec4557a874937da680c345be76d40,rsc_zstd,195,44042240,512,
fragments2.rpf,55,zombie_gore_cmalefat_01.wedt,root/fragments/zombie_gore_cmalefat_01.wedt,zombie_gore_cmalefat_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1494,8192,f3e66977cc2faa5345da62e26a64f1653fd69fe2,rsc_zstd,178,24332288,512,
fragments2.rpf,56,zombie_gore_bruisertreasurehunter_01_medlod.wfd,root/fragments/zombie_gore_bruisertreasurehunter_01_medlod.wfd,zombie_gore_bruisertreasurehunter_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,242308,524288,5c3cc99b47e418423371ecd66e8144bedf7ea90f,rsc_zstd,587,19228672,32768,
fragments2.rpf,57,zombie_gore_bruiserbandito_01_hilod.wfd,root/fragments/zombie_gore_bruiserbandito_01_hilod.wfd,zombie_gore_bruiserbandito_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,1282858,2097152,813440418fc7af4195be82fc175563a86cf2962f,rsc_zstd,682,8458240,131072,
fragments2.rpf,58,zombie_toxicfemaleprostitute_01.wedt,root/fragments/zombie_toxicfemaleprostitute_01.wedt,zombie_toxicfemaleprostitute_01,.wedt,11,extension_wedt,0x00D0E590,wedt_root_vft_editdata,1560,8192,af88da10803e87a28b512de7fdb0fb3d13375f8a,rsc_zstd,187,50814976,512,
fragments2.rpf,59,zombie_gore_toxicfemaleprostitute_01.wft,root/fragments/zombie_gore_toxicfemaleprostitute_01.wft,zombie_gore_toxicfemaleprostitute_01,.wft,138,extension_wft,0x00DDB8E4,wft_root_vft_fragment_texture_or_model,104951,311296,abae14e51b18fa8489e9a80d7246ec405985d4fe,rsc_zstd,1093,38983680,32768,
fragments2.rpf,60,zombie_gore_bruisercaucasianfemale_01_medlod.wfd,root/fragments/zombie_gore_bruisercaucasianfemale_01_medlod.wfd,zombie_gore_bruisercaucasianfemale_01,.wfd,1,extension_wfd,0x00DDC0A0,wfd_root_vft_fragment_drawable,232879,450560,57420a8893c67e98e09d348cbafc503871f2d11c,rsc_zstd,606,11370496,49152,
