# Code RED source/decompiled export
# Source: research/car_truck_inventory/reference_entries.csv
# SHA1: 703f1fcc07482828f6f79f1b1c2dc6550009edb3

category,root_label,path,relative_path,name,extension,size,sha1,match_reason
fragments_models,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\fragments\northbaggagecar01x.cft,fragments\northbaggagecar01x.cft,northbaggagecar01x.cft,.cft,67394,3c543bd55c90cd3092656a1245c67fb1bb8cf022,car_truck_filename
fragments_models,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\fragments\northboxcar01x.cft,fragments\northboxcar01x.cft,northboxcar01x.cft,.cft,47054,7979a9e67c1625b28d005ddacba6f7f6b7ef3afd,car_truck_filename
fragments_models,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\fragments\truck01x.wft,fragments\truck01x.wft,truck01x.wft,.wft,166575,c28665868c81fa598d5f56d84ef3cb2905351666,known_target_filename
fragments_models,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\fragments\truck01x.wft,fragments\truck01x.wft,truck01x.wft,.wft,166575,c28665868c81fa598d5f56d84ef3cb2905351666,known_target_filename
fragments_models,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\fragments\woodcar01x.cft,fragments\woodcar01x.cft,woodcar01x.cft,.cft,30892,cadee586c6b5a938eeb9752fcf40ec27510ce457,car_truck_filename
input_profiles,codered_driveable_vehicles_mod,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\player\input_car.xml,tune\player\input_car.xml,input_car.xml,.xml,1869,5e8cfab37f220d59c857e20a07194194999f9b6c,known_target_filename
input_profiles,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\tune\player\input_car.xml,tune\player\input_car.xml,input_car.xml,.xml,1869,5e8cfab37f220d59c857e20a07194194999f9b6c,known_target_filename
input_profiles,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\player\input_car.xml,tune\player\input_car.xml,input_car.xml,.xml,1494,838f99363c4d668650129d333e9933c184eda0fc,known_target_filename
locsets,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\locset_car01.xml,locset_car01.xml,locset_car01.xml,.xml,6179,56f910a3688254c7b377ba16e3dd76145a366b25,known_target_filename
locsets,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\locset_car01.xml,locset_car01.xml,locset_car01.xml,.xml,8580,a575b362bb3ce15f9d09ee521cca406e4fb67769,known_target_filename
locsets,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\vehicle\locset\locset_car01.xml,tune\vehicle\locset\locset_car01.xml,locset_car01.xml,.xml,6179,56f910a3688254c7b377ba16e3dd76145a366b25,known_target_filename
locsets,codered_stock_vehicle_files,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\locset_truck01.xml,locset_truck01.xml,locset_truck01.xml,.xml,3890,d24033152aba2459bcdaccb7c0d24ed93fc3067c,known_target_filename
locsets,driveable_vehicles_backup,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\Game - Driveable vehicles +\locset_truck01.xml,locset_truck01.xml,locset_truck01.xml,.xml,5386,0a3b33fbac12f16d80b5f14e4d40c30c0bbea563,known_target_filename
locsets,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\vehicle\locset\locset_truck01.xml,tune\vehicle\locset\locset_truck01.xml,locset_truck01.xml,.xml,3890,d24033152aba2459bcdaccb7c0d24ed93fc3067c,known_target_filename
materials,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\materials\veh_car_body_metal.mtl,tune\materials\veh_car_body_metal.mtl,veh_car_body_metal.mtl,.mtl,250,b7510a4e753bed01043572df299fc02b36e889ff,known_target_filename
materials,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\materials\veh_car_wheel_rubber.mtl,tune\materials\veh_car_wheel_rubber.mtl,veh_car_wheel_rubber.mtl,.mtl,475,6ec3901322593b98db2b3d147fb05066cf9e48a5,known_target_filename
reference,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\navres\0x08850B94\boxcar01x.cnm,navres\0x08850B94\boxcar01x.cnm,boxcar01x.cnm,.cnm,846,09691c8d9e128f44ed5cac86c2843102cd2b33ae,car_truck_filename
reference,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\fragments\boxcar01x_hilod.cfd,fragments\boxcar01x_hilod.cfd,boxcar01x_hilod.cfd,.cfd,820255,e55ff426bed4bf1ff580d3bd59dc6349ddb53886,car_truck_filename
reference,rdr1_mods_root,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\template\components.xml,tune\template\components.xml,components.xml,.xml,31049,e02f51650e924f0aca0dc1286a5c09365f34d25d,text_reference
