# Code RED source/decompiled export
# Source: data/codered/faction_wars_actionable_targets.csv
# SHA1: f9589931db8580f41f04991eaa17756ee6bc5941

actionable_score,score,category,path,source_kind,regions,groups,high_value_terms,size
395,295,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__car_truck_inventory__car_truck_inventory.json.decompiled_source.txt,manifest/text,,factions:6|scripting:55|spawning:22|weapons_pressure:10|world_hosts:186,gringobrain|vehicle_generator,164654
385,335,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_host_placement_resolver_outputs__blackwater_host_candidates.json.decompiled_source.txt,manifest/text,blackwater,spawning:43|world_hosts:287,,62651
384,334,world host / gringo,research/blackwater_host_placement_resolver_outputs/blackwater_host_candidates.json,repo/text,blackwater,spawning:42|world_hosts:287,,61203
371,246,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRed_USArmy_Companion_AI_Research_Pass12.txt.decompiled_source.txt,manifest/text,,factions:111|scripting:23|spawning:27|war_behavior:39|weapons_pressure:5|world_hosts:17,gringobrain|population|task_follow,10815
370,245,tune/template pressure,research/CodeRed_USArmy_Companion_AI_Research_Pass12.txt,repo/text,,factions:110|scripting:23|spawning:27|war_behavior:39|weapons_pressure:5|world_hosts:17,gringobrain|population|task_follow,10440
346,246,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_wsi_gringo_correlation_outputs__wsi_sector_context.csv.decompiled_source.txt,manifest/text,blackwater,weapons_pressure:5|world_hosts:236,,79663
342,242,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_sector_context.csv,repo/text,blackwater,weapons_pressure:5|world_hosts:232,,79270
340,115,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/tools__codered_faction_wars_actionable_targets.py.decompiled_source.txt,manifest/text,armadillo|blackwater|fort mercer|thieves,factions:29|scripting:17|spawning:8|war_behavior:3|weapons_pressure:3|world_hosts:19,population|refgroup,11870
339,114,tune/template pressure,tools/codered_faction_wars_actionable_targets.py,repo/text,armadillo|blackwater|fort mercer|thieves,factions:28|scripting:17|spawning:8|war_behavior:3|weapons_pressure:3|world_hosts:19,population|refgroup,11425
332,257,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_Gringo_Vehicle_Research_Pass_2026-04-29.md.decompiled_source.txt,manifest/text,blackwater,factions:2|scripting:54|spawning:12|weapons_pressure:3|world_hosts:157,commongringos|gringobrain|vehicle_generator,7788
331,256,world host / gringo,research/CodeRED_Gringo_Vehicle_Research_Pass_2026-04-29.md,repo/text,blackwater,factions:2|scripting:54|spawning:12|weapons_pressure:3|world_hosts:156,commongringos|gringobrain|vehicle_generator,7379
321,171,tune/template pressure,scratch/script_workshop_pipeline/decompiled_export/docs__CodeRED_Tune_Max_Render_And_Spawns_Research.md.decompiled.txt,repo/text,armadillo|escalera|landing|ridgewood|thieves|tumbleweed,factions:52|spawning:51|war_behavior:8|world_hosts:14,population|refgroup,7768
321,171,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/docs__CodeRED_Tune_Max_Render_And_Spawns_Research.md.decompiled_source.txt,manifest/text,armadillo|escalera|landing|ridgewood|thieves|tumbleweed,factions:52|spawning:51|war_behavior:8|world_hosts:14,population|refgroup,7894
320,170,tune/template pressure,scratch/script_workshop_pipeline/read_full/docs__CodeRED_Tune_Max_Render_And_Spawns_Research.md.fullread.txt,repo/text,armadillo|escalera|landing|ridgewood|thieves|tumbleweed,factions:52|spawning:50|war_behavior:8|world_hosts:14,population|refgroup,7583
320,170,tune/template pressure,scratch/script_workshop_pipeline/import_queue/docs/CodeRED_Tune_Max_Render_And_Spawns_Research.md,repo/text,armadillo|escalera|landing|ridgewood|thieves|tumbleweed,factions:52|spawning:50|war_behavior:8|world_hosts:14,population|refgroup,7583
320,170,tune/template pressure,scratch/script_workshop_pipeline/edit_workspace/docs/CodeRED_Tune_Max_Render_And_Spawns_Research.md,manifest/text,armadillo|escalera|landing|ridgewood|thieves|tumbleweed,factions:52|spawning:50|war_behavior:8|world_hosts:14,population|refgroup,7583
320,170,tune/template pressure,docs/CodeRED_Tune_Max_Render_And_Spawns_Research.md,repo/text,armadillo|escalera|landing|ridgewood|thieves|tumbleweed,factions:52|spawning:50|war_behavior:8|world_hosts:14,population|refgroup,7583
317,242,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_host_placement_resolver_outputs__sector_context.csv.decompiled_source.txt,manifest/text,blackwater,spawning:1|weapons_pressure:5|world_hosts:231,,73382
315,240,world host / gringo,research/blackwater_host_placement_resolver_outputs/sector_context.csv,repo/text,blackwater,weapons_pressure:5|world_hosts:230,,72992
295,245,world host / gringo,research/extracted_root_research/extracted_root_research.md,repo/text,,factions:2|scripting:76|spawning:10|war_behavior:1|weapons_pressure:13|world_hosts:135,gringobrain,13606
295,245,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__extracted_root_research__extracted_root_research.md.decompiled_source.txt,manifest/text,,factions:2|scripting:76|spawning:10|war_behavior:1|weapons_pressure:13|world_hosts:135,gringobrain,13921
285,185,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/tools__codered_camp_car_workbench.py.decompiled_source.txt,manifest/text,,scripting:50|spawning:11|weapons_pressure:4|world_hosts:96,create_actor|refgroup|vehicle_generator,16613
284,184,world host / gringo,tools/codered_camp_car_workbench.py,repo/text,,scripting:50|spawning:11|weapons_pressure:4|world_hosts:95,create_actor|refgroup|vehicle_generator,16078
276,201,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__Tune__-__Max__Render__and__Spawns__Tune__trees__treetypesettings.xml.decompiled_source.txt,manifest/text,blackwater|manzanita|tumbleweed,factions:1|spawning:185,,166218
275,200,tune/template pressure,research/Tune - Max Render and Spawns/Tune/trees/treetypesettings.xml,repo/text,blackwater|manzanita|tumbleweed,factions:1|spawning:184,,161261
272,147,tune/template pressure,research/pass12_vs_pass14_strings_findings.md,repo/text,blackwater,factions:65|spawning:33|war_behavior:12|weapons_pressure:17|world_hosts:7,population,5282
272,147,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__pass12_vs_pass14_strings_findings.md.decompiled_source.txt,manifest/text,blackwater,factions:65|spawning:33|war_behavior:12|weapons_pressure:17|world_hosts:7,population,5541
266,191,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__Code_RED_CarTruck_MissionRecipe_Pass29__reports__pass29_line_hits.csv.decompiled_source.txt,manifest/text,,scripting:34|spawning:129|weapons_pressure:8|world_hosts:4,population|task_follow,27652
265,190,world host / gringo,research/Code_RED_CarTruck_MissionRecipe_Pass29/reports/pass29_line_hits.csv,repo/text,,scripting:33|spawning:129|weapons_pressure:8|world_hosts:4,population|task_follow,27196
258,183,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__Tune__-__Max__Render__and__Spawns__Tune__template__actions_templates.xml.decompiled_source.txt,manifest/text,,factions:15|scripting:24|spawning:98|war_behavior:27|weapons_pressure:11|world_hosts:8,,66321
257,182,tune/template pressure,research/Tune - Max Render and Spawns/Tune/template/actions_templates.xml,repo/text,,factions:15|scripting:24|spawning:97|war_behavior:27|weapons_pressure:11|world_hosts:8,,64795
254,204,tune/template pressure,scratch/script_workshop_pipeline/read_full/research__menu_resources__root__content__ui__boot.sc.xml.fullread.txt,repo/text,,scripting:31|spawning:168|world_hosts:5,,37855
254,204,tune/template pressure,scratch/script_workshop_pipeline/import_queue/research/menu resources/root/content/ui/boot.sc.xml,repo/text,,scripting:31|spawning:168|world_hosts:5,,37855
254,204,tune/template pressure,scratch/script_workshop_pipeline/edit_workspace/research/menu resources/root/content/ui/boot.sc.xml,manifest/text,,scripting:31|spawning:168|world_hosts:5,,37855
254,204,tune/template pressure,scratch/script_workshop_pipeline/decompiled_export/research__menu_resources__root__content__ui__boot.sc.xml.decompiled.txt,repo/text,,scripting:31|spawning:168|world_hosts:5,,38040
254,204,tune/template pressure,research/menu resources/root/content/ui/boot.sc.xml,repo/text,,scripting:31|spawning:168|world_hosts:5,,37855
254,204,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__menu__resources__root__content__ui__boot.sc.xml.decompiled_source.txt,manifest/text,,scripting:31|spawning:168|world_hosts:5,,38764
251,126,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__15_30_cumulative_blackwater_lasso_report.json.decompiled_source.txt,manifest/text,blackwater,factions:28|scripting:3|spawning:36|war_behavior:24|weapons_pressure:15|world_hosts:15,,4103
250,125,tune/template pressure,research/15_30_cumulative_blackwater_lasso_report.json,repo/text,blackwater,factions:28|scripting:3|spawning:36|war_behavior:24|weapons_pressure:14|world_hosts:15,,3889
244,194,archive patch lane,research/car_truck_inventory/live_rpf_entries.csv,repo/text,,scripting:54|weapons_pressure:4|world_hosts:120,gringobrain|vehicle_generator,21239
244,194,archive patch lane,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__car_truck_inventory__live_rpf_entries.csv.decompiled_source.txt,manifest/text,,scripting:54|weapons_pressure:4|world_hosts:120,gringobrain|vehicle_generator,21448
242,142,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__15_50_rival_gang_towns_report.json.decompiled_source.txt,manifest/text,,factions:35|scripting:3|spawning:39|war_behavior:28|weapons_pressure:11|world_hosts:26,,4817
240,140,tune/template pressure,research/15_50_rival_gang_towns_report.json,repo/text,,factions:34|scripting:3|spawning:39|war_behavior:28|weapons_pressure:11|world_hosts:25,,4593
238,213,script/native candidate,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/data__codered__native_bridge_selected_wrappers.cpp.decompiled_source.txt,manifest/text,,factions:6|scripting:22|spawning:112|war_behavior:4|weapons_pressure:4|world_hosts:1,ai_is_hostile|create_actor|get_actor_faction|set_actor_faction|task_follow|task_kill|task_stand|task_wander,5629
238,138,tune/template pressure,research/CodeRED_RESEARCH_SYNTHESIS_2026-04-29.md,repo/text,,factions:1|scripting:18|spawning:25|war_behavior:1|weapons_pressure:2|world_hosts:75,commongringos|vehicle_generator,8619
238,138,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_RESEARCH_SYNTHESIS_2026-04-29.md.decompiled_source.txt,manifest/text,,factions:1|scripting:18|spawning:25|war_behavior:1|weapons_pressure:2|world_hosts:75,commongringos|vehicle_generator,8939
236,136,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_Cutscene_Placement_Pass15_Build__tools__build_cutscene_placement_pass15.py.decompiled_source.txt,manifest/text,blackwater,scripting:11|spawning:40|war_behavior:4|world_hosts:68,refgroup,17683
234,134,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/tools/build_cutscene_placement_pass15.py,repo/text,blackwater,scripting:11|spawning:38|war_behavior:4|world_hosts:68,refgroup,17124
220,170,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_host_placement_resolver_outputs__blackwater_host_candidates.csv.decompiled_source.txt,manifest/text,blackwater,spawning:43|world_hosts:122,,29592
219,169,world host / gringo,research/blackwater_host_placement_resolver_outputs/blackwater_host_candidates.csv,repo/text,blackwater,spawning:42|world_hosts:122,,29374
218,143,tune/template pressure,research/IMPORTANT_later_rpf_compare_2026-05-02/later_rpf_changed_between_versions.csv,repo/text,tumbleweed,factions:16|spawning:8|war_behavior:5|weapons_pressure:20|world_hosts:89,,40608
218,143,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_later_rpf_compare_2026-05-02__later_rpf_changed_between_versions.csv.decompiled_source.txt,manifest/text,tumbleweed,factions:16|spawning:8|war_behavior:5|weapons_pressure:20|world_hosts:89,,40849
214,139,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/docs__script_workflow__REALTIME_WEAPON_MODIFIERS.md.decompiled_source.txt,manifest/text,,factions:8|scripting:4|spawning:38|war_behavior:1|weapons_pressure:84|world_hosts:4,,5451
212,137,tune/template pressure,docs/script_workflow/REALTIME_WEAPON_MODIFIERS.md,repo/text,,factions:8|scripting:3|spawning:38|war_behavior:1|weapons_pressure:83|world_hosts:4,,5122
211,86,tune/template pressure,research/CodeRed_Navres_Psocache_Findings_Pass12_Update.txt,repo/text,,factions:4|spawning:22|war_behavior:9|weapons_pressure:8|world_hosts:27,population|refgroup,6898
211,86,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRed_Navres_Psocache_Findings_Pass12_Update.txt.decompiled_source.txt,manifest/text,,factions:4|spawning:22|war_behavior:9|weapons_pressure:8|world_hosts:27,population|refgroup,7248
209,134,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__15_40_all_towns_active_report.json.decompiled_source.txt,manifest/text,,factions:29|scripting:3|spawning:38|war_behavior:29|weapons_pressure:11|world_hosts:24,,4674
209,84,tune/template pressure,research/CodeRed_Navres_Terrain_Navigation_Findings_Pass12.txt,repo/text,,factions:4|scripting:1|spawning:30|war_behavior:6|weapons_pressure:4|world_hosts:23,population|refgroup,4173
209,84,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRed_Navres_Terrain_Navigation_Findings_Pass12.txt.decompiled_source.txt,manifest/text,,factions:4|scripting:1|spawning:30|war_behavior:6|weapons_pressure:4|world_hosts:23,population|refgroup,4395
208,133,tune/template pressure,research/15_40_all_towns_active_report.json,repo/text,,factions:29|scripting:3|spawning:38|war_behavior:29|weapons_pressure:11|world_hosts:23,,4453
204,179,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/related_apps__Code_RED_ScriptHookRDR_AI_Menu__install_vehicle_first_menu_data_windows.ps1.decompiled_source.txt,manifest/text,,factions:16|scripting:4|spawning:125|war_behavior:8|world_hosts:18,create_actor,8313
204,54,tune/template pressure,scratch/script_workshop_pipeline/read_full/docs__CodeRED_Living_World_Station_Prep.md.fullread.txt,repo/text,blackwater,factions:14|spawning:14|weapons_pressure:3|world_hosts:2,population|refgroup,3021
204,54,tune/template pressure,scratch/script_workshop_pipeline/import_queue/docs/CodeRED_Living_World_Station_Prep.md,repo/text,blackwater,factions:14|spawning:14|weapons_pressure:3|world_hosts:2,population|refgroup,3021
204,54,tune/template pressure,scratch/script_workshop_pipeline/edit_workspace/docs/CodeRED_Living_World_Station_Prep.md,manifest/text,blackwater,factions:14|spawning:14|weapons_pressure:3|world_hosts:2,population|refgroup,3021
204,54,tune/template pressure,scratch/script_workshop_pipeline/decompiled_export/docs__CodeRED_Living_World_Station_Prep.md.decompiled.txt,repo/text,blackwater,factions:14|spawning:14|weapons_pressure:3|world_hosts:2,population|refgroup,3196
204,54,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/docs__CodeRED_Living_World_Station_Prep.md.decompiled_source.txt,manifest/text,blackwater,factions:14|spawning:14|weapons_pressure:3|world_hosts:2,population|refgroup,3249
204,54,tune/template pressure,docs/CodeRED_Living_World_Station_Prep.md,repo/text,blackwater,factions:14|spawning:14|weapons_pressure:3|world_hosts:2,population|refgroup,3021
203,178,archive patch lane,research/wft_wedt_attachment_lab/model_resource_summary.csv,repo/text,,factions:148|weapons_pressure:30,,44174
203,178,world host / gringo,related_apps/Code_RED_ScriptHookRDR_AI_Menu/install_vehicle_first_menu_data_windows.ps1,repo/text,,factions:16|scripting:3|spawning:125|war_behavior:8|world_hosts:18,create_actor,8009
203,178,archive patch lane,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__wft_wedt_attachment_lab__model_resource_summary.csv.decompiled_source.txt,manifest/text,,factions:148|weapons_pressure:30,,44483
196,96,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/tools__codered_analyze_camp_car_scan.py.decompiled_source.txt,manifest/text,,scripting:12|spawning:4|weapons_pressure:3|world_hosts:61,refgroup|vehicle_generator,5328
195,95,world host / gringo,tools/codered_analyze_camp_car_scan.py,repo/text,,scripting:12|spawning:4|weapons_pressure:3|world_hosts:60,refgroup|vehicle_generator,5069
192,117,tune/template pressure,research/15_00_pass12_base_report.json,repo/text,,factions:28|scripting:3|spawning:36|war_behavior:24|weapons_pressure:11|world_hosts:15,,3870
192,117,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__15_00_pass12_base_report.json.decompiled_source.txt,manifest/text,,factions:28|scripting:3|spawning:36|war_behavior:24|weapons_pressure:11|world_hosts:15,,4068
172,172,archive patch lane,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/related_apps__Code_RED_ScriptHookRDR_AI_Menu__patches__CodeRED_AI_Menu_actor_enum_loader_reference.cpp.decompiled_source.txt,manifest/text,,factions:7|scripting:78|spawning:83|war_behavior:4,,26777
172,97,tune/template pressure,research/car_truck_inventory/car_truck_inventory.md,repo/text,,scripting:19|weapons_pressure:2|world_hosts:68,vehicle_generator,8087
172,97,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__car_truck_inventory__car_truck_inventory.md.decompiled_source.txt,manifest/text,,scripting:19|weapons_pressure:2|world_hosts:68,vehicle_generator,8331
170,170,script/native candidate,related_apps/Code_RED_ScriptHookRDR_AI_Menu/patches/CodeRED_AI_Menu_actor_enum_loader_reference.cpp,repo/text,,factions:7|scripting:77|spawning:82|war_behavior:4,,25831
169,144,script/native candidate,tools/codered_native_bridge_generation.py,repo/text,,factions:8|scripting:22|spawning:41|war_behavior:6|weapons_pressure:1|world_hosts:2,ai_is_hostile|create_actor|get_actor_faction|set_actor_faction|task_follow|task_kill|task_stand|task_wander,19194
169,144,script/native candidate,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/tools__codered_native_bridge_generation.py.decompiled_source.txt,manifest/text,,factions:8|scripting:22|spawning:41|war_behavior:6|weapons_pressure:1|world_hosts:2,ai_is_hostile|create_actor|get_actor_faction|set_actor_faction|task_follow|task_kill|task_stand|task_wander,19831
169,94,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/tools__codered_inspect_camp_vehicle_gringo_scripts.py.decompiled_source.txt,manifest/text,,scripting:11|spawning:7|weapons_pressure:4|world_hosts:56,create_actor|vehicle_generator,8629
168,68,tune/template pressure,research/Tune - Stronger NPC/Template/components.xml,repo/text,,factions:4|spawning:24|war_behavior:15|weapons_pressure:13|world_hosts:12,,31112
168,68,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__Tune__-__Stronger__NPC__Template__components.xml.decompiled_source.txt,manifest/text,,factions:4|spawning:24|war_behavior:15|weapons_pressure:13|world_hosts:12,,31833
167,92,tune/template pressure,scratch/script_workshop_pipeline/decompiled_export/related_apps__code_red_sccl_attempt_bundle_v1__code_red_script_compile_lab_v1__src__main.c.decompiled.txt,repo/text,,scripting:8|spawning:65|weapons_pressure:3,create_actor|streaming_request_actor,8131
166,116,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_host_placement_resolver_outputs__blackwater_safe_vehicle_test_candidates.csv.decompiled_source.txt,manifest/text,blackwater,spawning:32|world_hosts:79,,24155
166,91,world host / gringo,tools/codered_inspect_camp_vehicle_gringo_scripts.py,repo/text,,scripting:10|spawning:7|weapons_pressure:4|world_hosts:54,create_actor|vehicle_generator,8244
166,91,tune/template pressure,scratch/script_workshop_pipeline/recompile_queue/related_apps/code_red_sccl_attempt_bundle_v1/code_red_script_compile_lab_v1/src/main.c,repo/text,,scripting:7|spawning:65|weapons_pressure:3,create_actor|streaming_request_actor,7911
166,91,tune/template pressure,scratch/script_workshop_pipeline/read_full/related_apps__code_red_sccl_attempt_bundle_v1__code_red_script_compile_lab_v1__src__main.c.fullread.txt,repo/text,,scripting:7|spawning:65|weapons_pressure:3,create_actor|streaming_request_actor,7911
166,91,tune/template pressure,scratch/script_workshop_pipeline/import_queue/related_apps/code_red_sccl_attempt_bundle_v1/code_red_script_compile_lab_v1/src/main.c,repo/text,,scripting:7|spawning:65|weapons_pressure:3,create_actor|streaming_request_actor,7911
166,91,tune/template pressure,scratch/script_workshop_pipeline/edit_workspace/related_apps/code_red_sccl_attempt_bundle_v1/code_red_script_compile_lab_v1/src/main.c,manifest/text,,scripting:7|spawning:65|weapons_pressure:3,create_actor|streaming_request_actor,7911
165,115,world host / gringo,research/blackwater_host_placement_resolver_outputs/blackwater_safe_vehicle_test_candidates.csv,repo/text,blackwater,spawning:31|world_hosts:79,,23935
164,89,tune/template pressure,research/IMPORTANT_later_rpf_compare_2026-05-02/later_rpf_compare.md,repo/text,tumbleweed,factions:17|spawning:12|war_behavior:8|weapons_pressure:5|world_hosts:42,,19881
164,89,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_later_rpf_compare_2026-05-02__later_rpf_compare.md.decompiled_source.txt,manifest/text,tumbleweed,factions:17|spawning:12|war_behavior:8|weapons_pressure:5|world_hosts:42,,20230
152,52,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_wsi_gringo_correlation_outputs__wsi_gringo_correlation_master.json.decompiled_source.txt,manifest/text,blackwater,spawning:1|weapons_pressure:3|world_hosts:43,,1316
152,52,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_Cutscene_Placement_Pass15_Build__README_PASS15_CUTSCENE_PLACEMENT_FINDINGS.txt.decompiled_source.txt,manifest/text,blackwater,scripting:5|spawning:17|world_hosts:17,refgroup,2687
150,50,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/README_PASS15_CUTSCENE_PLACEMENT_FINDINGS.txt,repo/text,blackwater,scripting:5|spawning:15|world_hosts:17,refgroup,2439
149,74,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/tools__codered_scan_camp_car_import_candidates.py.decompiled_source.txt,manifest/text,,scripting:4|spawning:9|world_hosts:37,create_actor|refgroup|vehicle_generator,8711
148,73,world host / gringo,tools/codered_scan_camp_car_import_candidates.py,repo/text,,scripting:4|spawning:9|world_hosts:36,create_actor|refgroup|vehicle_generator,8329
145,45,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_Cutscene_Placement_Pass15_Build__reports__pass15_cutscene_placement_summary.json.decompiled_source.txt,manifest/text,blackwater,scripting:3|spawning:11|world_hosts:18,refgroup,3444
143,118,archive patch lane,research/IMPORTANT_psocache_rpf_analysis_2026-05-02/psocache_entries.csv,repo/text,,war_behavior:1|weapons_pressure:79|world_hosts:38,,839459
143,118,archive patch lane,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_psocache_rpf_analysis_2026-05-02__psocache_entries.csv.decompiled_source.txt,manifest/text,,war_behavior:1|weapons_pressure:79|world_hosts:38,,841933
143,43,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_gringo_correlation_master.json,repo/text,,spawning:1|weapons_pressure:3|world_hosts:39,,1107
143,43,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/pass15_cutscene_placement_summary.json,repo/text,blackwater,scripting:3|spawning:9|world_hosts:18,refgroup,3167
134,109,archive patch lane,research/IMPORTANT_psocache_rpf_analysis_2026-05-02/psocache_interesting_terms.csv,repo/text,,weapons_pressure:78|world_hosts:31,,296877
134,109,archive patch lane,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_psocache_rpf_analysis_2026-05-02__psocache_interesting_terms.csv.decompiled_source.txt,manifest/text,,weapons_pressure:78|world_hosts:31,,298724
133,58,tune/template pressure,research/CodeRed_Behavior_File_Findings_Pass05_Research.txt,repo/text,,factions:16|scripting:3|spawning:1|war_behavior:31|weapons_pressure:3|world_hosts:4,,5672
133,58,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRed_Behavior_File_Findings_Pass05_Research.txt.decompiled_source.txt,manifest/text,,factions:16|scripting:3|spawning:1|war_behavior:31|weapons_pressure:3|world_hosts:4,,5974
131,81,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/tools__codered_scan_gringo_descriptors.py.decompiled_source.txt,manifest/text,,scripting:36|weapons_pressure:1|world_hosts:36,vehicle_generator,7362
131,31,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/docs__code-red-script-workflow__LANES.md.decompiled_source.txt,manifest/text,,scripting:6|spawning:9|war_behavior:3|weapons_pressure:1|world_hosts:4,refgroup,2748
130,105,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/related_apps__Code_RED_ScriptHookRDR_AI_Menu__install_diagnostic_only_menu_data_windows.ps1.decompiled_source.txt,manifest/text,,factions:24|scripting:2|spawning:54|war_behavior:13|world_hosts:4,create_actor,5856
130,30,tune/template pressure,docs/code-red-script-workflow/LANES.md,repo/text,,scripting:5|spawning:9|war_behavior:3|weapons_pressure:1|world_hosts:4,refgroup,2499
129,104,world host / gringo,related_apps/Code_RED_ScriptHookRDR_AI_Menu/install_diagnostic_only_menu_data_windows.ps1,repo/text,,factions:24|scripting:1|spawning:54|war_behavior:13|world_hosts:4,create_actor,5565
129,79,world host / gringo,tools/codered_scan_gringo_descriptors.py,repo/text,,scripting:35|weapons_pressure:1|world_hosts:35,vehicle_generator,7021
127,127,archive patch lane,scratch/script_workshop_pipeline/import_queue/IMPORT_QUEUE.json,repo/text,,scripting:106|spawning:6|world_hosts:15,,16991
125,125,script/native candidate,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/tools__codered_ai_trainer_validation.py.decompiled_source.txt,manifest/text,,factions:8|scripting:8|spawning:54|war_behavior:4|world_hosts:11,create_actor|task_follow|task_kill|task_stand|task_wander,16694
124,124,script/native candidate,tools/codered_ai_trainer_validation.py,repo/text,,factions:8|scripting:8|spawning:54|war_behavior:4|world_hosts:10,create_actor|task_follow|task_kill|task_stand|task_wander,16143
124,49,tune/template pressure,research/car_truck_inventory/reference_entries.csv,repo/text,,weapons_pressure:6|world_hosts:43,,22458
122,47,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__dualgun_left_hand_bypass__smic_player_hand_rows.csv.decompiled_source.txt,manifest/text,,factions:45|weapons_pressure:2,,15979
121,46,tune/template pressure,research/wft_wedt_attachment_lab/smic_player_hand_rows.csv,repo/text,,factions:45|weapons_pressure:1,,15714
121,46,tune/template pressure,research/dualgun_left_hand_bypass/smic_player_hand_rows.csv,repo/text,,factions:45|weapons_pressure:1,,15714
121,46,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__wft_wedt_attachment_lab__smic_player_hand_rows.csv.decompiled_source.txt,manifest/text,,factions:45|weapons_pressure:1,,15978
117,42,tune/template pressure,research/CodeRED_VR_Motion_Controls_Research_Status_2026-04-30.md,repo/text,,scripting:1|spawning:1|war_behavior:5|weapons_pressure:32|world_hosts:3,,5753
117,42,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_VR_Motion_Controls_Research_Status_2026-04-30.md.decompiled_source.txt,manifest/text,,scripting:1|spawning:1|war_behavior:5|weapons_pressure:32|world_hosts:3,,6126
113,38,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__dualgun_left_hand_bypass__source_script_hook_dualgun_attachment_plan.json.decompiled_source.txt,manifest/text,,scripting:5|spawning:2|war_behavior:1|weapons_pressure:30,,5725
