# Code RED source/decompiled export
# Source: data/codered/faction_wars_targets.csv
# SHA1: b37f585be34a741f127b9af9c307ae0cd6b7a692

score,category,path,source_kind,regions,groups,high_value_terms,size
9941,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__file_index.csv.decompiled_source.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|gaptooth|landing|manzanita|mexico|plainview|rathskeller|ridgewood|thieves|tumbleweed,factions:1222|scripting:2227|spawning:2468|war_behavior:277|weapons_pressure:589|world_hosts:3045,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,1923028
9621,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/important_files.csv,repo/text,armadillo|blackwater|chuparosa|escalera|gaptooth|manzanita|rathskeller|tumbleweed,factions:1170|scripting:2031|spawning:2455|war_behavior:271|weapons_pressure:569|world_hosts:3037,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,1627275
9621,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/read/research__IMPORTANT_readable_root_index_2026-05-02__important_files.csv.fullread.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|gaptooth|manzanita|rathskeller|tumbleweed,factions:1170|scripting:2031|spawning:2455|war_behavior:271|weapons_pressure:569|world_hosts:3037,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,1631935
9621,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/edit/research/IMPORTANT_readable_root_index_2026-05-02/important_files.csv,manifest/text,armadillo|blackwater|chuparosa|escalera|gaptooth|manzanita|rathskeller|tumbleweed,factions:1170|scripting:2031|spawning:2455|war_behavior:271|weapons_pressure:569|world_hosts:3037,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,1627275
9621,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__important_files.csv.decompiled_source.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|gaptooth|manzanita|rathskeller|tumbleweed,factions:1170|scripting:2031|spawning:2455|war_behavior:271|weapons_pressure:569|world_hosts:3037,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,1632105
9124,script/native candidate,data/codered/script_workshop_extension_manifest.csv,repo/text,armadillo|blackwater|tumbleweed,factions:299|scripting:3458|spawning:3320|war_behavior:509|weapons_pressure:661|world_hosts:782,ai_is_hostile|create_actor|get_actor_faction|population|refgroup|set_actor_faction|task_follow|task_kill|task_stand|task_wander,1577859
8928,script/native candidate,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/data__codered__script_workshop_extension_manifest.csv.decompiled_source.txt,manifest/text,armadillo|blackwater|tumbleweed,factions:251|scripting:3374|spawning:3266|war_behavior:501|weapons_pressure:660|world_hosts:781,ai_is_hostile|create_actor|get_actor_faction|population|refgroup|set_actor_faction|task_follow|task_kill|task_stand|task_wander,1569059
8927,script/native candidate,related_apps/CodeRED_Script_Workshop/workspace/read/data__codered__script_workshop_extension_manifest.csv.fullread.txt,manifest/text,armadillo|blackwater|tumbleweed,factions:251|scripting:3373|spawning:3266|war_behavior:501|weapons_pressure:660|world_hosts:781,ai_is_hostile|create_actor|get_actor_faction|population|refgroup|set_actor_faction|task_follow|task_kill|task_stand|task_wander,1568907
8927,script/native candidate,related_apps/CodeRED_Script_Workshop/workspace/edit/data/codered/script_workshop_extension_manifest.csv,manifest/text,armadillo|blackwater|tumbleweed,factions:251|scripting:3373|spawning:3266|war_behavior:501|weapons_pressure:660|world_hosts:781,ai_is_hostile|create_actor|get_actor_faction|population|refgroup|set_actor_faction|task_follow|task_kill|task_stand|task_wander,1568561
8733,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_wsi_gringo_correlation_outputs__wgd_keyword_components.csv.decompiled_source.txt,manifest/text,blackwater,factions:28|scripting:3851|spawning:6|war_behavior:6|weapons_pressure:98|world_hosts:4723,gringobrain|vehicle_generator,175031
