internal_path,versions_present,sha1_count,status,version_sha1s,version_sizes,extracted_paths,old_match_statuses,matched_terms
0xA562A52D\0xABD6FBF8\sheriff.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:5bff1752a959a310378e4da4923fe8ebf32abc55|live_tune:d896610f75ae2d554438e006e558b8fb161636a1|putback_tune:d896610f75ae2d554438e006e558b8fb161636a1,base_old_tune:12366|live_tune:12369|putback_tune:12369,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xABD6FBF8_sheriff.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xABD6FBF8_sheriff.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xABD6FBF8_sheriff.xml,leaf_hash_changed|leaf_hash_same,camera;faction;nav;vehicle
0xA562A52D\0xBEE46552\components.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:e02f51650e924f0aca0dc1286a5c09365f34d25d|live_tune:30bf4db9fea27d8f7071096c72815d847cf91721|putback_tune:30bf4db9fea27d8f7071096c72815d847cf91721,base_old_tune:31049|live_tune:31106|putback_tune:31106,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xBEE46552_components.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xBEE46552_components.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xBEE46552_components.xml,leaf_hash_changed|leaf_hash_same,ally;camera;cinvehicle;enemy;faction;hostile;law;locset;spawn;stagecoach;string;ui;vehicle
0xA562A52D\0xBEE46552\template_base_horse.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:1dc99f1848a766f082be2fb411ee957102e9644d|live_tune:2bb5097ceb62f7dcbd608ec764ac7ff3e71ca38d|putback_tune:1dc99f1848a766f082be2fb411ee957102e9644d,base_old_tune:3868|live_tune:4824|putback_tune:3868,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xBEE46552_template_base_horse.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xBEE46552_template_base_horse.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xBEE46552_template_base_horse.xml,leaf_hash_changed|leaf_hash_same,faction;hostile;spawn;string
0xA562A52D\0xBEE46552\template_base_human.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:e325b2914825537a8f2e7d80fbb33b66f2b6204a|live_tune:7b2330278ee45d5e17bbe2682c11e6e3e91798f3|putback_tune:7b2330278ee45d5e17bbe2682c11e6e3e91798f3,base_old_tune:3304|live_tune:3297|putback_tune:3297,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xBEE46552_template_base_human.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xBEE46552_template_base_human.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xBEE46552_template_base_human.xml,leaf_hash_changed,hostile;spawn;string;ui
0xA562A52D\0xBEE46552\template_base_train.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:dccd987438449be754cc51510fdc12cf1cebc95c|live_tune:fe57bff459eb6db34321aca09d58ed8798a632d6|putback_tune:dccd987438449be754cc51510fdc12cf1cebc95c,base_old_tune:464|live_tune:573|putback_tune:464,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xBEE46552_template_base_train.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xBEE46552_template_base_train.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xBEE46552_template_base_train.xml,leaf_hash_changed|leaf_hash_same,faction;locset;spawn;stagecoach;string;template_vehicle;vehicle
0xA562A52D\0xBEE46552\template_draftvehicle.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:78a1c57f2ab7cc19f8e2175012e4ac09b2387e7f|live_tune:d1c4363cbba2e45f3300ab6c5c461ae316abf734|putback_tune:78a1c57f2ab7cc19f8e2175012e4ac09b2387e7f,base_old_tune:1178|live_tune:1240|putback_tune:1178,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xBEE46552_template_draftvehicle.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xBEE46552_template_draftvehicle.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xBEE46552_template_draftvehicle.xml,leaf_hash_changed|leaf_hash_same,locset;stagecoach;string;vehicle
0xA562A52D\0xBEE46552\template_mplayer.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:726adddf5caae00ca2af0981c3261ba650688fcb|live_tune:70524f38c3328e9a6bc7739d26d3a33080fb8c6c|putback_tune:70524f38c3328e9a6bc7739d26d3a33080fb8c6c,base_old_tune:3857|live_tune:3850|putback_tune:3850,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xBEE46552_template_mplayer.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xBEE46552_template_mplayer.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xBEE46552_template_mplayer.xml,leaf_hash_changed,faction;hostile;spawn;string;ui
0xA562A52D\0xBEE46552\template_vehicle.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:0b6f50dc5d8e01f92b691fb2dcbd5d29de4d003d|live_tune:5d912f4a9e088534878e7ec081d1a23875eff6ad|putback_tune:0b6f50dc5d8e01f92b691fb2dcbd5d29de4d003d,base_old_tune:1029|live_tune:1091|putback_tune:1029,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xBEE46552_template_vehicle.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xBEE46552_template_vehicle.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xBEE46552_template_vehicle.xml,leaf_hash_changed|leaf_hash_same,string;template_vehicle;vehicle
0xA562A52D\0xBEE46552\template_vehicleraft01.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:dc6e382ac88b9791d18689b069e8868e39285288|live_tune:d6d030e8b4c80f5a33e234412915ec7c07724e6c|putback_tune:d6d030e8b4c80f5a33e234412915ec7c07724e6c,base_old_tune:610|live_tune:705|putback_tune:705,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xBEE46552_template_vehicleraft01.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xBEE46552_template_vehicleraft01.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xBEE46552_template_vehicleraft01.xml,leaf_hash_changed|leaf_hash_same,faction;locset;spawn;stagecoach;string;template_vehicle;vehicle
0xA562A52D\0xBEE46552\template_vehicleraft02.xml,base_old_tune|live_tune|putback_tune,2,different_between_versions,base_old_tune:330b488fdc56f106625e02160c9a6741967cdf3b|live_tune:4171da0aa0911a40c470859da7826d3c536be3c4|putback_tune:4171da0aa0911a40c470859da7826d3c536be3c4,base_old_tune:705|live_tune:705|putback_tune:705,D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\base_old_tune\0xA562A52D_0xBEE46552_template_vehicleraft02.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\live_tune\0xA562A52D_0xBEE46552_template_vehicleraft02.xml|D:\Games\Red Dead Redemption\game\_CodeRED_Temp_Later_RPF_Extract_20260502\putback_tune\0xA562A52D_0xBEE46552_template_vehicleraft02.xml,leaf_hash_changed|leaf_hash_same,faction;locset;spawn;stagecoach;string;template_vehicle;vehicle
