index,path,raw_size,rsc,resource_type,codec,decoded_size,decode_error,score,reasons
467,root\content\release64\dlc\0x22398628\0x72440E09\0x0C925868\0x9A2C155A\0xBEFC70E1,31270,False,,,,,383,u16be:1194:1;u16be:1193:1;u16le:1194:1
469,root\content\release64\dlc\0x22398628\0x72440E09\0x65BC9DB1\0x6AA21F8E,17691,True,2,zstd,57344,,233,
471,root\content\release64\dlc\0x22398628\0x72440E09\0x65BC9DB1\0x97DCCC05,19345,False,,,,,101,
473,root\content\release64\dlc\0x22398628\0x72440E09\0x65BC9DB1\0x14EF9BBB\0x75F47E2B,30094,False,,,,,287,u16be:1194:1;u16le:1194:3
474,root\content\release64\dlc\0x22398628\0x72440E09\0x65BC9DB1\0x14EF9BBB\0xFEA11DBB,28208,True,2,zstd,69632,,389,u16be:1193:2
475,root\content\release64\dlc\0x22398628\0x72440E09\0x65BC9DB1\0x79A33999\0x7F82DCA0,28456,True,2,zstd,73728,,419,u16be:1193:3
476,root\content\release64\dlc\0x22398628\0x72440E09\0x65BC9DB1\0x79A33999\0xFB3D6054,30358,False,,,,,145,
477,root\content\release64\dlc\0x22398628\0x72440E09\0x65BC9DB1\0xDDDDA91E\0x2396FD91,27921,False,,,,,286,u16be:1194:1;u16be:1193:1
478,root\content\release64\dlc\0x22398628\0x72440E09\0x65BC9DB1\0xDDDDA91E\0xFB2B2865,26287,True,2,zstd,69632,,387,u16be:1193:2
479,root\content\release64\dlc\0x22398628\system\0x148CDF44,44140,True,2,zstd,126976,,1259,string:maximshoottruck;string:gatlingshoottruck;string:gatlingshoot;string:maximshoot;string:gattling_attach;string:stagegat_attach;u16be:1193:3;u16be:1194:3;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT
480,root\content\release64\dlc\0x22398628\system\0x1933EFBD,79431,False,,,,,577,u16be:1194:3;u16le:1194:1
481,root\content\release64\dlc\0x22398628\system\0x38444A6E,25504,True,2,zstd,86016,,418,
482,root\content\release64\dlc\0x22398628\system\0x4A00B254,19640,False,,,,,155,u16be:1194:1
484,root\content\release64\dlc\0x22398628\system\0x6EE67FA4,18559,True,2,zstd,53248,,373,
485,root\content\release64\dlc\0x22398628\system\0x761AD352,48473,False,,,,,246,u16le:1194:1
486,root\content\release64\dlc\0x22398628\system\0xA95DF2DD,27680,False,,,,,225,u16be:1194:1;u16be:1193:1
487,root\content\release64\dlc\0x22398628\system\0xAD45C199,42062,True,2,zstd,110592,,678,u16be:1193:4;u16be:1194:4
488,root\content\release64\dlc\0x22398628\system\0xC4F6FFCE,45140,False,,,,,334,u16be:1193:2
489,root\content\release64\dlc\0x22398628\system\0xDBEEDF89,72567,True,2,zstd,196608,,841,u16be:1193:1;u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT
