index,path,format,actor_id,actor_name,count
6,root\content\0xA57F233C,u16be,1157,TrainCar02,1
6,root\content\0xA57F233C,u16be,1168,TrainEngine02,1
6,root\content\0xA57F233C,u16be,1170,TrainCarNorth02,1
6,root\content\0xA57F233C,u16be,1190,Stagecoach02,1
6,root\content\0xA57F233C,u16be,1195,Wagon04,1
6,root\content\0xA57F233C,u16be,1201,Chuckwagon02,1
6,root\content\0xA57F233C,u16le,1178,Buggy02,1
6,root\content\0xA57F233C,u16le,1194,Car01,1
6,root\content\0xA57F233C,i16be,1157,TrainCar02,1
6,root\content\0xA57F233C,i16be,1168,TrainEngine02,1
6,root\content\0xA57F233C,i16be,1170,TrainCarNorth02,1
6,root\content\0xA57F233C,i16be,1190,Stagecoach02,1
6,root\content\0xA57F233C,i16be,1195,Wagon04,1
6,root\content\0xA57F233C,i16be,1201,Chuckwagon02,1
6,root\content\0xA57F233C,i16le,1178,Buggy02,1
6,root\content\0xA57F233C,i16le,1194,Car01,1
14,root\content\dlc\0x22398628\0x173D2464,u16be,1168,TrainEngine02,1
14,root\content\dlc\0x22398628\0x173D2464,u16be,1193,Truck01,1
14,root\content\dlc\0x22398628\0x173D2464,i16be,1168,TrainEngine02,1
14,root\content\dlc\0x22398628\0x173D2464,i16be,1193,Truck01,1
17,root\content\dlc\0x22398628\0x47DF250D,u16be,1179,Buggy03,6
17,root\content\dlc\0x22398628\0x47DF250D,u16be,1182,Buggy06,6
17,root\content\dlc\0x22398628\0x47DF250D,u16be,1188,Cart006,6
17,root\content\dlc\0x22398628\0x47DF250D,u16be,1189,Stagecoach01,6
17,root\content\dlc\0x22398628\0x47DF250D,u16be,1192,Stagecoach04,6
17,root\content\dlc\0x22398628\0x47DF250D,u16le,1166,TrainCarFlat01,6
17,root\content\dlc\0x22398628\0x47DF250D,u16le,1172,TrainCarNorth04,6
17,root\content\dlc\0x22398628\0x47DF250D,u16le,1175,NorthTrainA,6
17,root\content\dlc\0x22398628\0x47DF250D,u16le,1183,Cart01,6
17,root\content\dlc\0x22398628\0x47DF250D,i16be,1179,Buggy03,6
17,root\content\dlc\0x22398628\0x47DF250D,i16be,1182,Buggy06,6
17,root\content\dlc\0x22398628\0x47DF250D,i16be,1188,Cart006,6
17,root\content\dlc\0x22398628\0x47DF250D,i16be,1189,Stagecoach01,6
17,root\content\dlc\0x22398628\0x47DF250D,i16be,1192,Stagecoach04,6
17,root\content\dlc\0x22398628\0x47DF250D,i16le,1166,TrainCarFlat01,6
17,root\content\dlc\0x22398628\0x47DF250D,i16le,1172,TrainCarNorth04,6
17,root\content\dlc\0x22398628\0x47DF250D,i16le,1175,NorthTrainA,6
17,root\content\dlc\0x22398628\0x47DF250D,i16le,1183,Cart01,6
17,root\content\dlc\0x22398628\0x47DF250D,u32be,1179,Buggy03,6
17,root\content\dlc\0x22398628\0x47DF250D,u32be,1182,Buggy06,6
17,root\content\dlc\0x22398628\0x47DF250D,i32be,1179,Buggy03,6
17,root\content\dlc\0x22398628\0x47DF250D,i32be,1182,Buggy06,6
19,root\content\dlc\0x22398628\0x4F98C24D,u16le,1175,NorthTrainA,6
19,root\content\dlc\0x22398628\0x4F98C24D,i16le,1175,NorthTrainA,6
21,root\content\dlc\0x22398628\0x6162DA05,u16be,1194,Car01,1
21,root\content\dlc\0x22398628\0x6162DA05,u16be,1195,Wagon04,1
21,root\content\dlc\0x22398628\0x6162DA05,u16le,1158,TrainCar03,1
21,root\content\dlc\0x22398628\0x6162DA05,u16le,1191,Stagecoach03,1
21,root\content\dlc\0x22398628\0x6162DA05,u16le,1194,Car01,1
21,root\content\dlc\0x22398628\0x6162DA05,i16be,1194,Car01,1
21,root\content\dlc\0x22398628\0x6162DA05,i16be,1195,Wagon04,1
