index,path,name,size,resource_type,resource_type_hint,score,reasons,decoded_size,decode_error
461,root\content\release64\dlc\0x22398628\0x72440E09\0x0C925868\blackwater\0xDFDFFAF5,0xDFDFFAF5,50362,2,.wsc/.csc script,950,u16be:1193:2;u16be:1194:3,135168,
1217,root\content\release64\mexico\0xDCF649E3\0xFDA7095D\0x738981AA,0x738981AA,94564,2,.wsc/.csc script,932,string:gatlingshoot;u16be:1194:2;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,266240,
1206,root\content\release64\mexico\0xDCF649E3\0x1B45C49A\0xD96066BD,0xD96066BD,69670,2,.wsc/.csc script,869,string:gatlingshoot;u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,200704,
1612,root\content\release64\frontier\0xDCF649E3\0x05E70913\0x4F234577,0x4F234577,60806,2,.wsc/.csc script,855,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,159744,
1216,root\content\release64\mexico\0xDCF649E3\0xF142C49C\0x5AE7E608,0x5AE7E608,59919,2,.wsc/.csc script,849,u16be:1193:5;u16be:1194:3;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,163840,
489,root\content\release64\dlc\0x22398628\system\0xDBEEDF89,0xDBEEDF89,72567,2,.wsc/.csc script,841,u16be:1193:1;u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,196608,
1182,root\content\release64\mexico\0xD8416B09\0xA15A0CF1\0xD0764EB5,0xD0764EB5,38163,2,.wsc/.csc script,839,u16be:1193:3;u16be:1194:2,110592,
1616,root\content\release64\frontier\0xDCF649E3\0x2AC4CD9A\0x3BE35278,0x3BE35278,66317,2,.wsc/.csc script,837,string:gatlingshoot;u16be:1194:2;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,184320,
1621,root\content\release64\frontier\0xDCF649E3\0x6D376EB1\0xE975CB5B,0xE975CB5B,67553,2,.wsc/.csc script,826,u16be:1193:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,176128,
665,root\content\release64\dlc\0x22398628\0xDCF649E3\0x0BF94A26\0x0B43F927,0x0B43F927,53835,2,.wsc/.csc script,821,u16be:1193:4;u16be:1194:2,143360,
1203,root\content\release64\mexico\0xDCF649E3\0x018D7747\0x8B2AA8DB,0x8B2AA8DB,60969,2,.wsc/.csc script,815,u16be:1193:12;u16le:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,159744,
1302,root\content\release64\0x72440E09\0xDCF649E3\0xC7432969\0xEB735D3A,0xEB735D3A,65522,2,.wsc/.csc script,800,,176128,
1215,root\content\release64\mexico\0xDCF649E3\0xEFF46DF8\0x44031F11,0x44031F11,66456,2,.wsc/.csc script,777,u16be:1194:63;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,176128,
33,root\content\dlc\0x22398628\0xF7B824EA,0xF7B824EA,155457,,,764,u16be:1193:2;u16be:1194:1;u16le:1194:1,,
1615,root\content\release64\frontier\0xDCF649E3\0x27BC7924\0x9DFF879D,0x9DFF879D,68928,2,.wsc/.csc script,763,u16be:1193:2;u16be:1194:9,176128,
1618,root\content\release64\frontier\0xDCF649E3\0x3AE98A16\0x521A7EF9,0x521A7EF9,53031,2,.wsc/.csc script,762,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,151552,
796,root\content\release64\0x1230F707\0x81E9BBB7,0x81E9BBB7,103080,,,757,u16be:1194:1;u16be:1193:2;u16le:1194:1,,
