index,path,name,name_hash,is_dir,parent,size,offset,resource_type,resource_type_hint,flag1_hex,flag2_hex
0,root,root,0x00000000,True,,0,,,,0x00000000,0x00000000
1,root\content,content,0x753DB284,True,0,0,,,,0x00000000,0x00000000
2,root\content\dlc,dlc,0x06C35575,True,1,0,,,,0x00000000,0x00000000
3,root\content\0x0ADC283D,0x0ADC283D,0x0ADC283D,True,1,0,,,,0x00000000,0x00000000
4,root\content\0x1230F707,0x1230F707,0x1230F707,True,1,0,,,,0x00000000,0x00000000
5,root\content\ui,ui,0x1B2D32DB,True,1,0,,,,0x00000000,0x00000000
6,root\content\0xA57F233C,0xA57F233C,0xA57F233C,False,1,1293,872328,,,0x40005013,0x00000000
7,root\content\release64,release64,0xB2AA5EAC,True,1,0,,,,0x00000000,0x00000000
8,root\content\release,release,0xBC7C13B5,True,1,0,,,,0x00000000,0x00000000
9,root\content\0xC06BF8AB,0xC06BF8AB,0xC06BF8AB,True,1,0,,,,0x00000000,0x00000000
10,root\content\0xC10D9746,0xC10D9746,0xC10D9746,False,1,604,873624,,,0x40001B03,0x00000000
11,root\content\dlc\0x22398628,0x22398628,0x22398628,True,2,0,,,,0x00000000,0x00000000
12,root\content\dlc\ultimate,ultimate,0x3709DE7B,True,2,0,,,,0x00000000,0x00000000
13,root\content\dlc\0xEB639858,0xEB639858,0xEB639858,True,2,0,,,,0x00000000,0x00000000
14,root\content\dlc\0x22398628\0x173D2464,0x173D2464,0x173D2464,False,11,1911,19825848,,,0x400021EC,0x00000000
15,root\content\dlc\0x22398628\0x21572403,0x21572403,0x21572403,False,11,142,19711440,,,0x40000099,0x00000000
16,root\content\dlc\0x22398628\0x29811552,0x29811552,0x29811552,False,11,2422,19711584,,,0x00000976,0x00000000
17,root\content\dlc\0x22398628\0x47DF250D,0x47DF250D,0x47DF250D,False,11,883572,19828736,,,0x000D7B74,0x00000000
18,root\content\dlc\0x22398628\0x4D6B1F9E,0x4D6B1F9E,0x4D6B1F9E,False,11,18425,22298824,,,0x000047F9,0x00000000
19,root\content\dlc\0x22398628\0x4F98C24D,0x4F98C24D,0x4F98C24D,False,11,160426,20869120,,,0x000272AA,0x00000000
20,root\content\dlc\0x22398628\0x501CEE6B,0x501CEE6B,0x501CEE6B,False,11,27209,22133832,,,0x00006A49,0x00000000
21,root\content\dlc\0x22398628\0x6162DA05,0x6162DA05,0x6162DA05,False,11,7717,22126112,,,0x40008C3C,0x00000000
22,root\content\dlc\0x22398628\0x7D47894F,0x7D47894F,0x7D47894F,False,11,2595,22317256,,,0x40007636,0x00000000
