index,path,name,name_hash,is_dir,parent,size,offset,resource_type,resource_type_hint,flag1_hex,flag2_hex
23,root\content\dlc\0x22398628\0x7D84911A,0x7D84911A,0x7D84911A,False,11,61228,22237592,,,0x0000EF2C,0x00000000
24,root\content\dlc\0x22398628\0x8B4E0980,0x8B4E0980,0x8B4E0980,False,11,883688,21215232,,,0x000D7BE8,0x00000000
25,root\content\dlc\0x22398628\0xADCCCFE3,0xADCCCFE3,0xADCCCFE3,False,11,61228,22161048,,,0x0000EF2C,0x00000000
26,root\content\dlc\0x22398628\0xAE48D894,0xAE48D894,0xAE48D894,False,11,160544,21053440,,,0x00027320,0x00000000
27,root\content\dlc\0x22398628\0xC12FAF41,0xC12FAF41,0xC12FAF41,False,11,23871,21029552,,,0x4003E9FA,0x00000000
28,root\content\dlc\0x22398628\0xC5A25194,0xC5A25194,0xC5A25194,False,11,2610,19715168,,,0x00000A32,0x00000000
29,root\content\dlc\0x22398628\0xD42AEB21,0xD42AEB21,0xD42AEB21,True,11,0,,,,0x00000000,0x00000000
30,root\content\dlc\0x22398628\0xD8F92FCC,0xD8F92FCC,0xD8F92FCC,False,11,15305,22222280,,,0x40019F38,0x00000000
31,root\content\dlc\0x22398628\0xDCFC3BD6,0xDCFC3BD6,0xDCFC3BD6,False,11,18425,22319856,,,0x000047F9,0x00000000
32,root\content\dlc\0x22398628\0xE450971A,0xE450971A,0xE450971A,False,11,1158,19714008,,,0x400015C2,0x00000000
33,root\content\dlc\0x22398628\0xF7B824EA,0xF7B824EA,0xF7B824EA,False,11,155457,20713472,,,0x4018D220,0x00000000
34,root\content\dlc\0x22398628\0xF8DB320A,0xF8DB320A,0xF8DB320A,False,11,27183,22098928,,,0x00006A2F,0x00000000
35,root\content\dlc\0x22398628\0xD42AEB21\0x01E79F4C,0x01E79F4C,0x01E79F4C,False,29,1380,19767960,,,0x400014EF,0x00000000
36,root\content\dlc\0x22398628\0xD42AEB21\0x029F8EB6,0x029F8EB6,0x029F8EB6,False,29,1274,19780056,,,0x400013AD,0x00000000
37,root\content\dlc\0x22398628\0xD42AEB21\0x0369A44E,0x0369A44E,0x0369A44E,False,29,1317,19800496,,,0x40001623,0x00000000
38,root\content\dlc\0x22398628\0xD42AEB21\0x06AE9032,0x06AE9032,0x06AE9032,False,29,1363,19766592,,,0x4000293A,0x00000000
39,root\content\dlc\0x22398628\0xD42AEB21\0x070C95E1,0x070C95E1,0x070C95E1,False,29,1282,19748720,,,0x400013B9,0x00000000
40,root\content\dlc\0x22398628\0xD42AEB21\0x072B0329,0x072B0329,0x072B0329,False,29,1258,19736936,,,0x4000128E,0x00000000
41,root\content\dlc\0x22398628\0xD42AEB21\0x09D1037E,0x09D1037E,0x09D1037E,False,29,1516,19809456,,,0x40001FFF,0x00000000
42,root\content\dlc\0x22398628\0xD42AEB21\0x0D1A562B,0x0D1A562B,0x0D1A562B,False,29,1277,19746152,,,0x400013B9,0x00000000
43,root\content\dlc\0x22398628\0xD42AEB21\0x0ED649D1,0x0ED649D1,0x0ED649D1,False,29,1274,19776216,,,0x400013AD,0x00000000
44,root\content\dlc\0x22398628\0xD42AEB21\0x11A23774,0x11A23774,0x11A23774,False,29,1599,19724488,,,0x4000235D,0x00000000
45,root\content\dlc\0x22398628\0xD42AEB21\0x13C7AD75,0x13C7AD75,0x13C7AD75,False,29,1254,19765336,,,0x4000128E,0x00000000
46,root\content\dlc\0x22398628\0xD42AEB21\0x170B4935,0x170B4935,0x170B4935,False,29,1430,19723056,,,0x40001921,0x00000000
47,root\content\dlc\0x22398628\0xD42AEB21\0x1E058BCB,0x1E058BCB,0x1E058BCB,False,29,1377,19799112,,,0x400018ED,0x00000000
48,root\content\dlc\0x22398628\0xD42AEB21\0x1EF62811,0x1EF62811,0x1EF62811,False,29,1291,19750008,,,0x400013D2,0x00000000
49,root\content\dlc\0x22398628\0xD42AEB21\0x20FF24BA,0x20FF24BA,0x20FF24BA,False,29,1276,19774936,,,0x400013B6,0x00000000
50,root\content\dlc\0x22398628\0xD42AEB21\0x225681DC,0x225681DC,0x225681DC,False,29,1265,19735664,,,0x40001296,0x00000000
51,root\content\dlc\0x22398628\0xD42AEB21\0x232E37F9,0x232E37F9,0x232E37F9,False,29,1565,19720016,,,0x40001AEA,0x00000000
52,root\content\dlc\0x22398628\0xD42AEB21\0x24630774,0x24630774,0x24630774,False,29,438,19790744,,,0x400004DA,0x00000000
53,root\content\dlc\0x22398628\0xD42AEB21\0x24B4BCD5,0x24B4BCD5,0x24B4BCD5,False,29,467,19788504,,,0x4000056B,0x00000000
54,root\content\dlc\0x22398628\0xD42AEB21\0x2BF4246E,0x2BF4246E,0x2BF4246E,False,29,1281,19761472,,,0x400013A5,0x00000000
55,root\content\dlc\0x22398628\0xD42AEB21\0x2C11E59A,0x2C11E59A,0x2C11E59A,False,29,1263,19803136,,,0x400013A4,0x00000000
56,root\content\dlc\0x22398628\0xD42AEB21\0x2C4DE366,0x2C4DE366,0x2C4DE366,False,29,1277,19824568,,,0x400013A9,0x00000000
57,root\content\dlc\0x22398628\0xD42AEB21\0x2E14B20C,0x2E14B20C,0x2E14B20C,False,29,399,19784728,,,0x40000457,0x00000000
58,root\content\dlc\0x22398628\0xD42AEB21\0x2E8A5408,0x2E8A5408,0x2E8A5408,False,29,1275,19781336,,,0x400013B0,0x00000000
59,root\content\dlc\0x22398628\0xD42AEB21\0x2F58832B,0x2F58832B,0x2F58832B,False,29,691,19786336,,,0x40000A93,0x00000000
60,root\content\dlc\0x22398628\0xD42AEB21\0x325AE16E,0x325AE16E,0x325AE16E,False,29,1421,19793808,,,0x400016D8,0x00000000
61,root\content\dlc\0x22398628\0xD42AEB21\0x336810DC,0x336810DC,0x336810DC,False,29,1467,19792336,,,0x40001892,0x00000000
62,root\content\dlc\0x22398628\0xD42AEB21\0x365FAAB1,0x365FAAB1,0x365FAAB1,False,29,1516,19810976,,,0x40001FFF,0x00000000
63,root\content\dlc\0x22398628\0xD42AEB21\0x4017E5B9,0x4017E5B9,0x4017E5B9,False,29,1255,19732816,,,0x4000129B,0x00000000
64,root\content\dlc\0x22398628\0xD42AEB21\0x436E13FC,0x436E13FC,0x436E13FC,False,29,1470,19787032,,,0x40005E59,0x00000000
65,root\content\dlc\0x22398628\0xD42AEB21\0x58542E4D,0x58542E4D,0x58542E4D,False,29,1399,19730112,,,0x40003A0D,0x00000000
66,root\content\dlc\0x22398628\0xD42AEB21\0x59DDD4D6,0x59DDD4D6,0x59DDD4D6,False,29,1283,19728824,,,0x400013BE,0x00000000
67,root\content\dlc\0x22398628\0xD42AEB21\0x5B681542,0x5B681542,0x5B681542,False,29,52,19792280,,,0x00000034,0x00000000
68,root\content\dlc\0x22398628\0xD42AEB21\0x6407BE69,0x6407BE69,0x6407BE69,False,29,438,19791184,,,0x400004DA,0x00000000
69,root\content\dlc\0x22398628\0xD42AEB21\0x6816AC5F,0x6816AC5F,0x6816AC5F,False,29,1281,19747432,,,0x400013B9,0x00000000
70,root\content\dlc\0x22398628\0xD42AEB21\0x68495C06,0x68495C06,0x68495C06,False,29,1503,19759968,,,0x4000167A,0x00000000
71,root\content\dlc\0x22398628\0xD42AEB21\0x692A6F4B,0x692A6F4B,0x692A6F4B,False,29,450,19717784,,,0x400004E9,0x00000000
72,root\content\dlc\0x22398628\0xD42AEB21\0x69AFA42D,0x69AFA42D,0x69AFA42D,False,29,1516,19806416,,,0x40001FFF,0x00000000
73,root\content\dlc\0x22398628\0xD42AEB21\0x69D4D559,0x69D4D559,0x69D4D559,False,29,400,19785528,,,0x40000466,0x00000000
74,root\content\dlc\0x22398628\0xD42AEB21\0x6A9C9033,0x6A9C9033,0x6A9C9033,False,29,1282,19762760,,,0x400013A5,0x00000000
75,root\content\dlc\0x22398628\0xD42AEB21\0x6BE2AB16,0x6BE2AB16,0x6BE2AB16,False,29,1589,19734072,,,0x40002322,0x00000000
76,root\content\dlc\0x22398628\0xD42AEB21\0x6D93DCF8,0x6D93DCF8,0x6D93DCF8,False,29,435,19784288,,,0x400004CE,0x00000000
77,root\content\dlc\0x22398628\0xD42AEB21\0x6E43A6E6,0x6E43A6E6,0x6E43A6E6,False,29,245,19804400,,,0x400001A5,0x00000000
78,root\content\dlc\0x22398628\0xD42AEB21\0x72E2B9C7,0x72E2B9C7,0x72E2B9C7,False,29,1317,19801816,,,0x40001623,0x00000000
79,root\content\dlc\0x22398628\0xD42AEB21\0x72FE96B0,0x72FE96B0,0x72FE96B0,False,29,1264,19753872,,,0x400012B1,0x00000000
80,root\content\dlc\0x22398628\0xD42AEB21\0x79174E05,0x79174E05,0x79174E05,False,29,1412,19718600,,,0x4000173A,0x00000000
81,root\content\dlc\0x22398628\0xD42AEB21\0x7BAF39E3,0x7BAF39E3,0x7BAF39E3,False,29,1766,19788976,,,0x400026FB,0x00000000
82,root\content\dlc\0x22398628\0xD42AEB21\0x8179049B,0x8179049B,0x8179049B,False,29,1274,19815464,,,0x400013A7,0x00000000
83,root\content\dlc\0x22398628\0xD42AEB21\0x8265AC23,0x8265AC23,0x8265AC23,False,29,1296,19731512,,,0x400013E4,0x00000000
84,root\content\dlc\0x22398628\0xD42AEB21\0x83F1BCE9,0x83F1BCE9,0x83F1BCE9,False,29,245,19804648,,,0x400001A5,0x00000000
85,root\content\dlc\0x22398628\0xD42AEB21\0x8B6235DA,0x8B6235DA,0x8B6235DA,False,29,1319,19795232,,,0x4000147E,0x00000000
86,root\content\dlc\0x22398628\0xD42AEB21\0x8ED93B18,0x8ED93B18,0x8ED93B18,False,29,1290,19751304,,,0x400013CF,0x00000000
87,root\content\dlc\0x22398628\0xD42AEB21\0x90EA8CC0,0x90EA8CC0,0x90EA8CC0,False,29,1083,19773848,,,0x40000F08,0x00000000
88,root\content\dlc\0x22398628\0xD42AEB21\0x9106FE3A,0x9106FE3A,0x9106FE3A,False,29,1668,19782616,,,0x4000268C,0x00000000
89,root\content\dlc\0x22398628\0xD42AEB21\0x937288F1,0x937288F1,0x937288F1,False,29,1264,19752600,,,0x400012B1,0x00000000
90,root\content\dlc\0x22398628\0xD42AEB21\0x9501D8C0,0x9501D8C0,0x9501D8C0,False,29,1466,19721584,,,0x400016A7,0x00000000
91,root\content\dlc\0x22398628\0xD42AEB21\0x96057A59,0x96057A59,0x96057A59,False,29,1516,19807936,,,0x40001FFF,0x00000000
92,root\content\dlc\0x22398628\0xD42AEB21\0x9AA1EC9C,0x9AA1EC9C,0x9AA1EC9C,False,29,1306,19743528,,,0x400013CB,0x00000000
93,root\content\dlc\0x22398628\0xD42AEB21\0x9B8F727D,0x9B8F727D,0x9B8F727D,False,29,1445,19755144,,,0x4000168C,0x00000000
94,root\content\dlc\0x22398628\0xD42AEB21\0xA4926C4E,0xA4926C4E,0xA4926C4E,False,29,1513,19804896,,,0x40001FFD,0x00000000
95,root\content\dlc\0x22398628\0xD42AEB21\0xAAAE116F,0xAAAE116F,0xAAAE116F,False,29,1438,19740880,,,0x40001690,0x00000000
96,root\content\dlc\0x22398628\0xD42AEB21\0xB1C57DD3,0xB1C57DD3,0xB1C57DD3,False,29,399,19785936,,,0x40000451,0x00000000
97,root\content\dlc\0x22398628\0xD42AEB21\0xB51213BF,0xB51213BF,0xB51213BF,False,29,1200,19742320,,,0x40001323,0x00000000
98,root\content\dlc\0x22398628\0xD42AEB21\0xB7164271,0xB7164271,0xB7164271,False,29,1682,19812496,,,0x400026C7,0x00000000
99,root\content\dlc\0x22398628\0xD42AEB21\0xB736C116,0xB736C116,0xB736C116,False,29,1306,19744840,,,0x400013C6,0x00000000
100,root\content\dlc\0x22398628\0xD42AEB21\0xB8BFF135,0xB8BFF135,0xB8BFF135,False,29,1273,19778776,,,0x400013AA,0x00000000
101,root\content\dlc\0x22398628\0xD42AEB21\0xB9E2FE30,0xB9E2FE30,0xB9E2FE30,False,29,1280,19822000,,,0x400013AA,0x00000000
102,root\content\dlc\0x22398628\0xD42AEB21\0xC21EE28A,0xC21EE28A,0xC21EE28A,False,29,354,19718240,,,0x4000038C,0x00000000
103,root\content\dlc\0x22398628\0xD42AEB21\0xC4D03626,0xC4D03626,0xC4D03626,False,29,1568,19769344,,,0x40002474,0x00000000
104,root\content\dlc\0x22398628\0xD42AEB21\0xC4F2EFE6,0xC4F2EFE6,0xC4F2EFE6,False,29,1686,19758280,,,0x400026A5,0x00000000
105,root\content\dlc\0x22398628\0xD42AEB21\0xCC9AF9C8,0xCC9AF9C8,0xCC9AF9C8,False,29,1281,19764048,,,0x400013A5,0x00000000
106,root\content\dlc\0x22398628\0xD42AEB21\0xCD67C87F,0xCD67C87F,0xCD67C87F,False,29,1233,19797872,,,0x40001429,0x00000000
107,root\content\dlc\0x22398628\0xD42AEB21\0xCDEE3F9B,0xCDEE3F9B,0xCDEE3F9B,False,29,1274,19777496,,,0x400013B6,0x00000000
108,root\content\dlc\0x22398628\0xD42AEB21\0xD2C8980C,0xD2C8980C,0xD2C8980C,False,29,1676,19818640,,,0x400026A5,0x00000000
109,root\content\dlc\0x22398628\0xD42AEB21\0xD4972379,0xD4972379,0xD4972379,False,29,1273,19814184,,,0x400013B3,0x00000000
110,root\content\dlc\0x22398628\0xD42AEB21\0xD4AE5256,0xD4AE5256,0xD4AE5256,False,29,649,19791624,,,0x40001304,0x00000000
111,root\content\dlc\0x22398628\0xD42AEB21\0xD5176D3E,0xD5176D3E,0xD5176D3E,False,29,1892,19816744,,,0x40002A88,0x00000000
112,root\content\dlc\0x22398628\0xD42AEB21\0xD938367F,0xD938367F,0xD938367F,False,29,1686,19756592,,,0x400026B1,0x00000000
113,root\content\dlc\0x22398628\0xD42AEB21\0xD9938509,0xD9938509,0xD9938509,False,29,1252,19772592,,,0x40001292,0x00000000
114,root\content\dlc\0x22398628\0xD42AEB21\0xDB10015B,0xDB10015B,0xDB10015B,False,29,1263,19726088,,,0x400012B1,0x00000000
115,root\content\dlc\0x22398628\0xD42AEB21\0xDCC986EC,0xDCC986EC,0xDCC986EC,False,29,1210,19739664,,,0x40001349,0x00000000
116,root\content\dlc\0x22398628\0xD42AEB21\0xDF6F5F5F,0xDF6F5F5F,0xDF6F5F5F,False,29,1664,19770920,,,0x400026A6,0x00000000
117,root\content\dlc\0x22398628\0xD42AEB21\0xE43CC4E8,0xE43CC4E8,0xE43CC4E8,False,29,1318,19796552,,,0x4000147D,0x00000000
118,root\content\dlc\0x22398628\0xD42AEB21\0xE8D746E7,0xE8D746E7,0xE8D746E7,False,29,399,19785128,,,0x4000045A,0x00000000
119,root\content\dlc\0x22398628\0xD42AEB21\0xF3927200,0xF3927200,0xF3927200,False,29,1463,19738200,,,0x40001685,0x00000000
120,root\content\dlc\0x22398628\0xD42AEB21\0xF3CE7664,0xF3CE7664,0xF3CE7664,False,29,1471,19727352,,,0x40001A58,0x00000000
121,root\content\dlc\0x22398628\0xD42AEB21\0xF77BD16B,0xF77BD16B,0xF77BD16B,False,29,1672,19820320,,,0x400026A4,0x00000000
122,root\content\dlc\0x22398628\0xD42AEB21\0xFAC1374E,0xFAC1374E,0xFAC1374E,False,29,1279,19823288,,,0x400013A9,0x00000000
123,root\content\dlc\ultimate\0x21572403,0x21572403,0x21572403,False,12,129,19711304,,,0x40000094,0x00000000
124,root\content\dlc\0xEB639858\0x21572403,0x21572403,0x21572403,False,13,128,19623440,,,0x40000095,0x00000000
125,root\content\dlc\0xEB639858\0x29811552,0x29811552,0x29811552,False,13,2422,19623576,,,0x00000976,0x00000000
126,root\content\dlc\0xEB639858\0x9ED5CF02,0x9ED5CF02,0x9ED5CF02,False,13,37017,19674280,,,0x00009099,0x00000000
127,root\content\dlc\0xEB639858\0xA731F262,0xA731F262,0xA731F262,False,13,7472,19666800,,,0x40010712,0x00000000
128,root\content\dlc\0xEB639858\0xC5A25194,0xC5A25194,0xC5A25194,False,13,2610,19627160,,,0x00000A32,0x00000000
129,root\content\dlc\0xEB639858\0xD36F20F3,0xD36F20F3,0xD36F20F3,False,13,37017,19629776,,,0x00009099,0x00000000
130,root\content\dlc\0xEB639858\0xE450971A,0xE450971A,0xE450971A,False,13,1158,19626000,,,0x400015C2,0x00000000
131,root\content\0x0ADC283D\0x04CE8507,0x04CE8507,0x04CE8507,False,3,12520,704752,,,0x4000B80D,0x00000000
132,root\content\0x0ADC283D\0x0A453046,0x0A453046,0x0A453046,False,3,7653,750304,,,0x4000777F,0x00000000
133,root\content\0x0ADC283D\0x0A578C96,0x0A578C96,0x0A578C96,False,3,496,671744,,,0x4000063B,0x00000000
134,root\content\0x0ADC283D\0x17FED2C2,0x17FED2C2,0x17FED2C2,False,3,1749,717280,,,0x40002BA2,0x00000000
135,root\content\0x0ADC283D\0x1CDC9AB2,0x1CDC9AB2,0x1CDC9AB2,False,3,1938,680784,,,0x40002632,0x00000000
136,root\content\0x0ADC283D\0x315562EA,0x315562EA,0x315562EA,False,3,1976,762000,,,0x40001EBD,0x00000000
137,root\content\0x0ADC283D\test,test,0x3F75CCC1,True,3,0,,,,0x00000000,0x00000000
138,root\content\0x0ADC283D\0x5CA0A443,0x5CA0A443,0x5CA0A443,False,3,3959,693560,,,0x40006A33,0x00000000
139,root\content\0x0ADC283D\0x5D6F9157,0x5D6F9157,0x5D6F9157,False,3,10827,682728,,,0x40012DEF,0x00000000
140,root\content\0x0ADC283D\0x5FF2551B,0x5FF2551B,0x5FF2551B,False,3,1129,676120,,,0x40001D24,0x00000000
141,root\content\0x0ADC283D\0x742B210E,0x742B210E,0x742B210E,False,3,584,758112,,,0x40001538,0x00000000
142,root\content\0x0ADC283D\0x7A4117CA,0x7A4117CA,0x7A4117CA,False,3,781,698744,,,0x40000B22,0x00000000
143,root\content\0x0ADC283D\0x92ADF4E0,0x92ADF4E0,0x92ADF4E0,False,3,1828,739432,,,0x40001B64,0x00000000
144,root\content\0x0ADC283D\0xA8D644BB,0xA8D644BB,0xA8D644BB,False,3,150,757960,,,0x400003BB,0x00000000
145,root\content\0x0ADC283D\0xB1D865F0,0xB1D865F0,0xB1D865F0,False,3,2472,699528,,,0x400026BA,0x00000000
146,root\content\0x0ADC283D\0xB2E264EF,0xB2E264EF,0xB2E264EF,False,3,16014,719032,,,0x40010E16,0x00000000
147,root\content\0x0ADC283D\0xBAE64A51,0xBAE64A51,0xBAE64A51,False,3,2782,678000,,,0x40003618,0x00000000
148,root\content\0x0ADC283D\0xBF350A13,0xBF350A13,0xBF350A13,False,3,738,677256,,,0x4000073D,0x00000000
149,root\content\0x0ADC283D\0xC0A184E7,0xC0A184E7,0xC0A184E7,False,3,10486,763984,,,0x4000B5A1,0x00000000
150,root\content\0x0ADC283D\0xC1FE79BB,0xC1FE79BB,0xC1FE79BB,True,3,0,,,,0x00000000,0x00000000
151,root\content\0x0ADC283D\0xC5BF568A,0xC5BF568A,0xC5BF568A,False,3,4376,735048,,,0x40003D17,0x00000000
152,root\content\0x0ADC283D\0xCBB9176B,0xCBB9176B,0xCBB9176B,False,3,2738,702008,,,0x400020C4,0x00000000
153,root\content\0x0ADC283D\0xDBCB59A7,0xDBCB59A7,0xDBCB59A7,False,3,9035,741264,,,0x4000EA97,0x00000000
154,root\content\0x0ADC283D\0xE60E2E90,0xE60E2E90,0xE60E2E90,True,3,0,,,,0x00000000,0x00000000
155,root\content\0x0ADC283D\0xEA1CE0FE,0xEA1CE0FE,0xEA1CE0FE,False,3,1222,697520,,,0x4000172A,0x00000000
156,root\content\0x0ADC283D\0xF0C038AF,0xF0C038AF,0xF0C038AF,False,3,3865,672248,,,0x40003EEB,0x00000000
157,root\content\0x0ADC283D\test\0xE79F5CEF,0xE79F5CEF,0xE79F5CEF,False,137,408,774472,,,0x4000045E,0x00000000
158,root\content\0x0ADC283D\0xC1FE79BB\0x08F4E421,0x08F4E421,0x08F4E421,False,150,1323,758704,,,0x40000F52,0x00000000
159,root\content\0x0ADC283D\0xC1FE79BB\0x2E25634E,0x2E25634E,0x2E25634E,False,150,1962,760032,,,0x40001BDE,0x00000000
160,root\content\0x0ADC283D\0xE60E2E90\0x1483C1AD,0x1483C1AD,0x1483C1AD,False,154,323,775872,,,0x40000352,0x00000000
161,root\content\0x0ADC283D\0xE60E2E90\0x33EB76A8,0x33EB76A8,0x33EB76A8,False,154,362,776720,,,0x4000039D,0x00000000
162,root\content\0x0ADC283D\0xE60E2E90\0x352412CE,0x352412CE,0x352412CE,False,154,222,776200,,,0x400001B2,0x00000000
163,root\content\0x0ADC283D\0xE60E2E90\0x60D0BB67,0x60D0BB67,0x60D0BB67,False,154,369,775120,,,0x400003A0,0x00000000
164,root\content\0x0ADC283D\0xE60E2E90\0x6DE0F749,0x6DE0F749,0x6DE0F749,False,154,289,776424,,,0x4000031F,0x00000000
165,root\content\0x0ADC283D\0xE60E2E90\0x8B94BB50,0x8B94BB50,0x8B94BB50,False,154,373,775496,,,0x400003A8,0x00000000
166,root\content\0x0ADC283D\0xE60E2E90\0x9EA2141F,0x9EA2141F,0x9EA2141F,False,154,225,774888,,,0x400001F6,0x00000000
167,root\content\0x0ADC283D\0xE60E2E90\0xDF4B1AC2,0xDF4B1AC2,0xDF4B1AC2,False,154,371,777088,,,0x400003A0,0x00000000
168,root\content\0x1230F707\0x3008C430,0x3008C430,0x3008C430,True,4,0,,,,0x00000000,0x00000000
169,root\content\0x1230F707\0x3008C430\0x18F783CE,0x18F783CE,0x18F783CE,False,168,5687,781976,,,0x4001E34B,0x00000000
170,root\content\0x1230F707\0x3008C430\0x82BC1BC0,0x82BC1BC0,0x82BC1BC0,False,168,2117,779856,,,0x4000A141,0x00000000
171,root\content\ui\net,net,0x007B97C6,True,5,0,,,,0x00000000,0x00000000
172,root\content\ui\savegame.sc.xml,savegame.sc.xml,0x17CD0A31,False,5,7380,27450104,,,0x4000F001,0x00000000
173,root\content\ui\prompts.sc.xml,prompts.sc.xml,0x1E919CD2,False,5,266,855488,,,0x40000238,0x00000000
174,root\content\ui\pausemenu,pausemenu,0x2C6E5C9F,True,5,0,,,,0x00000000,0x00000000
175,root\content\ui\0x31B83292,0x31B83292,0x31B83292,False,5,775,816088,,,0x40001DBF,0x00000000
176,root\content\ui\0x3BB161C2,0x3BB161C2,0x3BB161C2,False,5,1200,855760,,,0x400012F8,0x00000000
177,root\content\ui\0x4EA04ACA,0x4EA04ACA,0x4EA04ACA,False,5,941,861992,,,0x40000B4D,0x00000000
178,root\content\ui\0x596BA331,0x596BA331,0x596BA331,False,5,718,871608,,,0x40000723,0x00000000
179,root\content\ui\0x70B953BC,0x70B953BC,0x70B953BC,False,5,1033,792632,,,0x40001D04,0x00000000
180,root\content\ui\0x763073F6,0x763073F6,0x763073F6,False,5,496,870272,,,0x400003E0,0x00000000
181,root\content\ui\0x88C9366A,0x88C9366A,0x88C9366A,False,5,167,793672,,,0x400000C0,0x00000000
182,root\content\ui\0xB0FC1C4F,0xB0FC1C4F,0xB0FC1C4F,True,5,0,,,,0x00000000,0x00000000
183,root\content\ui\0xBE5D6A1C,0xBE5D6A1C,0xBE5D6A1C,False,5,4181,799016,,,0x40007559,0x00000000
184,root\content\ui\0xC269DD3C,0xC269DD3C,0xC269DD3C,False,5,5174,793840,,,0x4000BEC6,0x00000000
185,root\content\ui\0xC8D908F6,0xC8D908F6,0xC8D908F6,False,5,36452,27690304,,,0x00008E64,0x00000000
186,root\content\ui\0xD516BE84,0xD516BE84,0xD516BE84,False,5,470,803200,,,0x4000069B,0x00000000
187,root\content\ui\0xF7CFFE6D,0xF7CFFE6D,0xF7CFFE6D,False,5,826,870776,,,0x4000164F,0x00000000
188,root\content\ui\net\0x2B1C9C80,0x2B1C9C80,0x2B1C9C80,True,171,0,,,,0x00000000,0x00000000
189,root\content\ui\net\main.sc.xml,main.sc.xml,0x2B5C38A8,False,171,282,805840,,,0x400001CB,0x00000000
190,root\content\ui\net\0x6D0C76B2,0x6D0C76B2,0x6D0C76B2,False,171,3632,812448,,,0x40006DB4,0x00000000
191,root\content\ui\net\0xB314A913,0xB314A913,0xB314A913,False,171,2161,803672,,,0x400021C5,0x00000000
192,root\content\ui\net\0x2B1C9C80\main.sc.xml,main.sc.xml,0x2B5C38A8,False,188,2218,806128,,,0x40004165,0x00000000
193,root\content\ui\net\0x2B1C9C80\0x4967435B,0x4967435B,0x4967435B,False,188,760,811680,,,0x4000274E,0x00000000
194,root\content\ui\net\0x2B1C9C80\titles,titles,0x55A23CCA,True,188,0,,,,0x00000000,0x00000000
195,root\content\ui\net\0x2B1C9C80\titles\0x553DCF61,0x553DCF61,0x553DCF61,False,194,356,809200,,,0x40000E98,0x00000000
196,root\content\ui\net\0x2B1C9C80\titles\0x5CA7E5C1,0x5CA7E5C1,0x5CA7E5C1,False,194,264,811000,,,0x400006A5,0x00000000
197,root\content\ui\net\0x2B1C9C80\titles\0x87B6610B,0x87B6610B,0x87B6610B,False,194,235,810760,,,0x40000323,0x00000000
198,root\content\ui\net\0x2B1C9C80\titles\0x8F61B72A,0x8F61B72A,0x8F61B72A,False,194,356,808840,,,0x40000E98,0x00000000
199,root\content\ui\net\0x2B1C9C80\titles\0xC183318D,0xC183318D,0xC183318D,False,194,402,809560,,,0x400012F2,0x00000000
