"BasePath","HasWSC","HasSCO","WSCBytes","SCOBytes","WSCHead","SCOHead"
"game\content_extracted\release64\dlc\zombiepack\rcm\mother\rcm_mother1","True","True","20235","21101","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\mother\rcm_mother2","True","True","19418","20253","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\mother\rcm_mother3","True","True","18362","19116","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\mother\rcm_mother4","True","True","19343","20163","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\return\rcm_return1","True","True","15157","15706","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\return\rcm_return2","True","True","13532","14044","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\ricketts\rcm_ricketts1","True","True","18838","19633","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\ricketts\rcm_ricketts2","True","True","19668","20479","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\sasquatch\rcm_sasquatch1","True","True","17526","18191","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\sasquatch\rcm_sasquatch2","True","True","13045","13537","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\sasquatch\rcm_sasquatch3","True","True","13040","13534","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\sasquatch\rcm_sasquatch4","True","True","13041","13534","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\sasquatch\rcm_sasquatch5","True","True","13041","13535","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\sasquatch\rcm_sasquatch6","True","True","13041","13535","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\sasquatch\rcm_sasquatch7","True","True","19788","20647","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\seth\rcm_seth1","True","True","19804","20675","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\seth\rcm_seth2","True","True","19611","20469","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\system\designerdefined\player\fasttravel_z","True","True","3819","3879","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\system\designerdefined\ui\fuieventmonitor_z","True","True","7694","7875","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\system\long_update_thread_z","True","True","72567","79431","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\system\medium_update_thread_z","True","True","25504","27680","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\system\pause_z","True","True","18559","19640","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\system\player_z","True","True","42062","45140","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\system\short_update_thread_z","True","True","44140","48473","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\zombie_combatclasses","True","True","1900","1975","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\init\initpopulation","True","True","1183","1212","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\init\rdr2combatclasses","True","True","1335","1381","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\init\rdr2init","True","True","82585","103080","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\init\rdr2init_each_load","True","True","6198","6797","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\init\rdr2init_gringo_fro","True","True","398","369","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\init\rdr2init_gringo_mex","True","True","394","363","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\init\rdr2init_gringo_nor","True","True","404","378","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\main","True","True","75695","84437","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\main_z","True","True","65314","72767","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\pressstart","True","True","2644","2695","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\sp_idle","True","True","28401","30238","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
