offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
124818,0x1E792,83,call_candidate,call2,3,53 74 7B,29819,154640
124824,0x1E798,83,call_candidate,call2,3,53 A9 AF,-22097,102730
124837,0x1E7A5,99,branch_candidate,jump_false,3,63 00 08,8,124848
124845,0x1E7AD,98,branch_candidate,unconditional_jump,3,62 00 27,39,124887
124867,0x1E7C3,99,branch_candidate,jump_false,3,63 00 11,17,124887
124884,0x1E7D4,83,call_candidate,call2,3,53 72 E1,29409,154296
124887,0x1E7D7,98,branch_candidate,unconditional_jump,3,62 00 23,35,124925
124916,0x1E7F4,83,call_candidate,call2,3,53 E8 B4,-5964,118955
124919,0x1E7F7,83,call_candidate,call2,3,53 CD A7,-12889,112033
124922,0x1E7FA,98,branch_candidate,unconditional_jump,3,62 00 00,0,124925
124925,0x1E7FD,98,branch_candidate,unconditional_jump,3,62 00 B1,177,125105
124952,0x1E818,98,branch_candidate,unconditional_jump,3,62 00 93,147,125102
124956,0x1E81C,83,call_candidate,call2,3,53 61 C8,25032,149991
124961,0x1E821,83,call_candidate,call2,3,53 60 DB,24795,149759
124965,0x1E825,83,call_candidate,call2,3,53 60 B3,24755,149723
124979,0x1E833,83,call_candidate,call2,3,53 A8 97,-22377,102605
124987,0x1E83B,98,branch_candidate,unconditional_jump,3,62 00 70,112,125102
124991,0x1E83F,83,call_candidate,call2,3,53 75 42,30018,155012
124999,0x1E847,82,call_candidate,call2,3,52 44 55,17493,142495
125005,0x1E84D,83,call_candidate,call2,3,53 74 7B,29819,154827
125011,0x1E853,83,call_candidate,call2,3,53 A9 AF,-22097,102917
125020,0x1E85C,99,branch_candidate,jump_false,3,63 00 08,8,125031
125028,0x1E864,98,branch_candidate,unconditional_jump,3,62 00 23,35,125066
125046,0x1E876,99,branch_candidate,jump_false,3,63 00 11,17,125066
125063,0x1E887,83,call_candidate,call2,3,53 72 E1,29409,154475
125066,0x1E88A,98,branch_candidate,unconditional_jump,3,62 00 21,33,125102
125093,0x1E8A5,83,call_candidate,call2,3,53 E8 B4,-5964,119132
125096,0x1E8A8,83,call_candidate,call2,3,53 CC D8,-13096,112003
125099,0x1E8AB,98,branch_candidate,unconditional_jump,3,62 00 00,0,125102
125102,0x1E8AE,98,branch_candidate,unconditional_jump,3,62 00 00,0,125105
125174,0x1E8F6,98,branch_candidate,unconditional_jump,3,62 04 8B,1163,126340
125201,0x1E911,98,branch_candidate,unconditional_jump,3,62 01 2B,299,125503
125205,0x1E915,83,call_candidate,call2,3,53 61 C8,25032,150240
125217,0x1E921,103,branch_candidate,jump_lt,3,67 00 0C,12,125232
125223,0x1E927,83,call_candidate,call2,3,53 61 FD,25085,150311
125232,0x1E930,98,branch_candidate,unconditional_jump,3,62 01 0C,268,125503
125236,0x1E934,83,call_candidate,call2,3,53 75 42,30018,155257
125254,0x1E946,83,call_candidate,call2,3,53 2F 8B,12171,137428
125262,0x1E94E,83,call_candidate,call2,3,53 87 A3,-30813,94452
125270,0x1E956,102,branch_candidate,jump_le,3,66 00 6D,109,125382
125283,0x1E963,83,call_candidate,call2,3,53 34 1B,13339,138625
125286,0x1E966,99,branch_candidate,jump_false,3,63 00 5D,93,125382
125295,0x1E96F,99,branch_candidate,jump_false,3,63 00 51,81,125379
125301,0x1E975,83,call_candidate,call2,3,53 33 EC,13292,138596
125309,0x1E97D,83,call_candidate,call2,3,53 87 FB,-30725,94587
125315,0x1E983,99,branch_candidate,jump_false,3,63 00 0A,10,125328
125321,0x1E989,83,call_candidate,call2,3,53 61 FD,25085,150409
125325,0x1E98D,98,branch_candidate,unconditional_jump,3,62 00 33,51,125379
125330,0x1E992,83,call_candidate,call2,3,53 87 FB,-30725,94608
125339,0x1E99B,83,call_candidate,call2,3,53 87 A3,-30813,94529
125348,0x1E9A4,83,call_candidate,call2,3,53 33 EC,13292,138643
125355,0x1E9AB,99,branch_candidate,jump_false,3,63 00 15,21,125379
125361,0x1E9B1,100,branch_candidate,jump_ne,3,64 00 0F,15,125379
125369,0x1E9B9,83,call_candidate,call2,3,53 87 2A,-30934,94438
125379,0x1E9C3,98,branch_candidate,unconditional_jump,3,62 FF 96,-106,125276
125386,0x1E9CA,83,call_candidate,call2,3,53 87 A3,-30813,94576
125396,0x1E9D4,99,branch_candidate,jump_false,3,63 00 08,8,125407
125404,0x1E9DC,98,branch_candidate,unconditional_jump,3,62 00 3A,58,125465
125422,0x1E9EE,99,branch_candidate,jump_false,3,63 00 05,5,125430
125447,0x1EA07,99,branch_candidate,jump_false,3,63 00 0F,15,125465
125462,0x1EA16,83,call_candidate,call2,3,53 72 E1,29409,154874
125465,0x1EA19,98,branch_candidate,unconditional_jump,3,62 00 23,35,125503
125494,0x1EA36,83,call_candidate,call2,3,53 ED 87,-4729,120768
125497,0x1EA39,83,call_candidate,call2,3,53 CD A7,-12889,112611
125500,0x1EA3C,98,branch_candidate,unconditional_jump,3,62 00 00,0,125503
125503,0x1EA3F,98,branch_candidate,unconditional_jump,3,62 03 42,834,126340
125530,0x1EA5A,98,branch_candidate,unconditional_jump,3,62 00 B3,179,125712
125534,0x1EA5E,83,call_candidate,call2,3,53 61 C8,25032,150569
125539,0x1EA63,83,call_candidate,call2,3,53 60 DB,24795,150337
125543,0x1EA67,83,call_candidate,call2,3,53 60 B3,24755,150301
125557,0x1EA75,98,branch_candidate,unconditional_jump,3,62 00 98,152,125712
125561,0x1EA79,83,call_candidate,call2,3,53 75 42,30018,155582
125574,0x1EA86,83,call_candidate,call2,3,53 85 C5,-31291,94286
125583,0x1EA8F,83,call_candidate,call2,3,53 87 A3,-30813,94773
125593,0x1EA99,99,branch_candidate,jump_false,3,63 00 08,8,125604
125601,0x1EAA1,98,branch_candidate,unconditional_jump,3,62 00 46,70,125674
125618,0x1EAB2,99,branch_candidate,jump_false,3,63 00 06,6,125627
125658,0x1EADA,99,branch_candidate,jump_false,3,63 00 0D,13,125674
125662,0x1EADE,83,call_candidate,call2,3,53 60 B3,24755,150420
125674,0x1EAEA,98,branch_candidate,unconditional_jump,3,62 00 23,35,125712
125703,0x1EB07,83,call_candidate,call2,3,53 ED 87,-4729,120977
125706,0x1EB0A,83,call_candidate,call2,3,53 CD A7,-12889,112820
125709,0x1EB0D,98,branch_candidate,unconditional_jump,3,62 00 00,0,125712
125712,0x1EB10,98,branch_candidate,unconditional_jump,3,62 02 71,625,126340
125739,0x1EB2B,98,branch_candidate,unconditional_jump,3,62 00 B3,179,125921
