offset,offset_hex,length,text,population_term,string_class
68777,0x10CA9,23,tutorial_second_weapon1,,unknown
68841,0x10CE9,4,Rlec,,unknown
68868,0x10D04,23,tutorial_second_weapon2,,unknown
68954,0x10D5A,20,tutorial_random_char,,unknown
69037,0x10DAD,19,tutorial_skinning_1,,unknown
69095,0x10DE7,4,Rlec,,unknown
69121,0x10E01,19,tutorial_skinning_2,,unknown
69203,0x10E53,19,tutorial_skinning_3,,unknown
69301,0x10EB5,30,tutorial_bounty_no_money_first,,unknown
69394,0x10F12,29,tutorial_first_honor_positive,,unknown
69486,0x10F6E,29,tutorial_first_honor_negative,,unknown
69575,0x10FC7,36,"3o""tutorial_first_notoriety_positive",,unknown
69665,0x11021,23,tutorial_very_low_honor,,unknown
69742,0x1106E,18,tutorial_low_honor,,unknown
69780,0x11094,5,% Rle,,debug/display text
69814,0x110B6,25,tutorial_medium_low_honor,,unknown
69859,0x110E3,5,%@Rle,,debug/display text
69893,0x11105,26,tutorial_medium_high_honor,,unknown
69973,0x11155,19,tutorial_high_honor,,unknown
70048,0x111A0,24,tutorial_very_high_honor,,unknown
70128,0x111F0,22,tutorial_low_notoriety,,unknown
70206,0x1123E,29,tutorial_medium_low_notoriety,,unknown
70291,0x11293,25,tutorial_medium_notoriety,,unknown
70372,0x112E4,30,tutorial_medium_high_notoriety,,unknown
70458,0x1133A,23,tutorial_high_notoriety,,unknown
70553,0x11399,34,1o tutorial_first_minigame_in_rain,,debug/display text
70663,0x11407,36,"3o""tutorial_first_missed_achievement",,unknown
70778,0x1147A,24,tutorial_first_on_donkey,,unknown
70851,0x114C3,26,tutorial_new_item_in_shops,,unknown
70909,0x114FD,6,%5RbaO,,debug/display text
70921,0x11509,6,%6RbaO,,debug/display text
70933,0x11515,7, %7RbaO,,debug/display text
70946,0x11522,7, %8RbaO,,debug/display text
70959,0x1152F,7, %9RbaO,,debug/display text
70972,0x1153C,7, %:RbaO,,debug/display text
70988,0x1154C,4,RbaO,,unknown
71023,0x1156F,21,tutorial_outfit_scrap,,unknown
71081,0x115A9,4,Rlec,,unknown
71089,0x115B1,5,UOSy>,,unknown
71108,0x115C4,17,tutorial_gunsmith,,unknown
71145,0x115E9,4,OSy?,,debug/display text
71184,0x11610,17,tutorial_gunsmith,,unknown
71221,0x11635,4,OSy?,,debug/display text
71268,0x11664,23,tutorial_place_waypoint,,unknown
71311,0x1168F,5,% Rle,,debug/display text
71358,0x116BE,15,tutorial_bait_1,,unknown
71396,0x116E4,4,<c;c,,unknown
71414,0x116F6,4,OSy>,,unknown
71425,0x11701,4,OSy>,,unknown
71445,0x11715,13,testInventory,,unknown
71461,0x11725,15,staminaBlinking,,unknown
71485,0x1173D,74,MoHRADAR_BLINK_HORSE_STAMINA_BAR: called with a negative or zero duration!,,debug/display text
71604,0x117B4,4,miss,,unknown
71618,0x117C2,4,ziss,,unknown
71659,0x117EB,8,tutorial,,unknown
71784,0x11868,9,LAW-PRINT,,likely logic anchor
71833,0x11899,4,?8~-,,debug/display text
72879,0x11CAF,13,AMBIENT-CHALL,,unknown
72932,0x11CE4,4,?8~-,,debug/display text
72954,0x11CFA,22,AmbientMissions_Layout,,likely logic anchor
72995,0x11D23,22,AmbientMissions_Layout,,likely logic anchor
73040,0x11D50,4,>HA@,,unknown
73059,0x11D63,4,">, 9",,debug/display text
73092,0x11D84,18,sc_challenge_aa_09,,unknown
73144,0x11DB8,5,{4}>t,,unknown
73166,0x11DCE,6,{4}?tb,,debug/display text
73176,0x11DD8,18,sc_challenge_aa_09,,unknown
73225,0x11E09,5,{4}>t,,unknown
73240,0x11E18,6,{4}?t8,,debug/display text
73283,0x11E43,73,ToGAMBIENT_MISSIONS_UPDATE: WARNING - failed to update mission of index: ,,likely logic anchor
73408,0x11EC0,73,ToGAMBIENT_MISSIONS_UPDATE: WARNING - failed to update mission of index: ,,likely logic anchor
73588,0x11F74,11,AM_NO_PURGE,,unknown
73611,0x11F8B,11,AM_NO_PURGE,,unknown
73648,0x11FB0,4,",C 7",,debug/display text
73674,0x11FCA,24,AmbientMissions_Iterator,,likely logic anchor
73699,0x11FE3,7,",E!,C""7",,debug/display text
73723,0x11FFB,24,AmbientMissions_Iterator,,likely logic anchor
73748,0x12014,4,",E$7",,unknown
73774,0x1202E,5,ER_SP,,unknown
73780,0x12034,4,SHj7,,unknown
73886,0x1209E,7,SH;:9> ,,debug/display text
73900,0x120AC,4,:9?(,,debug/display text
73955,0x120E3,4,:9>(,,unknown
73964,0x120EC,11,:9?(SH;:9> ,,debug/display text
74014,0x1211E,5,AM_ER,,unknown
74049,0x12141,6,:9?(S6,,debug/display text
74073,0x12159,12,challenge_01,,unknown
74089,0x12169,5,:9? b,,debug/display text
74126,0x1218E,10,SH;:9> :9>,,debug/display text
74146,0x121A2,5,":9=,6",,unknown
74168,0x121B8,5,":9=,5",,unknown
74192,0x121D0,5,":9=,6",,unknown
74209,0x121E1,4,S4d9,,unknown
74238,0x121FE,8,",C&,C')>",,unknown
74251,0x1220B,5,":9=,5",,unknown
74275,0x12223,7,",C&,C(,",,unknown
74299,0x1223B,4,",C)c",,unknown
74319,0x1224F,10,AM_InCover,,unknown
74341,0x12265,12,AM_ERcounted,,unknown
74360,0x12278,6,!:9>$=,,debug/display text
74367,0x1227F,5,:9?$7,,debug/display text
74376,0x12288,12,AM_ERcounted,,unknown
74399,0x1229F,5,O:9>$,,unknown
74414,0x122AE,5,:9?$b,,debug/display text
74426,0x122BA,6,SF7%[7,,debug/display text
74434,0x122C2,4,S4d9,,unknown
74463,0x122DF,8,",C&,C')>",,unknown
74476,0x122EC,5,":9=,5",,unknown
74500,0x12304,7,",C&,C(,",,unknown
74524,0x1231C,4,",C)c",,unknown
74559,0x1233F,10,AM_InCover,,unknown
74581,0x12355,12,AM_ERcounted,,unknown
74600,0x12368,6,!:9>$=,,debug/display text
74607,0x1236F,5,:9?$7,,debug/display text
74616,0x12378,12,AM_ERcounted,,unknown
74639,0x1238F,5,@:9>$,,unknown
74654,0x1239E,5,:9?$b,,debug/display text
74666,0x123AA,6,SF7:9>,,unknown
74675,0x123B3,5,":9>$""",,unknown
74700,0x123CC,5,:9>$%,,debug/display text
74706,0x123D2,5,S2pS6,,unknown
74719,0x123DF,4,S4d9,,unknown
74748,0x123FC,8,",C&,C')>",,unknown
74761,0x12409,5,":9=,5",,unknown
74785,0x12421,7,",C&,C(,",,unknown
74809,0x12439,4,S1;9,,unknown
74841,0x12459,12,AM_ERcounted,,unknown
74866,0x12472,12,AM_ERcounted,,unknown
74914,0x124A2,5,-:9=(,,unknown
74925,0x124AD,5,""":9=(",,unknown
74937,0x124B9,4,:9=(,,unknown
74948,0x124C4,5,:9=(%,,debug/display text
74966,0x124D6,4,:9>(,,unknown
74973,0x124DD,5,-:9>(,,unknown
74983,0x124E7,4,:9>(,,unknown
74992,0x124F0,5,:9>(%,,debug/display text
75011,0x12503,4,:9?$,,debug/display text
75016,0x12508,5,:9?(b,,debug/display text
75028,0x12514,6,SF7%[7,,debug/display text
75036,0x1251C,4,S4d9,,unknown
75065,0x12539,8,",C&,C')>",,unknown
75078,0x12546,5,":9=,5",,unknown
75102,0x1255E,7,",C&,C(,",,unknown
75126,0x12576,4,S1;9,,unknown
75173,0x125A5,12,AM_ERcounted,,unknown
75198,0x125BE,12,AM_ERcounted,,unknown
75246,0x125EE,5,-:9=(,,unknown
75257,0x125F9,5,""":9=(",,unknown
