string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
53977,0xD2D9,butterBridgeD,unknown,53975,0xD2D7,226,Function_226,0xBCEF..0xF16F
53996,0xD2EC,butterBridgeC,unknown,53994,0xD2EA,226,Function_226,0xBCEF..0xF16F
54015,0xD2FF,butterBridgeB,unknown,54013,0xD2FD,226,Function_226,0xBCEF..0xF16F
54034,0xD312,rsdGPSTRAIL_butterBridge_path,unknown,54032,0xD310,226,Function_226,0xBCEF..0xF16F
54074,0xD33A,butterBridgeB,unknown,54072,0xD338,226,Function_226,0xBCEF..0xF16F
54093,0xD34D,butterBridgeA,unknown,54091,0xD34B,226,Function_226,0xBCEF..0xF16F
54112,0xD360,butterBridgeC,unknown,54110,0xD35E,226,Function_226,0xBCEF..0xF16F
54131,0xD373,butterBridgeD,unknown,54129,0xD371,226,Function_226,0xBCEF..0xF16F
54150,0xD386,rsdGPSTRAIL_butterBridge_path,unknown,54148,0xD384,226,Function_226,0xBCEF..0xF16F
54196,0xD3B4,butterBridgeB,unknown,54194,0xD3B2,226,Function_226,0xBCEF..0xF16F
54215,0xD3C7,butterBridgeD,unknown,54213,0xD3C5,226,Function_226,0xBCEF..0xF16F
54234,0xD3DA,butterBridgeC,unknown,54232,0xD3D8,226,Function_226,0xBCEF..0xF16F
54253,0xD3ED,butterBridgeA,unknown,54251,0xD3EB,226,Function_226,0xBCEF..0xF16F
54272,0xD400,rsdGPSTRAIL_butterBridge_path,unknown,54270,0xD3FE,226,Function_226,0xBCEF..0xF16F
54312,0xD428,butterBridgeB,unknown,54310,0xD426,226,Function_226,0xBCEF..0xF16F
54331,0xD43B,butterBridgeA,unknown,54329,0xD439,226,Function_226,0xBCEF..0xF16F
54350,0xD44E,butterBridgeC,unknown,54348,0xD44C,226,Function_226,0xBCEF..0xF16F
54369,0xD461,butterBridgeD,unknown,54367,0xD45F,226,Function_226,0xBCEF..0xF16F
54388,0xD474,rsdGPSTRAIL_butterBridge_path,unknown,54386,0xD472,226,Function_226,0xBCEF..0xF16F
54434,0xD4A2,tannersSpanAfter,unknown,54432,0xD4A0,226,Function_226,0xBCEF..0xF16F
54456,0xD4B8,tannersSpanBefore,unknown,54454,0xD4B6,226,Function_226,0xBCEF..0xF16F
54482,0xD4D2,tannersSpanAfter,unknown,54480,0xD4D0,226,Function_226,0xBCEF..0xF16F
54504,0xD4E8,tannersSpanBefore,unknown,54502,0xD4E6,226,Function_226,0xBCEF..0xF16F
54536,0xD508,dixonCrossingAfter,unknown,54534,0xD506,226,Function_226,0xBCEF..0xF16F
54560,0xD520,dixonCrossingBefore,unknown,54558,0xD51E,226,Function_226,0xBCEF..0xF16F
54585,0xD539,rsdROAD_thi_blk_road,unknown,54583,0xD537,226,Function_226,0xBCEF..0xF16F
54613,0xD555,rsdROAD_thi_blk_roaddetachedCurve2,unknown,54611,0xD553,226,Function_226,0xBCEF..0xF16F
54655,0xD57F,rsdGPSTRAIL_curve124,unknown,54653,0xD57D,226,Function_226,0xBCEF..0xF16F
54683,0xD59B,rsdGPSTRAIL_curve132,unknown,54681,0xD599,226,Function_226,0xBCEF..0xF16F
