index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
766,dir,root/content/release64/frontier/gaptooth_ridge/gaptooth_breach/actionarea,actionarea,,,,,,,
767,file,root/content/release64/frontier/gaptooth_ridge/gaptooth_breach/gaptoothbreach.wsc,gaptoothbreach.wsc,.wsc,5949440,34702,94208,True,False,2
768,file,root/content/release64/frontier/gaptooth_ridge/gaptooth_breach/actionarea/gaptoothbreach_fte.wsc,gaptoothbreach_fte.wsc,.wsc,5992448,12967,36864,True,False,2
769,file,root/content/release64/frontier/gaptooth_ridge/rathskeller_fork/rathskellerforkvol.wsc,rathskellerforkvol.wsc,.wsc,6025216,8489,20480,True,False,2
770,file,root/content/release64/frontier/gaptooth_ridge/rathskeller_fork/rathskellerfork.wsc,rathskellerfork.wsc,.wsc,6006784,16469,61440,True,False,2
771,file,root/content/release64/frontier/gaptooth_ridge/solomons_folly/solomonsfollyvol.wsc,solomonsfollyvol.wsc,.wsc,6053888,6770,20480,True,False,2
772,file,root/content/release64/frontier/gaptooth_ridge/solomons_folly/solomonsfolly.wsc,solomonsfolly.wsc,.wsc,6035456,18171,45056,True,False,2
773,file,root/content/release64/frontier/gaptooth_ridge/tumbleweed/tumbleweedvol.wsc,tumbleweedvol.wsc,.wsc,6094848,8662,20480,True,False,2
774,file,root/content/release64/frontier/gaptooth_ridge/tumbleweed/tumbleweed.wsc,tumbleweed.wsc,.wsc,6062080,32667,94208,True,False,2
775,dir,root/content/release64/frontier/gaptooth_ridge/tumbleweed/actionarea,actionarea,,,,,,,
776,file,root/content/release64/frontier/gaptooth_ridge/tumbleweed/actionarea/event_tum_houseboss.wsc,event_tum_houseboss.wsc,.wsc,6154240,10650,28672,True,False,2
