offset,offset_hex,length,text,population_term
15756,0x3D8C,19,GENERIC_DBUFFER10_1,
15778,0x3DA2,12,MP_Time_Fmt1,
15820,0x3DCC,19,GENERIC_DBUFFER10_2,
15842,0x3DE2,11,MP_Time_Fmt,
15866,0x3DFA,19,GENERIC_DBUFFER10_1,
15891,0x3E13,19,GENERIC_DBUFFER10_0,
15934,0x3E3E,19,GENERIC_DBUFFER10_3,
15956,0x3E54,12,MP_time_Fmt1,
15978,0x3E6A,19,GENERIC_DBUFFER10_2,
16007,0x3E87,19,GENERIC_DBUFFER32_0,
16029,0x3E9D,12,MP_Time_Fmt2,
16052,0x3EB4,19,GENERIC_DBUFFER10_3,
16084,0x3ED4,19,GENERIC_DBUFFER32_0,
16106,0x3EEA,12,MP_Time_Fmt2,
16129,0x3F01,19,GENERIC_DBUFFER10_2,
16160,0x3F20,19,GENERIC_DBUFFER32_0,
16194,0x3F42,19,GENERIC_DBUFFER10_2,
16527,0x408F,28,MEX_MISSION_COMPLETE_SONG_01,
16562,0x40B2,28,FTR_MISSION_COMPLETE_SONG_01,
17141,0x42F5,4,/Rm>,
17158,0x4306,5,>\Rlp,
17166,0x430E,6,>\Rlp8,
17193,0x4329,4,RlGb,
17200,0x4330,6,%dRlG8,
17216,0x4340,4,?\R5,
17225,0x4349,5,>\Rlp,
17233,0x4351,5,>\Rlp,
17247,0x435F,5,RCc~-,
17258,0x436A,5,XpHud,
17269,0x4375,4,"Rl""A",
17331,0x43B3,7,RTYRT/8,
17355,0x43CB,7,*%C1++j,
17462,0x4436,4,"RS8,",
17488,0x4450,4,9K8K,
17543,0x4487,8,SaveLoad,
17552,0x4490,88,"oWMultiplayer Save Triggered, will be picked up by Multiplayer_update_thread soon enough",
17649,0x44F1,4,R608,
17658,0x44FA,4,R60b,
17680,0x4510,7,RPv++RO,
17688,0x4518,7,++ROV++,
17711,0x452F,5,RH!RF,
17717,0x4535,4,RF`%,
17750,0x4556,5,REZz-,
18064,0x4690,4,Ggz-,
18131,0x46D3,227,"For whatever reason, the system thinks we have more than 50 completed quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
18529,0x4861,224,"For whatever reason, the system thinks we have more than 20 active quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
19419,0x4BDB,7,fav_non,
19551,0x4C5F,5,RLz+o,
19557,0x4C65,5,fwep_,
19594,0x4C8A,69,JoCSTAT_SET_VALUE_AS_INT_NOW: Attempting to use a Stat out of bounds.,
19682,0x4CE2,87,oVSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_LIFETIME directly: ,
19785,0x4D49,120,"%ovSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
19924,0x4DD4,90,oYSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_COLLECTIBLE directly: ,
20033,0x4E41,134,"STAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_COLLECTIBLE directly, only increase and decrease operations are allowed",
20255,0x4F1F,38,+o$STAT_GET_VALUE_AS_INT: STAT_INVALID,
20317,0x4F5D,7,fav_non,
20340,0x4F74,4,:%28,
20417,0x4FC1,5,RLz+o,
20423,0x4FC7,5,fwep_,
20454,0x4FE6,7,fav_non,
20491,0x500B,4,1%28,
20568,0x5058,5,RLz+o,
20574,0x505E,5,fwep_,
20605,0x507D,7,fav_non,
20629,0x5095,4,4%28,
20698,0x50DA,5,RLz+o,
20704,0x50E0,5,fwep_,
20758,0x5116,5,"RQ.+,",
20777,0x5129,6,RLz+z-,
20798,0x513E,61,Bo;STAT_INCREASE_NOW: Attempting to use a Stat out of bounds.,
20878,0x518E,75,oJSTAT_INCREASE_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,
20969,0x51E9,108,"%ojSTAT_INCREASE_NOW: You cannot increase a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
21089,0x5261,94,ho\STAT_INCREASE_NOW: fIncreaseValue < 0.0 - I am turning this into a positive number for you!,
21320,0x5348,15,*%C1++7G*%C1++%,
21749,0x54F5,5,_info,
21777,0x5511,4,_num,
21810,0x5532,8,PVP_num2,
21841,0x5551,8,PVP_num3,
22139,0x567B,4,%dRk,
22171,0x569B,4,"Rj""8",
22305,0x5721,4,"Rj""8",
22416,0x5790,6,"%2Rj""8",
22483,0x57D3,4,Rf88,
22497,0x57E1,16,challenge_01_128,
22579,0x5833,4,RX>b,
22631,0x5867,18,CanSaveNowAutoSave,
22694,0x58A6,4,"u? ,",
22702,0x58AE,5,u?4RE,
22907,0x597B,4,"u? ,",
22976,0x59C0,5,+PqMO,
23087,0x5A2F,7,"P)E""W;.",
23159,0x5A77,5,{)BIS,
23209,0x5AA9,6,)Nnk(9,
23267,0x5AE3,5,>4PqL,
23304,0x5B08,5,2R[h9,
23350,0x5B36,5,{)BIS,
23361,0x5B41,4,R[h9,
23485,0x5BBD,4,")E""_",
23631,0x5C4F,5,)E*R\,
23699,0x5C93,4,)B+A,
23770,0x5CDA,4,1()A,
23777,0x5CE1,5,)EIJD,
23807,0x5CFF,4,)CNB,
23918,0x5D6E,5,)EZ:_,
24057,0x5DF9,4,M|)B,
24062,0x5DFE,4,y3)E,
24094,0x5E1E,6,)C%aH8,
24200,0x5E88,4,)B%+,
24350,0x5F1E,4, )Ex,
24564,0x5FF4,4,w)A4,
24641,0x6041,5,[J)Ew,
24710,0x6086,4,()AQ,
24924,0x615C,5,<)D=N,
25038,0x61CE,6,)Bm338,
25079,0x61F7,4,cE)D,
25225,0x6289,5,OH)EV,
25299,0x62D3,4,f)EM,
25448,0x6368,47,3o-Here's what we're returning as a save spot: ,
25521,0x63B1,4,OqP5,
25747,0x6493,15,bPlayerSleeping,
25898,0x652A,8,CQueue_X,
25931,0x654B,8,CQueue_T,
25964,0x656C,8,CQueue_H,
25997,0x658D,12,CQueue_Count,
26029,0x65AD,16,gMPScratchLayout,
26114,0x6602,4,"Rf,R",
26149,0x6625,4,"Rf,R",
26314,0x66CA,4,_des,
26353,0x66F1,14,_DYNAMIC_TITLE,
26800,0x68B0,8,_INTSLOT,
26870,0x68F6,10,_FLOATSLOT,
26956,0x694C,10,_TIMERSLOT,
27025,0x6991,11,_OBJECTSLOT,
27100,0x69DC,22,AmbientMissions_Layout,
27139,0x6A03,22,AmbientMissions_Layout,
27210,0x6A4A,16,challenge_01_128,
27263,0x6A7F,4,"Rj""8",
27564,0x6BAC,11,_DYNAMIC_XP,
27610,0x6BDA,13,_DYNAMIC_GOAL,
27642,0x6BFA,23,MP_Unstoppable_Icon_128,
27793,0x6C91,4,/Rm>,
27839,0x6CBF,4,"%""Ro",
27914,0x6D0A,4,?XRp,
27926,0x6D16,4,?\~-,
28747,0x704B,62,o=ERROR: Trying to PAUSE a NETTIMER that has not been started!,
28812,0x708C,83,#oRWARNING: Trying to PAUSE a NETTIMER that has not been started! IGNORING COMMAND.,
29189,0x7205,112,"sonAttempting to check whether an actor is in range of an actor, where at least one is INVALID! Returning FALSE.",
29307,0x727B,112,"sonAttempting to check whether an actor is in range of an actor, where at least one is INVALID! Returning FALSE.",
29476,0x7324,11,TWR_MP_obj3,
29543,0x7367,8,;gRu]:eM,
29573,0x7385,4,;gRr,
29587,0x7393,7,RqgRtd;,
29636,0x73C4,5,?0%jL,
29813,0x7475,4,J;f8,
29958,0x7506,82,UoPERROR:  SETUP_SQUAD_AI_COMBAT_SET_NEW_STATE_MACHINE was passed an invalid squad,
30092,0x758C,4,R!g8,
30204,0x75FC,20,twr_backup_horse_01_,
30232,0x7618,4,Rvy8,
30249,0x7629,20,twr_backup_horse_07_,
30276,0x7644,4,Rvy8,
30293,0x7655,21,twr_backup_horse_013_,
30322,0x7672,4,Rvyb,
30349,0x768D,4,2:h8,
30739,0x7813,4,Rx>9,
30945,0x78E1,5,_easy,
30974,0x78FE,7,_medium,
31005,0x791D,5,_hard,
31029,0x7935,76,"YoJBOURASSA : we could not find the enum, something is wrong with this actor",
31842,0x7C62,4,% )A,
31862,0x7C76,4,"%"")A",
31874,0x7C82,5,%#)A@,
31886,0x7C8E,5,%$)?@,
31898,0x7C9A,5,%%)A@,
31942,0x7CC6,4,%*)=,
31970,0x7CE2,5,%0)Ap,
31998,0x7CFE,4,%/)A,
32010,0x7D0A,4,%-)A,
32022,0x7D16,4,%5)>,
32046,0x7D2E,4,%7)=,
32094,0x7D5E,5,%;)>L,
32114,0x7D72,4,%=)=,
32146,0x7D92,4,%3)?,
32158,0x7D9E,4,%4)>,
32279,0x7E17,4,%0)A,
32317,0x7E3D,5,%5)?Y,
32329,0x7E49,4,%7)>,
32695,0x7FB7,5,Guard,
32743,0x7FE7,4,%0)A,
32790,0x8016,9,"%5)?&ff,F",
32802,0x8022,4,%7)>,
33173,0x8195,4,%0)A,
33215,0x81BF,4,%5)?,
33227,0x81CB,4,%7)>,
33592,0x8338,4,%7)>,
33640,0x8368,4,%5)?,
33652,0x8374,4,%;)=,
33902,0x846E,4,%5)>,
33914,0x847A,4,%7)>,
33950,0x849E,4,%;)=,
34294,0x85F6,4,%5)>,
34306,0x8602,4,%7)>,
34342,0x8626,5,%;)>L,
34640,0x8750,4,%5)>,
34652,0x875C,5,%7)>L,
34688,0x8780,4,%;)>,
34993,0x88B1,4,%5)>,
35005,0x88BD,5,%7)>L,
35041,0x88E1,5,%;)>L,
35341,0x8A0D,4,%;)>,
35408,0x8A50,4,",F#A",
35426,0x8A62,4,",F%7",
35432,0x8A68,4,",E&c",
35626,0x8B2A,18,twr_backup_dyn_01_,
35667,0x8B53,18,twr_backup_dyn_02_,
35708,0x8B7C,18,twr_backup_dyn_03_,
35749,0x8BA5,18,twr_backup_dyn_05_,
35790,0x8BCE,18,twr_backup_dyn_07_,
35831,0x8BF7,18,twr_backup_dyn_08_,
35872,0x8C20,18,twr_backup_dyn_09_,
35913,0x8C49,19,twr_backup_dyn_011_,
35955,0x8C73,19,twr_backup_dyn_012_,
35997,0x8C9D,19,twr_backup_dyn_013_,
36049,0x8CD1,4,2:h8,
36131,0x8D23,9,twinRocks,
36143,0x8D2F,12,waterWheel01,
36169,0x8D49,9,twinRocks,
36181,0x8D55,12,waterWheel01,
36222,0x8D7E,8,unlockMe,
36241,0x8D91,6,lockMe,
36258,0x8DA2,6,lockMe,
36302,0x8DCE,4,",E'+",
36318,0x8DDE,4,$;d8,
36402,0x8E32,5,;c:h>,
36417,0x8E41,6,",E'+;c",
36432,0x8E50,4,`;c%,
36437,0x8E55,6,",D(;d%",
36444,0x8E5C,5,",D(z-",
36500,0x8E94,4,",D)8",
36540,0x8EBC,4,",I*9",
36552,0x8EC8,4,",K+9",
36563,0x8ED3,5,",G,+8",
36590,0x8EEE,4,",C-8",
36636,0x8F1C,4,",B/8",
36685,0x8F4D,4,^4(=,
36750,0x8F8E,4,",P0b",
36776,0x8FA8,4,",P0.",
36796,0x8FBC,4,miss,
36810,0x8FCA,4,ziss,
36827,0x8FDB,6,_short,
