input,file_name,platform,reader_endian_requested,returncode,duration_seconds,ok,decoded_size,object_start,function_count,decompiled_chars,error,error_type,stdout,stderr,reader_endian
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\multiplayer_update_thread.wsc,multiplayer_update_thread.wsc,Switch,Auto,0,1.166,True,57344,49152,433,9406,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\multiplayer_update_thread.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":57344,""object_start"":49152,""function_count"":433,""decompiled_chars"":9406,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\oddfellowsrest_mp_gy.wsc,oddfellowsrest_mp_gy.wsc,Switch,Auto,0,1.6,True,126976,122880,1857,48359,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\oddfellowsrest_mp_gy.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":126976,""object_start"":122880,""function_count"":1857,""decompiled_chars"":48359,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\original\rdr2init.wsc,rdr2init.wsc,Switch,Auto,0,18.566,True,913408,909312,1213,17263,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\original\\rdr2init.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":913408,""object_start"":909312,""function_count"":1213,""decompiled_chars"":17263,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\pr_multiplayer.wsc,pr_multiplayer.wsc,Switch,Auto,0,1.269,True,36864,32768,225,5949,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\pr_multiplayer.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":225,""decompiled_chars"":5949,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\pressstart.wsc,pressstart.wsc,Switch,Auto,0,1.065,True,12288,8192,5,5574,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\pressstart.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":12288,""object_start"":8192,""function_count"":5,""decompiled_chars"":5574,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\pressstart_D_full_force.wsc,pressstart_D_full_force.wsc,Switch,Auto,0,1.05,True,12288,8192,5,5574,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\pressstart_D_full_force.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":12288,""object_start"":8192,""function_count"":5,""decompiled_chars"":5574,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\rdr2init.wsc,rdr2init.wsc,Switch,Auto,0,17.917,True,913408,909312,1213,17263,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\rdr2init.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":913408,""object_start"":909312,""function_count"":1213,""decompiled_chars"":17263,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\regions\blkbasic.wsc,blkbasic.wsc,Switch,Auto,0,1.05,True,24576,16384,164,13251,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\regions\\blkbasic.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":24576,""object_start"":16384,""function_count"":164,""decompiled_chars"":13251,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\regions\cotbasic.wsc,cotbasic.wsc,Switch,Auto,0,1.05,True,24576,16384,164,13251,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\regions\\cotbasic.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":24576,""object_start"":16384,""function_count"":164,""decompiled_chars"":13251,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\sepulcro_mp_gy.wsc,sepulcro_mp_gy.wsc,Switch,Auto,0,1.558,True,126976,122880,1861,48419,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\sepulcro_mp_gy.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":126976,""object_start"":122880,""function_count"":1861,""decompiled_chars"":48419,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\short_update_thread.wsc,short_update_thread.wsc,Switch,Auto,0,1.366,True,102400,98304,943,15177,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\short_update_thread.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":102400,""object_start"":98304,""function_count"":943,""decompiled_chars"":15177,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\sp_idle.wsc,sp_idle.wsc,Switch,Auto,0,1.207,True,69632,65536,470,7024,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\sp_idle.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":69632,""object_start"":65536,""function_count"":470,""decompiled_chars"":7024,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\tumbleweed_mp_gy.wsc,tumbleweed_mp_gy.wsc,Switch,Auto,0,1.66,True,126976,122880,1864,48464,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\tumbleweed_mp_gy.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":126976,""object_start"":122880,""function_count"":1864,""decompiled_chars"":48464,""error"":""""}",,Little
