input,file_name,platform,reader_endian_requested,returncode,duration_seconds,ok,decoded_size,object_start,function_count,decompiled_chars,error,error_type,stdout,stderr,reader_endian
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\multiplayer_system_thread.wsc,multiplayer_system_thread.wsc,Switch,Auto,0,1.221,True,73728,65536,725,12516,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\multiplayer_system_thread.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":73728,""object_start"":65536,""function_count"":725,""decompiled_chars"":12516,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\multiplayer_update_thread.wsc,multiplayer_update_thread.wsc,Switch,Auto,0,1.102,True,57344,49152,433,9406,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\multiplayer_update_thread.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":57344,""object_start"":49152,""function_count"":433,""decompiled_chars"":9406,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\playground\jt_mpplayground.wsc,jt_mpplayground.wsc,Switch,Auto,0,1.294,True,102400,98304,1113,17992,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\playground\\jt_mpplayground.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":102400,""object_start"":98304,""function_count"":1113,""decompiled_chars"":17992,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\playground\mpplayground.wsc,mpplayground.wsc,Switch,Auto,0,1.117,True,77824,73728,537,8268,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\playground\\mpplayground.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":77824,""object_start"":73728,""function_count"":537,""decompiled_chars"":8268,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\playground\simple_mpplayground.wsc,simple_mpplayground.wsc,Switch,Auto,0,1.229,True,102400,98304,929,14936,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\playground\\simple_mpplayground.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":102400,""object_start"":98304,""function_count"":929,""decompiled_chars"":14936,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\playground\test001.wsc,test001.wsc,Switch,Auto,0,0.975,True,4096,0,1,160,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\playground\\test001.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":4096,""object_start"":0,""function_count"":1,""decompiled_chars"":160,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\pr_multiplayer.wsc,pr_multiplayer.wsc,Switch,Auto,0,1.095,True,36864,32768,225,5949,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\pr_multiplayer.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":225,""decompiled_chars"":5949,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\coop\coopbasic.wsc,coopbasic.wsc,Switch,Auto,0,1.029,True,20480,16384,143,11487,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\coop\\coopbasic.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":20480,""object_start"":16384,""function_count"":143,""decompiled_chars"":11487,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_arm\ctf_arm.wsc,ctf_arm.wsc,Switch,Auto,0,1.055,True,36864,32768,162,4963,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_arm\\ctf_arm.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":162,""decompiled_chars"":4963,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_arm\ctf_arm_single.wsc,ctf_arm_single.wsc,Switch,Auto,0,1.028,True,28672,24576,180,5100,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_arm\\ctf_arm_single.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":180,""decompiled_chars"":5100,""error"":""""}",,Little
