path,extension,size,sha1,first_32_bytes_hex,family,decode_status,conversion_status,note,normalized_flag1,normalized_flag2
imports\PSN MULTIPLAYER\content\release64\multiplayer\deathmatch\testmatch.csc,.csc,7875,282B9963BAA2C8E307B8FC257C037F55B1E501C9,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 05 C7 DD EB 0C 69 31 C1 B7 E3 C5 F7 2C 14 21 D4 DB,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\freemode\freemode.csc,.csc,52662,39EB147487968B55BFA814C1754E4AB4B609BEFF,86 43 53 52 00 00 00 02 80 00 00 00 A0 00 00 1C A6 EE 0E 71 9A 94 D6 66 D9 E7 8C A8 F1 62 1E 81,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\mp_idle.csc,.csc,44631,836DA3EB1E388C2C12A0DBAE31B61EA11E93133E,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 1B 22 1A 27 DC 1E 52 1D 62 1B 80 B4 E2 53 1C 17 27,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\multiplayer_system_thread.csc,.csc,31765,BCE3CD2CD1979BC827360BD76C3835FC608E41D2,86 43 53 52 00 00 00 02 80 00 00 00 90 00 00 12 F0 BA 1E C6 37 28 B1 4D 6D 6C 1C 81 A4 39 67 47,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\multiplayer_update_thread.csc,.csc,24419,230CB503BBBE0F54BF2AA0BC8D34CAEDE42EF7C7,86 43 53 52 00 00 00 02 80 00 00 00 90 00 00 0E 47 D0 FA FC B4 9A E6 FC E9 25 83 AE 84 98 E0 F4,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\pr_multiplayer.csc,.csc,15043,8EDD0E69B621DF58B2B7F66D744BAC8EE696C364,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09 DF 53 91 18 8C 69 CF E8 4F 4D CD 08 AB 6A 6B 57,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\coop\coopbasic.csc,.csc,9706,A89C2CE2247F437211E639CCD6EE1459B598C12C,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 05 D5 3B 57 90 17 F6 2A 77 54 AD 8B C1 25 83 63 21,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_arm\ctf_arm.csc,.csc,13342,E8CB5EFBBFE52FB5266790579E59A3C80DB78165,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 09 25 7E BE D8 09 22 AC C6 0B B7 C3 09 C1 0F 31 D9,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_arm\ctf_arm_single.csc,.csc,12984,2EF2D88F799B7564A321CD2958401D6D7B9FF0E1,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 6D 2E 4D A8 58 57 C7 1A 84 74 37 EF 63 31 4C 38,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\regions\ctf_arm\ctf_arm_sym.csc,.csc,12918,F05D0903F2991CF41D6B6F51C97F555E1457D5BF,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 7C A3 F3 3F B9 E8 6D 6C 71 C7 5D FE 90 8D 2F 94,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
