owner_function_index,owner_function_name,score,candidate_count,control_flow_safe_count,read_only_count,purpose_tags,nearby_strings
0,main,5,385,11,374,"['disable', 'mission']","['FreeModeThread', 'OLNM_ReturnToFM', 'mp_fe_freeroam', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'XpHud', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']"
175,Function_175,2,537,22,515,['spawn'],"['net_respawn_button', 'HUD_MENU_SELECT_MASTER', 'mp_TELEPORT', 'o%$/content/multiplayer/mp_Teleport.sc', '?pPqN8', 'mp_bleeding', 'NoRegen', 'WaitingForRevival', 'Drowned', 'BledOut', '=0% R', 'PM_Weapons']"
206,Function_206,2,43,0,43,['spawn'],"['IsFadedIn', ',GB+', 'PlayerLayout', ',JD8', ',EE+8', ',PFb', ',DGb', ',DG8', 'player', ',WH9', ',BI8', ',FJ8']"
126,Function_126,1,36,1,35,[],"['7RF?z-', '?pz-', 'FRD Client', 'o Splashing winner message for %s', '>LRP', 'GENMESS_GAMEWON', 'HUD_MP_OVERTIME_WIN_MASTER', 'GENMESS_GAMELOST', 'HUD_MP_OVERTIME_LOSE_MASTER', 'mp_FRD_Wins', '>LR?m8', 'o9Splashing Nobody win message cause non-valid high scorer']"
127,Function_127,1,29,3,26,[],"['GENMESS_GAMELOST', 'HUD_MP_OVERTIME_LOSE_MASTER', 'mp_FRD_Wins', '>,R?m8', 'FRD_Holder', 'mp_FRD_UpForGrabslbl', 'FRD_BlipColor', '<yellow><MP_DEFEND></yellow>', '%s<MP_DEFEND></0x>', '<blue><MP_DEFEND></blue>', '<MP_DEFEND>', '<red><MP_DEFEND></red>']"
143,Function_143,1,21,0,21,[],"['^4(=', 'FRD_Layout']"
144,Function_144,1,86,0,86,['spawn'],"['Defense_Volume', '|()AJ', 'SpawnVolGroup_set', 'SpawnVol_0', '@)A3', 'SpawnVol_1', ')?Z#', 't)?Z#', 'SpawnVol_2', '$)?^', 'I)?J', 'SpawnVol_3']"
145,Function_145,1,9,0,9,[],"['SpawnVol_43', 'BS)B', 'Defense_Volume', ';9)B', 'SpawnVolGroup_set']"
146,Function_146,1,64,0,64,['spawn'],"['BS)B', 'Defense_Volume', ';9)B', 'SpawnVolGroup_set', 'SpawnVol_0', 'SpawnVol_1', ')?SL', 'SpawnVol_2', ')?ZI', 'SpawnVol_3', 'SpawnVol_4', 'SpawnVol_5']"
147,Function_147,1,46,0,46,['spawn'],"[')C8=p', 'Q)@A)J)@', 'SpawnVol_29', '|f)A', 'Defense_Volume', ')D?%m)B', ')Anq', 'SpawnVolGroup_set', 'SpawnVol_0', ')DKL^)B', 'SpawnVol_1', ')D(/']"
