offset,offset_hex,opcode,width,value,actor_kind,operand_hex,candidate_source
5,0x5,37,1,31,eActorEnum_candidate,1F,
9,0x9,37,1,33,eActorEnum_candidate,21,
272,0x110,65,2,869,eActorEnum_candidate,03 65,
293,0x125,37,1,48,eActorEnum_candidate,30,
1335,0x537,37,1,48,eActorEnum_candidate,30,
1521,0x5F1,65,2,1000,eActorEnum_candidate,03 E8,
1877,0x755,37,1,47,eActorEnum_candidate,2F,
1886,0x75E,37,1,48,eActorEnum_candidate,30,
2257,0x8D1,37,1,64,eActorEnum_candidate,40,
2265,0x8D9,65,2,599,eActorEnum_candidate,02 57,
2275,0x8E3,65,2,599,eActorEnum_candidate,02 57,
2298,0x8FA,37,1,13,eActorEnum_candidate,0D,
4677,0x1245,37,1,52,eActorEnum_candidate,34,
4837,0x12E5,37,1,83,eActorEnum_candidate,53,
4923,0x133B,37,1,8,eActorEnum_candidate,08,
4992,0x1380,37,1,51,eActorEnum_candidate,33,
5072,0x13D0,37,1,50,eActorEnum_candidate,32,
5218,0x1462,37,1,82,eActorEnum_candidate,52,
5302,0x14B6,37,1,62,eActorEnum_candidate,3E,
5391,0x150F,37,1,9,eActorEnum_candidate,09,
5482,0x156A,37,1,95,eActorEnum_candidate,5F,
5581,0x15CD,37,1,30,eActorEnum_candidate,1E,
5668,0x1624,37,1,94,eActorEnum_candidate,5E,
5763,0x1683,37,1,75,eActorEnum_candidate,4B,
5844,0x16D4,37,1,60,eActorEnum_candidate,3C,
5925,0x1725,37,1,84,eActorEnum_candidate,54,
6020,0x1784,37,1,11,eActorEnum_candidate,0B,
6118,0x17E6,37,1,73,eActorEnum_candidate,49,
6207,0x183F,37,1,74,eActorEnum_candidate,4A,
6292,0x1894,37,1,53,eActorEnum_candidate,35,
6378,0x18EA,37,1,61,eActorEnum_candidate,3D,
6480,0x1950,37,1,40,eActorEnum_candidate,28,
6572,0x19AC,37,1,85,eActorEnum_candidate,55,
6688,0x1A20,37,1,86,eActorEnum_candidate,56,
6773,0x1A75,37,1,35,eActorEnum_candidate,23,
6871,0x1AD7,37,1,10,eActorEnum_candidate,0A,
6973,0x1B3D,37,1,27,eActorEnum_candidate,1B,
7075,0x1BA3,37,1,41,eActorEnum_candidate,29,
7163,0x1BFB,37,1,76,eActorEnum_candidate,4C,
7250,0x1C52,37,1,36,eActorEnum_candidate,24,
7350,0x1CB6,37,1,29,eActorEnum_candidate,1D,
7435,0x1D0B,37,1,54,eActorEnum_candidate,36,
7537,0x1D71,37,1,42,eActorEnum_candidate,2A,
7634,0x1DD2,37,1,42,eActorEnum_candidate,2A,
7738,0x1E3A,37,1,28,eActorEnum_candidate,1C,
7828,0x1E94,37,1,55,eActorEnum_candidate,37,
7919,0x1EEF,37,1,26,eActorEnum_candidate,1A,
8009,0x1F49,37,1,12,eActorEnum_candidate,0C,
8046,0x1F6E,37,1,78,eActorEnum_candidate,4E,
8083,0x1F93,37,1,89,eActorEnum_candidate,59,
8120,0x1FB8,37,1,63,eActorEnum_candidate,3F,
8157,0x1FDD,37,1,90,eActorEnum_candidate,5A,
8194,0x2002,37,1,34,eActorEnum_candidate,22,
8203,0x200B,37,1,8,eActorEnum_candidate,08,
8232,0x2028,37,1,43,eActorEnum_candidate,2B,
8269,0x204D,37,1,44,eActorEnum_candidate,2C,
8306,0x2072,37,1,72,eActorEnum_candidate,48,
8315,0x207B,37,1,12,eActorEnum_candidate,0C,
8344,0x2098,37,1,39,eActorEnum_candidate,27,
8381,0x20BD,37,1,65,eActorEnum_candidate,41,
8418,0x20E2,37,1,67,eActorEnum_candidate,43,
8455,0x2107,37,1,98,eActorEnum_candidate,62,
8492,0x212C,37,1,37,eActorEnum_candidate,25,
8529,0x2151,37,1,45,eActorEnum_candidate,2D,
8566,0x2176,37,1,18,eActorEnum_candidate,12,
8575,0x217F,37,1,9,eActorEnum_candidate,09,
8604,0x219C,37,1,15,eActorEnum_candidate,0F,
8641,0x21C1,37,1,70,eActorEnum_candidate,46,
8650,0x21CA,37,1,10,eActorEnum_candidate,0A,
8679,0x21E7,37,1,17,eActorEnum_candidate,11,
8688,0x21F0,37,1,8,eActorEnum_candidate,08,
8717,0x220D,37,1,68,eActorEnum_candidate,44,
8726,0x2216,37,1,8,eActorEnum_candidate,08,
8755,0x2233,37,1,14,eActorEnum_candidate,0E,
8792,0x2258,37,1,81,eActorEnum_candidate,51,
8801,0x2261,37,1,8,eActorEnum_candidate,08,
8830,0x227E,37,1,91,eActorEnum_candidate,5B,
8867,0x22A3,37,1,20,eActorEnum_candidate,14,
8876,0x22AC,37,1,11,eActorEnum_candidate,0B,
8905,0x22C9,37,1,80,eActorEnum_candidate,50,
8942,0x22EE,37,1,46,eActorEnum_candidate,2E,
8979,0x2313,37,1,93,eActorEnum_candidate,5D,
8988,0x231C,37,1,9,eActorEnum_candidate,09,
9017,0x2339,37,1,87,eActorEnum_candidate,57,
9054,0x235E,37,1,21,eActorEnum_candidate,15,
9063,0x2367,37,1,12,eActorEnum_candidate,0C,
9092,0x2384,37,1,48,eActorEnum_candidate,30,
9101,0x238D,37,1,8,eActorEnum_candidate,08,
9130,0x23AA,37,1,58,eActorEnum_candidate,3A,
9167,0x23CF,37,1,19,eActorEnum_candidate,13,
9176,0x23D8,37,1,10,eActorEnum_candidate,0A,
9205,0x23F5,37,1,69,eActorEnum_candidate,45,
9214,0x23FE,37,1,9,eActorEnum_candidate,09,
9243,0x241B,37,1,59,eActorEnum_candidate,3B,
9280,0x2440,37,1,66,eActorEnum_candidate,42,
9317,0x2465,37,1,16,eActorEnum_candidate,10,
9354,0x248A,37,1,38,eActorEnum_candidate,26,
9391,0x24AF,37,1,13,eActorEnum_candidate,0D,
9428,0x24D4,37,1,64,eActorEnum_candidate,40,
9465,0x24F9,37,1,56,eActorEnum_candidate,38,
9502,0x251E,37,1,79,eActorEnum_candidate,4F,
9613,0x258D,37,1,28,eActorEnum_candidate,1C,
9652,0x25B4,37,1,28,eActorEnum_candidate,1C,
9689,0x25D9,37,1,47,eActorEnum_candidate,2F,
9726,0x25FE,37,1,88,eActorEnum_candidate,58,
9763,0x2623,37,1,92,eActorEnum_candidate,5C,
9772,0x262C,37,1,8,eActorEnum_candidate,08,
9801,0x2649,37,1,23,eActorEnum_candidate,17,
9810,0x2652,37,1,14,eActorEnum_candidate,0E,
9839,0x266F,37,1,96,eActorEnum_candidate,60,
9862,0x2686,37,1,64,eActorEnum_candidate,40,
9943,0x26D7,37,1,97,eActorEnum_candidate,61,
10024,0x2728,37,1,24,eActorEnum_candidate,18,
10033,0x2731,37,1,15,eActorEnum_candidate,0F,
10106,0x277A,37,1,57,eActorEnum_candidate,39,
10193,0x27D1,37,1,71,eActorEnum_candidate,47,
10278,0x2826,37,1,22,eActorEnum_candidate,16,
10287,0x282F,37,1,13,eActorEnum_candidate,0D,
10367,0x287F,37,1,77,eActorEnum_candidate,4D,
10448,0x28D0,37,1,32,eActorEnum_candidate,20,
10535,0x2927,37,1,33,eActorEnum_candidate,21,
10616,0x2978,37,1,25,eActorEnum_candidate,19,
10625,0x2981,37,1,16,eActorEnum_candidate,10,
10706,0x29D2,37,1,71,eActorEnum_candidate,47,
10715,0x29DB,37,1,11,eActorEnum_candidate,0B,
10801,0x2A31,37,1,71,eActorEnum_candidate,47,
10810,0x2A3A,37,1,9,eActorEnum_candidate,09,
10889,0x2A89,37,1,97,eActorEnum_candidate,61,
10973,0x2ADD,37,1,24,eActorEnum_candidate,18,
10982,0x2AE6,37,1,15,eActorEnum_candidate,0F,
11058,0x2B32,37,1,57,eActorEnum_candidate,39,
11142,0x2B86,37,1,71,eActorEnum_candidate,47,
11226,0x2BDA,37,1,22,eActorEnum_candidate,16,
