function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
0,main,0,0x0,296,0x128,296,3,30,3,12,0,[]
1,Function_1,296,0x128,415,0x19F,119,3,5,1,7,0,[]
2,Function_2,415,0x19F,1000,0x3E8,585,26,22,2,15,0,[]
3,Function_3,1000,0x3E8,1047,0x417,47,0,0,2,4,0,[]
4,Function_4,1047,0x417,1064,0x428,17,0,0,0,0,0,[]
5,Function_5,1064,0x428,1364,0x554,300,7,0,1,8,0,[]
6,Function_6,1364,0x554,1490,0x5D2,126,3,5,1,3,0,[]
7,Function_7,1490,0x5D2,1504,0x5E0,14,1,1,0,0,0,[]
8,Function_8,1504,0x5E0,1554,0x612,50,0,0,5,0,0,[]
9,Function_9,1554,0x612,1707,0x6AB,153,1,1,1,6,0,[]
10,Function_10,1707,0x6AB,1723,0x6BB,16,0,0,0,2,0,[]
11,Function_11,1723,0x6BB,7143,0x1BE7,5420,193,204,4,166,0,"['mission', 'wanted']"
12,Function_12,7143,0x1BE7,7421,0x1CFD,278,10,10,0,5,0,[]
13,Function_13,7421,0x1CFD,7443,0x1D13,22,0,0,0,0,0,[]
14,Function_14,7443,0x1D13,7518,0x1D5E,75,0,1,2,11,0,[]
15,Function_15,7518,0x1D5E,7780,0x1E64,262,0,21,26,0,0,[]
16,Function_16,7780,0x1E64,7831,0x1E97,51,0,1,0,3,0,[]
17,Function_17,7831,0x1E97,8234,0x202A,403,1,6,2,8,0,[]
18,Function_18,8234,0x202A,8675,0x21E3,441,1,8,2,10,0,[]
19,Function_19,8675,0x21E3,8689,0x21F1,14,0,0,0,1,0,[]
20,Function_20,8689,0x21F1,9230,0x240E,541,0,20,3,24,0,[]
21,Function_21,9230,0x240E,9397,0x24B5,167,2,0,6,12,0,[]
22,Function_22,9397,0x24B5,10065,0x2751,668,5,13,2,8,0,[]
23,Function_23,10065,0x2751,11663,0x2D8F,1598,29,37,14,65,0,[]
24,Function_24,11663,0x2D8F,11672,0x2D98,9,0,0,0,0,0,[]
25,Function_25,11672,0x2D98,11689,0x2DA9,17,0,0,0,0,0,[]
26,Function_26,11689,0x2DA9,11936,0x2EA0,247,7,3,6,11,0,[]
27,Function_27,11936,0x2EA0,11963,0x2EBB,27,0,0,1,0,0,[]
28,Function_28,11963,0x2EBB,12066,0x2F22,103,0,2,2,3,0,[]
29,Function_29,12066,0x2F22,12084,0x2F34,18,0,0,0,1,0,[]
30,Function_30,12084,0x2F34,12102,0x2F46,18,0,0,0,1,0,[]
31,Function_31,12102,0x2F46,12410,0x307A,308,1,5,4,13,0,[]
32,Function_32,12410,0x307A,12425,0x3089,15,0,0,0,0,0,[]
33,Function_33,12425,0x3089,12482,0x30C2,57,1,1,0,1,0,[]
34,Function_34,12482,0x30C2,12543,0x30FF,61,1,1,0,1,0,[]
35,Function_35,12543,0x30FF,12953,0x3299,410,4,8,0,4,0,[]
36,Function_36,12953,0x3299,13533,0x34DD,580,4,4,5,11,0,[]
37,Function_37,13533,0x34DD,13598,0x351E,65,1,2,0,1,0,[]
38,Function_38,13598,0x351E,13735,0x35A7,137,2,0,5,8,0,[]
39,Function_39,13735,0x35A7,13886,0x363E,151,2,0,7,9,0,[]
40,Function_40,13886,0x363E,14013,0x36BD,127,2,0,5,8,0,[]
41,Function_41,14013,0x36BD,14074,0x36FA,61,0,4,1,3,0,[]
42,Function_42,14074,0x36FA,14598,0x3906,524,4,9,2,10,0,[]
43,Function_43,14598,0x3906,14690,0x3962,92,0,2,0,3,0,[]
44,Function_44,14690,0x3962,14712,0x3978,22,0,0,1,1,0,[]
45,Function_45,14712,0x3978,14776,0x39B8,64,2,2,0,1,0,[]
46,Function_46,14776,0x39B8,14887,0x3A27,111,0,6,0,3,0,[]
47,Function_47,14887,0x3A27,14900,0x3A34,13,0,0,0,0,0,[]
48,Function_48,14900,0x3A34,15048,0x3AC8,148,0,0,0,8,0,[]
49,Function_49,15048,0x3AC8,15058,0x3AD2,10,0,0,0,0,0,[]
50,Function_50,15058,0x3AD2,15230,0x3B7E,172,0,0,0,8,0,[]
51,Function_51,15230,0x3B7E,15330,0x3BE2,100,0,0,0,11,0,[]
52,Function_52,15330,0x3BE2,15360,0x3C00,30,0,0,0,2,0,[]
53,Function_53,15360,0x3C00,15381,0x3C15,21,0,5,0,0,0,[]
54,Function_54,15381,0x3C15,15424,0x3C40,43,1,3,0,1,0,[]
55,Function_55,15424,0x3C40,15506,0x3C92,82,0,2,3,4,0,[]
56,Function_56,15506,0x3C92,15532,0x3CAC,26,0,0,0,2,0,[]
57,Function_57,15532,0x3CAC,15568,0x3CD0,36,0,0,0,4,0,[]
58,Function_58,15568,0x3CD0,15589,0x3CE5,21,0,0,0,1,0,[]
