term,offset,offset_hex,status,reason
SESSION,344,0x158,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,60603,0xECBB,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,104753,0x19931,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SESSION,104786,0x19952,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
FreeModeThread,226,0xE2,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
MULTI_FREE_ROAM,374,0x176,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
MULTI_FREE_ROAM,398,0x18E,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
MULTI_FREE_ROAM,477,0x1DD,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
mp_fe_freeroam,295,0x127,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
mp_avatarpicker_conf,442,0x1BA,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
mp_avatarpicker_conf,521,0x209,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
NetConf_AvatarPicker,419,0x1A3,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
NetConf_AvatarPicker,498,0x1F2,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SG_AutoSaveDisabled,975,0x3CF,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
netNoAmbientWorld,572,0x23C,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
MP_Tutorial,1073,0x431,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
MP_Tutorial,1363,0x553,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
MP_Tutorial,2748,0xABC,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SpawnVolGroup_set,21998,0x55EE,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SpawnVolGroup_set,24875,0x612B,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SpawnVolGroup_set,26961,0x6951,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SpawnVolGroup_set,28445,0x6F1D,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SpawnVolGroup_set,29404,0x72DC,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SpawnVolGroup_set,33335,0x8237,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
SpawnVolGroup_set,35421,0x8A5D,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
PlayerLayout,47210,0xB86A,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
Respawn,40384,0x9DC0,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
Respawn,40423,0x9DE7,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
Respawn,47477,0xB975,manual_review_required,decoded string or byte anchor; inspect nearby code and callers before patching
