relative_path,returncode,ok,stdout,stderr
action_areas/wilderness/bearwildernessaa.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\action_areas__wilderness__bearwildernessaa.wsc"",
  ""strings"": 360,
  ""functions"": 241,
  ""natives"": 697
}",
action_areas/wilderness/boarwildernessaa.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\action_areas__wilderness__boarwildernessaa.wsc"",
  ""strings"": 355,
  ""functions"": 239,
  ""natives"": 686
}",
action_areas/wilderness/cougarwildernessaa.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\action_areas__wilderness__cougarwildernessaa.wsc"",
  ""strings"": 383,
  ""functions"": 239,
  ""natives"": 686
}",
action_areas/wilderness/wolfwildernessaa.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\action_areas__wilderness__wolfwildernessaa.wsc"",
  ""strings"": 371,
  ""functions"": 239,
  ""natives"": 686
}",
ctf/ctf_base_game.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\ctf__ctf_base_game.wsc"",
  ""strings"": 2293,
  ""functions"": 738,
  ""natives"": 2821
}",
deathmatch/deathmatch.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\deathmatch__deathmatch.wsc"",
  ""strings"": 1778,
  ""functions"": 562,
  ""natives"": 2268
}",
deathmatch/testmatch.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\deathmatch__testmatch.wsc"",
  ""strings"": 178,
  ""functions"": 114,
  ""natives"": 320
}",
freemode/freemode.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\freemode__freemode.wsc"",
  ""strings"": 2650,
  ""functions"": 705,
  ""natives"": 2795
}",
mp_help_barker.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\mp_help_barker.wsc"",
  ""strings"": 7,
  ""functions"": 6,
  ""natives"": 10
}",
mp_idle.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\mp_idle.wsc"",
  ""strings"": 2124,
  ""functions"": 521,
  ""natives"": 4028
}",
mp_teleport.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\mp_teleport.wsc"",
  ""strings"": 149,
  ""functions"": 69,
  ""natives"": 235
}",
multiplayer_system_thread.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\multiplayer_system_thread.wsc"",
  ""strings"": 1142,
  ""functions"": 483,
  ""natives"": 1336
}",
multiplayer_update_thread.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\multiplayer_update_thread.wsc"",
  ""strings"": 1065,
  ""functions"": 353,
  ""natives"": 901
}",
playground/jt_mpplayground.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\playground__jt_mpplayground.wsc"",
  ""strings"": 1945,
  ""functions"": 586,
  ""natives"": 3116
}",
