function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
0,main,0,0x0,3191,0xC77,3191,79,131,21,170,0,['disable']
1,Function_1,3191,0xC77,3222,0xC96,31,0,1,0,3,0,[]
2,Function_2,3222,0xC96,3244,0xCAC,22,0,2,0,1,0,[]
3,Function_3,3244,0xCAC,3304,0xCE8,60,2,3,0,1,0,[]
4,Function_4,3304,0xCE8,3316,0xCF4,12,0,0,0,1,0,[]
5,Function_5,3316,0xCF4,3354,0xD1A,38,0,0,0,3,0,[]
6,Function_6,3354,0xD1A,3656,0xE48,302,0,14,0,19,0,[]
7,Function_7,3656,0xE48,3682,0xE62,26,0,0,0,0,0,[]
8,Function_8,3682,0xE62,3711,0xE7F,29,0,0,0,2,0,[]
9,Function_9,3711,0xE7F,3793,0xED1,82,0,1,2,13,0,[]
10,Function_10,3793,0xED1,4055,0xFD7,262,0,21,26,0,0,[]
11,Function_11,4055,0xFD7,4106,0x100A,51,0,1,0,3,0,[]
12,Function_12,4106,0x100A,4504,0x1198,398,1,6,2,8,0,[]
13,Function_13,4504,0x1198,4940,0x134C,436,1,8,2,10,0,[]
14,Function_14,4940,0x134C,4954,0x135A,14,0,0,0,1,0,[]
15,Function_15,4954,0x135A,5451,0x154B,497,0,20,3,24,0,[]
16,Function_16,5451,0x154B,5460,0x1554,9,0,1,0,0,0,[]
17,Function_17,5460,0x1554,5626,0x15FA,166,2,0,6,12,0,[]
18,Function_18,5626,0x15FA,6293,0x1895,667,5,13,2,8,0,[]
19,Function_19,6293,0x1895,7874,0x1EC2,1581,29,37,14,65,0,[]
20,Function_20,7874,0x1EC2,7882,0x1ECA,8,0,0,0,0,0,[]
21,Function_21,7882,0x1ECA,7899,0x1EDB,17,0,0,0,0,0,[]
22,Function_22,7899,0x1EDB,8144,0x1FD0,245,7,3,6,11,0,[]
23,Function_23,8144,0x1FD0,8169,0x1FE9,25,0,0,1,0,0,[]
24,Function_24,8169,0x1FE9,8270,0x204E,101,0,2,2,3,0,[]
25,Function_25,8270,0x204E,8288,0x2060,18,0,0,0,1,0,[]
26,Function_26,8288,0x2060,8306,0x2072,18,0,0,0,1,0,[]
27,Function_27,8306,0x2072,8610,0x21A2,304,1,5,4,13,0,[]
28,Function_28,8610,0x21A2,8625,0x21B1,15,0,0,0,0,0,[]
29,Function_29,8625,0x21B1,8682,0x21EA,57,1,1,0,1,0,[]
30,Function_30,8682,0x21EA,8743,0x2227,61,1,1,0,1,0,[]
31,Function_31,8743,0x2227,9153,0x23C1,410,4,8,0,4,0,[]
32,Function_32,9153,0x23C1,9733,0x2605,580,4,4,5,11,0,[]
33,Function_33,9733,0x2605,9870,0x268E,137,2,0,5,8,0,[]
34,Function_34,9870,0x268E,10021,0x2725,151,2,0,7,9,0,[]
35,Function_35,10021,0x2725,10148,0x27A4,127,2,0,5,8,0,[]
36,Function_36,10148,0x27A4,10205,0x27DD,57,0,4,1,3,0,[]
37,Function_37,10205,0x27DD,10727,0x29E7,522,4,9,2,10,0,[]
38,Function_38,10727,0x29E7,10742,0x29F6,15,0,0,0,3,0,[]
39,Function_39,10742,0x29F6,10785,0x2A21,43,0,1,0,1,0,[]
40,Function_40,10785,0x2A21,10828,0x2A4C,43,0,1,0,1,0,[]
41,Function_41,10828,0x2A4C,10871,0x2A77,43,0,1,0,1,0,[]
42,Function_42,10871,0x2A77,10889,0x2A89,18,0,4,0,0,0,[]
43,Function_43,10889,0x2A89,10905,0x2A99,16,0,1,0,1,0,[]
44,Function_44,10905,0x2A99,10962,0x2AD2,57,1,1,1,2,0,['disable']
45,Function_45,10962,0x2AD2,10975,0x2ADF,13,0,0,0,1,0,[]
46,Function_46,10975,0x2ADF,10994,0x2AF2,19,0,0,0,0,0,[]
47,Function_47,10994,0x2AF2,11013,0x2B05,19,0,2,0,1,0,[]
48,Function_48,11013,0x2B05,13657,0x3559,2644,31,6,0,74,0,[]
49,Function_49,13657,0x3559,14093,0x370D,436,8,28,1,8,0,[]
50,Function_50,14093,0x370D,14110,0x371E,17,0,1,0,0,0,[]
51,Function_51,14110,0x371E,14161,0x3751,51,0,3,0,1,0,[]
52,Function_52,14161,0x3751,14200,0x3778,39,0,2,0,1,0,[]
53,Function_53,14200,0x3778,14210,0x3782,10,0,0,0,0,0,[]
54,Function_54,14210,0x3782,14253,0x37AD,43,0,1,1,4,0,[]
55,Function_55,14253,0x37AD,14294,0x37D6,41,0,2,0,1,0,[]
56,Function_56,14294,0x37D6,14310,0x37E6,16,0,0,0,0,0,[]
57,Function_57,14310,0x37E6,14375,0x3827,65,1,2,0,1,0,[]
58,Function_58,14375,0x3827,14393,0x3839,18,0,0,0,1,0,[]
59,Function_59,14393,0x3839,14406,0x3846,13,0,0,0,0,0,[]
60,Function_60,14406,0x3846,14531,0x38C3,125,0,2,10,7,0,[]
61,Function_61,14531,0x38C3,14676,0x3954,145,0,1,9,13,0,[]
62,Function_62,14676,0x3954,14859,0x3A0B,183,4,8,0,11,0,[]
63,Function_63,14859,0x3A0B,14896,0x3A30,37,0,4,0,1,0,[]
