offset,offset_hex,length,text,population_term,string_class
14320,0x37F0,38,+o$STAT_GET_VALUE_AS_INT: STAT_INVALID,,debug/display text
14440,0x3868,4,|)?@,,debug/display text
14461,0x387D,4,"RRT,",,unknown
14669,0x394D,4,R9Tb,,unknown
14710,0x3976,5,_info,,unknown
14738,0x3992,4,_num,,unknown
14771,0x39B3,8,PVP_num2,,unknown
14802,0x39D2,8,PVP_num3,,unknown
14841,0x39F9,4,R:0c,,unknown
15028,0x3AB4,4,RL%%,,debug/display text
15070,0x3ADE,16,challenge_01_128,,unknown
15097,0x3AF9,4,RIf8,,unknown
15113,0x3B09,5,RH|R;,,unknown
15159,0x3B37,5,R;;z-,,unknown
15171,0x3B43,8,SaveLoad,,unknown
15180,0x3B4C,88,"oWMultiplayer Save Triggered, will be picked up by Multiplayer_update_thread soon enough",,debug/display text
15399,0x3C27,18,CanSaveNowAutoSave,,unknown
15462,0x3C66,4,"u? ,",,debug/display text
15470,0x3C6E,4,u?4R,,debug/display text
15564,0x3CCC,5,2R=Lc,,unknown
15675,0x3D3B,4,"u? ,",,debug/display text
15725,0x3D6D,4,R>j9,,unknown
15732,0x3D74,4,R>Tc,,unknown
15744,0x3D80,5,+PqMO,,unknown
15855,0x3DEF,7,"P)E""W;.",,unknown
15927,0x3E37,5,{)BIS,,unknown
15941,0x3E45,4,R>K.,,unknown
15986,0x3E72,6,)Nnk(9,,unknown
16044,0x3EAC,5,>4PqL,,unknown
16081,0x3ED1,5,2R?19,,debug/display text
16127,0x3EFF,5,{)BIS,,unknown
16138,0x3F0A,4,R?19,,debug/display text
16169,0x3F29,4,R>j9,,unknown
16262,0x3F86,4,")E""_",,unknown
16410,0x401A,5,)E*R\,,unknown
16478,0x405E,4,)B+A,,unknown
16549,0x40A5,4,1()A,,unknown
16556,0x40AC,5,)EIJD,,unknown
16586,0x40CA,4,)CNB,,unknown
16697,0x4139,5,)EZ:_,,unknown
16836,0x41C4,4,M|)B,,unknown
16841,0x41C9,4,y3)E,,unknown
16873,0x41E9,6,)C%aH8,,debug/display text
