string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
45,0x2D,net.StartOnline,unknown,43,0x2B,0,main,0x0..0xC77
106,0x6A,NetAlert_FailedInviteJoin_NoPlaylist,unknown,104,0x68,0,main,0x0..0xC77
148,0x94,SG_AutoSaveDisabled,likely logic anchor,146,0x92,0,main,0x0..0xC77
179,0xB3,NetAlert_NatWarning,unknown,177,0xB1,0,main,0x0..0xC77
283,0x11B,multiplayerUpdateThread,unknown,281,0x119,0,main,0x0..0xC77
349,0x15D,FREEROAM,unknown,347,0x15B,0,main,0x0..0xC77
437,0x1B5,playersInSession,unknown,435,0x1B3,0,main,0x0..0xC77
507,0x1FB,rand_idle_sit_ground_player,unknown,505,0x1F9,0,main,0x0..0xC77
540,0x21C,locked_footlocker,unknown,538,0x21A,0,main,0x0..0xC77
563,0x233,old_winch,unknown,561,0x231,0,main,0x0..0xC77
578,0x242,stand_open_chest,unknown,576,0x240,0,main,0x0..0xC77
600,0x258,horsehitch,unknown,598,0x256,0,main,0x0..0xC77
616,0x268,horsehitch2,unknown,614,0x266,0,main,0x0..0xC77
633,0x279,hitchingpost,unknown,631,0x277,0,main,0x0..0xC77
651,0x28B,treasure_hunting_1,unknown,649,0x289,0,main,0x0..0xC77
675,0x2A3,treasure_hunting_2,unknown,673,0x2A1,0,main,0x0..0xC77
699,0x2BB,treasure_hunting_3,unknown,697,0x2B9,0,main,0x0..0xC77
723,0x2D3,treasure_hunting_4,unknown,721,0x2D1,0,main,0x0..0xC77
747,0x2EB,treasure_hunting_5,unknown,745,0x2E9,0,main,0x0..0xC77
771,0x303,treasure_hunting_6,unknown,769,0x301,0,main,0x0..0xC77
795,0x31B,treasure_hunting_7,unknown,793,0x319,0,main,0x0..0xC77
819,0x333,treasure_hunting_8,unknown,817,0x331,0,main,0x0..0xC77
843,0x34B,treasure_hunting_final,unknown,841,0x349,0,main,0x0..0xC77
871,0x367,open_big_door,unknown,869,0x365,0,main,0x0..0xC77
890,0x37A,horse_tend_camp,unknown,888,0x378,0,main,0x0..0xC77
911,0x38F,horse_stay,unknown,909,0x38D,0,main,0x0..0xC77
927,0x39F,fake_horseshoe,unknown,925,0x39D,0,main,0x0..0xC77
947,0x3B3,get_ransom_note,unknown,945,0x3B1,0,main,0x0..0xC77
968,0x3C8,skin_animal,event/task name,966,0x3C6,0,main,0x0..0xC77
985,0x3D9,pickup_tnt,unknown,983,0x3D7,0,main,0x0..0xC77
1474,0x5C2,HAS_GLOBAL_TU2,unknown,1472,0x5C0,0,main,0x0..0xC77
1506,0x5E2,Achievements are ready... checking if we're viral.,debug/display text,1504,0x5E0,0,main,0x0..0xC77
1584,0x630,"Yep, we have the viral achievement (Red Dead Rockstar)",debug/display text,1582,0x62E,0,main,0x0..0xC77
1666,0x682,"Yep, we have the viral achievement (Red Dead Rockstar)",debug/display text,1664,0x680,0,main,0x0..0xC77
1774,0x6EE,MPDollars,unknown,1772,0x6EC,0,main,0x0..0xC77
1798,0x706,MPBalance2,unknown,1796,0x704,0,main,0x0..0xC77
1811,0x713,MPBalance,unknown,1809,0x711,0,main,0x0..0xC77
1832,0x728,MPBalance2,unknown,1830,0x726,0,main,0x0..0xC77
1845,0x735,,unknown,1843,0x733,0,main,0x0..0xC77
1891,0x763,bearWilderness,unknown,1889,0x761,0,main,0x0..0xC77
1944,0x798,$/content/Multiplayer/Action_Areas/Wilderness/bearWildernessAA,event/task name,1942,0x796,0,main,0x0..0xC77
2021,0x7E5,boarWilderness,unknown,2019,0x7E3,0,main,0x0..0xC77
2074,0x81A,$/content/Multiplayer/Action_Areas/Wilderness/boarWildernessAA,event/task name,2072,0x818,0,main,0x0..0xC77
2151,0x867,cougarWilderness,unknown,2149,0x865,0,main,0x0..0xC77
2206,0x89E,$/content/Multiplayer/Action_Areas/Wilderness/cougarWildernessAA,event/task name,2204,0x89C,0,main,0x0..0xC77
2285,0x8ED,wolfWilderness,unknown,2283,0x8EB,0,main,0x0..0xC77
2338,0x922,$/content/Multiplayer/Action_Areas/Wilderness/wolfWildernessAA,event/task name,2336,0x920,0,main,0x0..0xC77
