index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
632,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_sleepgringo.sco,zombiepack_sleepgringo.sco,.sco,17560784,10740,10740,False,False,
633,file,root/content/release64/dlc/zombiepack/gringos/scripts/blunderbussammokit.wsc,blunderbussammokit.wsc,.wsc,3899392,7005,20480,True,False,2
634,file,root/content/release64/dlc/zombiepack/gringos/scripts/dlc_find_blunderbuss.wsc,dlc_find_blunderbuss.wsc,.wsc,3917824,8636,20480,True,False,2
635,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiebaitkit.wsc,zombiebaitkit.wsc,.wsc,3973120,6936,20480,True,False,2
636,file,root/content/release64/dlc/zombiepack/gringos/scripts/mp_coffinpick.wsc,mp_coffinpick.wsc,.wsc,3954688,8280,20480,True,False,2
637,file,root/content/release64/dlc/zombiepack/gringos/scripts/mp_coffinpick.sco,mp_coffinpick.sco,.sco,17501504,8465,8465,False,False,
638,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombie_camp02_gringo.sco,zombie_camp02_gringo.sco,.sco,17590672,14748,14748,False,False,
639,file,root/content/release64/dlc/zombiepack/gringos/scripts/dlc_eating_multi.wsc,dlc_eating_multi.wsc,.wsc,3907584,8895,20480,True,False,2
640,file,root/content/release64/dlc/zombiepack/gringos/scripts/phosphorous.sco,phosphorous.sco,.sco,17509976,7118,7118,False,False,
641,file,root/content/release64/dlc/zombiepack/gringos/scripts/dlc_find_blunderbuss.sco,dlc_find_blunderbuss.sco,.sco,17469312,8837,8837,False,False,
642,file,root/content/release64/dlc/zombiepack/gringos/scripts/dlc_eating_multi.sco,dlc_eating_multi.sco,.sco,17460216,9091,9091,False,False,
643,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_lootzombie.wsc,zombiepack_lootzombie.wsc,.wsc,4003840,15178,36864,True,False,2
644,file,root/content/release64/dlc/zombiepack/gringos/scripts/missingpersonsposter.wsc,missingpersonsposter.wsc,.wsc,3946496,6989,20480,True,False,2
645,file,root/content/release64/dlc/zombiepack/gringos/scripts/holy_relic.sco,holy_relic.sco,.sco,17487440,6843,6843,False,False,
646,file,root/content/release64/dlc/zombiepack/gringos/scripts/dlc_player_burn_coffin.wsc,dlc_player_burn_coffin.wsc,.wsc,3928064,9083,20480,True,False,2
647,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_treasure.wsc,zombiepack_treasure.wsc,.wsc,4032512,18327,53248,True,False,2
648,file,root/content/release64/dlc/zombiepack/gringos/scripts/blunderbussammokit.sco,blunderbussammokit.sco,.sco,17453048,7167,7167,False,False,
649,file,root/content/release64/dlc/zombiepack/gringos/scripts/missingpersonsposter.sco,missingpersonsposter.sco,.sco,17494288,7212,7212,False,False,
650,file,root/content/release64/dlc/zombiepack/gringos/scripts/dlc_player_burn_coffin.sco,dlc_player_burn_coffin.sco,.sco,17478152,9286,9286,False,False,
651,file,root/content/release64/dlc/zombiepack/gringos/scripts/phosphorous.wsc,phosphorous.wsc,.wsc,3964928,6954,20480,True,False,2
652,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiebaitkit.sco,zombiebaitkit.sco,.sco,17517096,7101,7101,False,False,
653,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombieboomkit.sco,zombieboomkit.sco,.sco,17524200,6606,6606,False,False,
654,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_footlocker.wsc,zombiepack_footlocker.wsc,.wsc,3989504,13457,36864,True,False,2
655,file,root/content/release64/dlc/zombiepack/gringos/scripts/holy_relic.wsc,holy_relic.wsc,.wsc,3938304,6702,20480,True,False,2
656,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_treasure.sco,zombiepack_treasure.sco,.sco,17571528,19138,19138,False,False,
657,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_lootzombie.sco,zombiepack_lootzombie.sco,.sco,17544840,15936,15936,False,False,
658,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombie_camp03_gringo.wsc,zombie_camp03_gringo.wsc,.wsc,4065280,13026,36864,True,False,2
659,file,root/content/release64/dlc/zombiepack/gringos/scripts/zombiepack_footlocker.sco,zombiepack_footlocker.sco,.sco,17530808,14031,14031,False,False,
660,dir,root/content/release64/dlc/zombiepack/missions/zombie03,zombie03,,,,,,,
661,dir,root/content/release64/dlc/zombiepack/missions/zombie02,zombie02,,,,,,,
662,dir,root/content/release64/dlc/zombiepack/missions/zombie04,zombie04,,,,,,,
663,dir,root/content/release64/dlc/zombiepack/missions/zombie01,zombie01,,,,,,,
664,file,root/content/release64/dlc/zombiepack/missions/zombie03/zombie03.wsc,zombie03.wsc,.wsc,4763648,53835,143360,True,False,2
665,file,root/content/release64/dlc/zombiepack/missions/zombie03/zombie03.sco,zombie03.sco,.sco,18298928,59042,59042,False,False,
666,file,root/content/release64/dlc/zombiepack/missions/zombie02/zombie02.sco,zombie02.sco,.sco,18232456,66465,66465,False,False,
667,file,root/content/release64/dlc/zombiepack/missions/zombie02/zombie02.wsc,zombie02.wsc,.wsc,4702208,59831,159744,True,False,2
668,file,root/content/release64/dlc/zombiepack/missions/zombie04/zombie04.sco,zombie04.sco,.sco,18357976,34225,34225,False,False,
669,file,root/content/release64/dlc/zombiepack/missions/zombie04/zombie04.wsc,zombie04.wsc,.wsc,4818944,32555,77824,True,False,2
670,file,root/content/release64/dlc/zombiepack/missions/zombie01/zombie01.sco,zombie01.sco,.sco,18184120,48333,48333,False,False,
671,file,root/content/release64/dlc/zombiepack/missions/zombie01/zombie01.wsc,zombie01.wsc,.wsc,4655104,45185,114688,True,False,2
672,dir,root/content/release64/dlc/zombiepack/frontier/cholla_springs,cholla_springs,,,,,,,
673,dir,root/content/release64/dlc/zombiepack/frontier/rio_bravo,rio_bravo,,,,,,,
674,dir,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge,gaptooth_ridge,,,,,,,
675,dir,root/content/release64/dlc/zombiepack/frontier/hennigans_stead,hennigans_stead,,,,,,,
676,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/chollasprings_z.sco,chollasprings_z.sco,.sco,16849232,25098,25098,False,False,
677,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/chollasprings_z.wsc,chollasprings_z.wsc,.wsc,3317760,22927,77824,True,False,2
678,dir,root/content/release64/dlc/zombiepack/frontier/cholla_springs/odd_fellows_rest,odd_fellows_rest,,,,,,,
679,dir,root/content/release64/dlc/zombiepack/frontier/cholla_springs/coots_chapel,coots_chapel,,,,,,,
680,dir,root/content/release64/dlc/zombiepack/frontier/cholla_springs/ridgewood_farm,ridgewood_farm,,,,,,,
681,dir,root/content/release64/dlc/zombiepack/frontier/cholla_springs/armadillo,armadillo,,,,,,,
682,dir,root/content/release64/dlc/zombiepack/frontier/cholla_springs/twin_rocks,twin_rocks,,,,,,,
683,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/odd_fellows_rest/oddfellowsrest_z.sco,oddfellowsrest_z.sco,.sco,16956240,42265,42265,False,False,
684,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/odd_fellows_rest/oddfellowsrest_z.wsc,oddfellowsrest_z.wsc,.wsc,3420160,39104,102400,True,False,2
685,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/coots_chapel/cootschapel_z.sco,cootschapel_z.sco,.sco,16910808,45430,45430,False,False,
686,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/coots_chapel/cootschapel_z.wsc,cootschapel_z.wsc,.wsc,3377152,41986,106496,True,False,2
687,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/ridgewood_farm/ridgewoodfarm_z.sco,ridgewoodfarm_z.sco,.sco,16998512,30788,30788,False,False,
688,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/ridgewood_farm/ridgewoodfarm_z.wsc,ridgewoodfarm_z.wsc,.wsc,3461120,28861,73728,True,False,2
689,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/armadillo/armadillo_z.wsc,armadillo_z.wsc,.wsc,3342336,33811,94208,True,False,2
690,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/armadillo/armadillo_z.sco,armadillo_z.sco,.sco,16874336,36469,36469,False,False,
691,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/twin_rocks/twinrocks_z.sco,twinrocks_z.sco,.sco,17029304,28334,28334,False,False,
692,file,root/content/release64/dlc/zombiepack/frontier/cholla_springs/twin_rocks/twinrocks_z.wsc,twinrocks_z.wsc,.wsc,3491840,26676,69632,True,False,2
693,dir,root/content/release64/dlc/zombiepack/frontier/rio_bravo/fort_mercer,fort_mercer,,,,,,,
694,file,root/content/release64/dlc/zombiepack/frontier/rio_bravo/riobravo_z.sco,riobravo_z.sco,.sco,17371488,16377,16377,False,False,
695,file,root/content/release64/dlc/zombiepack/frontier/rio_bravo/riobravo_z.wsc,riobravo_z.wsc,.wsc,3819520,15182,53248,True,False,2
696,dir,root/content/release64/dlc/zombiepack/frontier/rio_bravo/plainview,plainview,,,,,,,
697,file,root/content/release64/dlc/zombiepack/frontier/rio_bravo/fort_mercer/fortmercer_z.wsc,fortmercer_z.wsc,.wsc,3835904,32952,94208,True,False,2
698,file,root/content/release64/dlc/zombiepack/frontier/rio_bravo/fort_mercer/fortmercer_z.sco,fortmercer_z.sco,.sco,17387872,35749,35749,False,False,
699,file,root/content/release64/dlc/zombiepack/frontier/rio_bravo/plainview/plainview_z.sco,plainview_z.sco,.sco,17423624,29421,29421,False,False,
700,file,root/content/release64/dlc/zombiepack/frontier/rio_bravo/plainview/plainview_z.wsc,plainview_z.wsc,.wsc,3870720,27604,69632,True,False,2
701,dir,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/rathskeller_fork,rathskeller_fork,,,,,,,
702,dir,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/benedict_point,benedict_point,,,,,,,
703,dir,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/solomons_folly,solomons_folly,,,,,,,
704,dir,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/gaptooth_breach,gaptooth_breach,,,,,,,
705,dir,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/tumbleweed,tumbleweed,,,,,,,
706,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/gaptoothridge_z.sco,gaptoothridge_z.sco,.sco,17057640,17031,17031,False,False,
707,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/gaptoothridge_z.wsc,gaptoothridge_z.wsc,.wsc,3520512,15752,53248,True,False,2
708,file,root/content/release64/dlc/zombiepack/frontier/gaptooth_ridge/rathskeller_fork/rathskellerfork_z.sco,rathskellerfork_z.sco,.sco,17134656,30639,30639,False,False,
