offset,offset_hex,opcode,width,value,actor_kind,operand_hex
81036,0x13C8C,37,1,22,eActorEnum_candidate,16
81059,0x13CA3,37,1,25,eActorEnum_candidate,19
81082,0x13CBA,37,1,26,eActorEnum_candidate,1A
81105,0x13CD1,37,1,27,eActorEnum_candidate,1B
81128,0x13CE8,37,1,31,eActorEnum_candidate,1F
81151,0x13CFF,37,1,32,eActorEnum_candidate,20
81174,0x13D16,37,1,33,eActorEnum_candidate,21
81197,0x13D2D,37,1,34,eActorEnum_candidate,22
81220,0x13D44,37,1,35,eActorEnum_candidate,23
81243,0x13D5B,37,1,36,eActorEnum_candidate,24
81266,0x13D72,37,1,37,eActorEnum_candidate,25
81289,0x13D89,37,1,38,eActorEnum_candidate,26
81312,0x13DA0,37,1,39,eActorEnum_candidate,27
81335,0x13DB7,37,1,40,eActorEnum_candidate,28
81358,0x13DCE,37,1,41,eActorEnum_candidate,29
81381,0x13DE5,37,1,42,eActorEnum_candidate,2A
81404,0x13DFC,37,1,43,eActorEnum_candidate,2B
81427,0x13E13,37,1,44,eActorEnum_candidate,2C
81450,0x13E2A,37,1,45,eActorEnum_candidate,2D
81473,0x13E41,37,1,46,eActorEnum_candidate,2E
81496,0x13E58,37,1,47,eActorEnum_candidate,2F
81519,0x13E6F,37,1,48,eActorEnum_candidate,30
81542,0x13E86,37,1,49,eActorEnum_candidate,31
81563,0x13E9B,37,1,50,eActorEnum_candidate,32
81584,0x13EB0,37,1,51,eActorEnum_candidate,33
81605,0x13EC5,37,1,52,eActorEnum_candidate,34
81626,0x13EDA,37,1,54,eActorEnum_candidate,36
81647,0x13EEF,37,1,55,eActorEnum_candidate,37
81670,0x13F06,37,1,56,eActorEnum_candidate,38
81693,0x13F1D,37,1,57,eActorEnum_candidate,39
81716,0x13F34,37,1,58,eActorEnum_candidate,3A
81734,0x13F46,37,1,59,eActorEnum_candidate,3B
81754,0x13F5A,37,1,60,eActorEnum_candidate,3C
81774,0x13F6E,37,1,62,eActorEnum_candidate,3E
81794,0x13F82,37,1,61,eActorEnum_candidate,3D
81814,0x13F96,37,1,63,eActorEnum_candidate,3F
81834,0x13FAA,37,1,64,eActorEnum_candidate,40
81854,0x13FBE,37,1,65,eActorEnum_candidate,41
81874,0x13FD2,37,1,66,eActorEnum_candidate,42
81895,0x13FE7,37,1,67,eActorEnum_candidate,43
81916,0x13FFC,37,1,68,eActorEnum_candidate,44
81940,0x14014,37,1,69,eActorEnum_candidate,45
81960,0x14028,37,1,70,eActorEnum_candidate,46
81981,0x1403D,37,1,71,eActorEnum_candidate,47
82002,0x14052,37,1,72,eActorEnum_candidate,48
82024,0x14068,37,1,73,eActorEnum_candidate,49
82044,0x1407C,37,1,74,eActorEnum_candidate,4A
82065,0x14091,37,1,75,eActorEnum_candidate,4B
82086,0x140A6,37,1,76,eActorEnum_candidate,4C
82108,0x140BC,37,1,77,eActorEnum_candidate,4D
82131,0x140D3,37,1,78,eActorEnum_candidate,4E
82154,0x140EA,37,1,79,eActorEnum_candidate,4F
82177,0x14101,37,1,80,eActorEnum_candidate,50
82200,0x14118,37,1,81,eActorEnum_candidate,51
82223,0x1412F,37,1,82,eActorEnum_candidate,52
82246,0x14146,37,1,83,eActorEnum_candidate,53
82269,0x1415D,37,1,84,eActorEnum_candidate,54
82292,0x14174,37,1,85,eActorEnum_candidate,55
82315,0x1418B,37,1,86,eActorEnum_candidate,56
82337,0x141A1,37,1,87,eActorEnum_candidate,57
82359,0x141B7,37,1,88,eActorEnum_candidate,58
82382,0x141CE,37,1,89,eActorEnum_candidate,59
82405,0x141E5,37,1,90,eActorEnum_candidate,5A
82428,0x141FC,37,1,91,eActorEnum_candidate,5B
82451,0x14213,37,1,92,eActorEnum_candidate,5C
82474,0x1422A,37,1,93,eActorEnum_candidate,5D
82497,0x14241,37,1,94,eActorEnum_candidate,5E
82520,0x14258,37,1,95,eActorEnum_candidate,5F
82543,0x1426F,37,1,96,eActorEnum_candidate,60
82566,0x14286,37,1,97,eActorEnum_candidate,61
82589,0x1429D,37,1,98,eActorEnum_candidate,62
82612,0x142B4,37,1,99,eActorEnum_candidate,63
82635,0x142CB,37,1,100,eActorEnum_candidate,64
82657,0x142E1,37,1,101,eActorEnum_candidate,65
82679,0x142F7,37,1,102,eActorEnum_candidate,66
82702,0x1430E,37,1,103,eActorEnum_candidate,67
82725,0x14325,37,1,104,eActorEnum_candidate,68
82748,0x1433C,37,1,105,eActorEnum_candidate,69
82771,0x14353,37,1,106,eActorEnum_candidate,6A
82794,0x1436A,37,1,107,eActorEnum_candidate,6B
82817,0x14381,37,1,108,eActorEnum_candidate,6C
82840,0x14398,37,1,109,eActorEnum_candidate,6D
82863,0x143AF,37,1,110,eActorEnum_candidate,6E
82886,0x143C6,37,1,111,eActorEnum_candidate,6F
82909,0x143DD,37,1,112,eActorEnum_candidate,70
82932,0x143F4,37,1,113,eActorEnum_candidate,71
82955,0x1440B,37,1,114,eActorEnum_candidate,72
82977,0x14421,37,1,115,eActorEnum_candidate,73
82999,0x14437,37,1,116,eActorEnum_candidate,74
83022,0x1444E,37,1,117,eActorEnum_candidate,75
83045,0x14465,37,1,118,eActorEnum_candidate,76
83068,0x1447C,37,1,119,eActorEnum_candidate,77
