function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
68,Function_68,7114,0x1BCA,7139,0x1BE3,25,0,0,0,4,0,[]
69,Function_69,7139,0x1BE3,7151,0x1BEF,12,0,0,0,0,0,[]
70,Function_70,7151,0x1BEF,7160,0x1BF8,9,0,1,0,0,0,[]
71,Function_71,7160,0x1BF8,7179,0x1C0B,19,0,0,0,0,0,[]
72,Function_72,7179,0x1C0B,7196,0x1C1C,17,0,0,0,1,0,[]
73,Function_73,7196,0x1C1C,7212,0x1C2C,16,0,0,1,0,0,[]
74,Function_74,7212,0x1C2C,11405,0x2C8D,4193,67,82,43,286,0,"['ped', 'wanted']"
75,Function_75,11405,0x2C8D,11419,0x2C9B,14,0,0,0,1,0,[]
76,Function_76,11419,0x2C9B,11439,0x2CAF,20,0,1,0,2,0,[]
77,Function_77,11439,0x2CAF,11468,0x2CCC,29,0,0,0,2,0,[]
78,Function_78,11468,0x2CCC,11481,0x2CD9,13,0,0,0,2,0,[]
79,Function_79,11481,0x2CD9,11490,0x2CE2,9,0,1,0,0,0,[]
80,Function_80,11490,0x2CE2,11528,0x2D08,38,2,2,0,0,0,[]
81,Function_81,11528,0x2D08,11548,0x2D1C,20,1,1,0,0,0,[]
82,Function_82,11548,0x2D1C,11667,0x2D93,119,0,3,7,16,0,[]
83,Function_83,11667,0x2D93,11875,0x2E63,208,2,3,0,7,0,[]
84,Function_84,11875,0x2E63,11896,0x2E78,21,0,0,0,3,0,[]
85,Function_85,11896,0x2E78,12025,0x2EF9,129,2,2,0,6,0,[]
86,Function_86,12025,0x2EF9,12818,0x3212,793,29,0,0,29,0,"['actor', 'wanted', 'law']"
87,Function_87,12818,0x3212,12979,0x32B3,161,2,2,1,2,0,[]
88,Function_88,12979,0x32B3,13000,0x32C8,21,0,0,1,0,0,[]
89,Function_89,13000,0x32C8,13193,0x3389,193,6,6,7,7,0,[]
90,Function_90,13193,0x3389,13393,0x3451,200,2,3,0,7,0,[]
91,Function_91,13393,0x3451,13406,0x345E,13,0,0,0,1,0,[]
92,Function_92,13406,0x345E,13825,0x3601,419,4,13,2,23,0,[]
93,Function_93,13825,0x3601,13943,0x3677,118,2,5,1,0,0,[]
94,Function_94,13943,0x3677,14266,0x37BA,323,6,7,2,20,0,[]
95,Function_95,14266,0x37BA,14293,0x37D5,27,2,0,0,1,0,[]
96,Function_96,14293,0x37D5,14330,0x37FA,37,0,1,0,4,0,[]
97,Function_97,14330,0x37FA,14340,0x3804,10,0,0,0,0,0,[]
98,Function_98,14340,0x3804,14391,0x3837,51,0,2,1,4,0,[]
99,Function_99,14391,0x3837,14413,0x384D,22,0,1,0,2,0,[]
100,Function_100,14413,0x384D,15591,0x3CE7,1178,18,27,2,32,0,[]
101,Function_101,15591,0x3CE7,15610,0x3CFA,19,0,0,0,1,0,[]
102,Function_102,15610,0x3CFA,15715,0x3D63,105,1,2,0,4,0,[]
103,Function_103,15715,0x3D63,15727,0x3D6F,12,0,0,0,1,0,[]
104,Function_104,15727,0x3D6F,15754,0x3D8A,27,0,0,0,4,0,[]
105,Function_105,15754,0x3D8A,15767,0x3D97,13,0,0,0,1,0,[]
106,Function_106,15767,0x3D97,15874,0x3E02,107,0,3,2,13,0,[]
107,Function_107,15874,0x3E02,16006,0x3E86,132,3,7,0,3,0,['actor']
108,Function_108,16006,0x3E86,16080,0x3ED0,74,0,0,0,6,0,[]
109,Function_109,16080,0x3ED0,16128,0x3F00,48,0,0,1,7,0,[]
110,Function_110,16128,0x3F00,16171,0x3F2B,43,0,0,0,7,0,[]
111,Function_111,16171,0x3F2B,16237,0x3F6D,66,0,1,0,1,0,[]
112,Function_112,16237,0x3F6D,16783,0x418F,546,17,0,0,2,0,[]
113,Function_113,16783,0x418F,16873,0x41E9,90,2,1,0,4,0,[]
114,Function_114,16873,0x41E9,16906,0x420A,33,0,2,1,1,0,[]
115,Function_115,16906,0x420A,16926,0x421E,20,1,1,0,1,0,[]
116,Function_116,16926,0x421E,16951,0x4237,25,0,0,1,0,0,[]
117,Function_117,16951,0x4237,17184,0x4320,233,6,4,1,7,0,[]
118,Function_118,17184,0x4320,17205,0x4335,21,0,2,0,0,0,[]
119,Function_119,17205,0x4335,17338,0x43BA,133,0,4,4,5,0,[]
120,Function_120,17338,0x43BA,17401,0x43F9,63,3,0,0,3,0,[]
121,Function_121,17401,0x43F9,17428,0x4414,27,0,1,1,2,0,[]
122,Function_122,17428,0x4414,17539,0x4483,111,1,6,1,2,0,[]
123,Function_123,17539,0x4483,17854,0x45BE,315,0,9,1,18,0,[]
124,Function_124,17854,0x45BE,17983,0x463F,129,0,7,8,5,0,[]
125,Function_125,17983,0x463F,18004,0x4654,21,0,0,0,0,0,[]
126,Function_126,18004,0x4654,18694,0x4906,690,20,9,1,26,0,[]
127,Function_127,18694,0x4906,19113,0x4AA9,419,16,12,1,16,0,[]
128,Function_128,19113,0x4AA9,19126,0x4AB6,13,0,1,0,0,0,[]
129,Function_129,19126,0x4AB6,19162,0x4ADA,36,0,1,0,2,0,[]
130,Function_130,19162,0x4ADA,20525,0x502D,1363,64,0,0,1,0,[]
131,Function_131,20525,0x502D,20734,0x50FE,209,2,3,0,7,0,[]
132,Function_132,20734,0x50FE,20748,0x510C,14,0,1,0,1,0,[]
133,Function_133,20748,0x510C,20800,0x5140,52,0,5,0,5,0,[]
134,Function_134,20800,0x5140,20889,0x5199,89,0,10,0,3,0,[]
135,Function_135,20889,0x5199,20897,0x51A1,8,0,0,0,0,0,[]
136,Function_136,20897,0x51A1,20929,0x51C1,32,0,0,0,1,0,[]
137,Function_137,20929,0x51C1,21170,0x52B2,241,5,10,1,2,0,[]
138,Function_138,21170,0x52B2,21184,0x52C0,14,0,0,0,0,0,[]
139,Function_139,21184,0x52C0,21379,0x5383,195,1,3,9,22,0,[]
140,Function_140,21379,0x5383,21407,0x539F,28,0,1,0,1,0,[]
141,Function_141,21407,0x539F,21624,0x5478,217,11,0,0,1,0,[]
142,Function_142,21624,0x5478,21747,0x54F3,123,0,2,4,4,0,[]
143,Function_143,21747,0x54F3,21915,0x559B,168,2,3,0,17,0,[]
144,Function_144,21915,0x559B,24719,0x608F,2804,43,84,0,1,0,['spawn']
145,Function_145,24719,0x608F,24792,0x60D8,73,0,0,0,8,0,[]
146,Function_146,24792,0x60D8,26878,0x68FE,2086,32,62,0,1,0,['spawn']
147,Function_147,26878,0x68FE,28362,0x6ECA,1484,23,44,0,1,0,['spawn']
148,Function_148,28362,0x6ECA,29318,0x7286,956,15,28,0,1,0,['spawn']
149,Function_149,29318,0x7286,33249,0x81E1,3931,60,118,0,1,0,['spawn']
150,Function_150,33249,0x81E1,35338,0x8A0A,2089,32,62,0,1,0,['spawn']
151,Function_151,35338,0x8A0A,38076,0x94BC,2738,42,82,0,1,0,['spawn']
