category,archive,entry_index,hash_name,hash_value,guessed_name,entry_path,offset,stored_size,total_size,resource,resource_type,compressed,decode_status,decoded_size,raw_sha1,decoded_sha1,reference_path,reference_sha1,raw_sha1_matches_reference,decoded_sha1_matches_reference
camera,camera.rpf,773,0xAFE12826,0xAFE12826,mountwagondriver.txt,root/0x25584DB6/0xE3D8C737/0xAFE12826,1235240,1005,3719,False,,True,zstd_decoded,3719,9b09f70307df9c46da72a6d8b8de6beb4c408969,ccccd30305270c1b211076bb5946fe6dc896b243,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\camera\cutscenesfinal\mountwagondriver.txt,ccccd30305270c1b211076bb5946fe6dc896b243,False,True
camera,camera.rpf,782,0xFD196690,0xFD196690,mountwagonshotgun.txt,root/0x25584DB6/0xE3D8C737/0xFD196690,1236248,1004,3719,False,,True,zstd_decoded,3719,64dbedae812cce26cc87697ca2e10d4dc851f311,c6a195093b281d5aefb3fe879a24614d54af3b30,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\camera\cutscenesfinal\mountwagonshotgun.txt,c6a195093b281d5aefb3fe879a24614d54af3b30,False,True
camera,camera.rpf,769,0x9BF55AE7,0x9BF55AE7,wagongatlingvehenter.txt,root/0x25584DB6/0xE3D8C737/0x9BF55AE7,1240112,658,1367,False,,True,zstd_decoded,1367,4129dfd0478534a564cf6127c07814f71decc818,b9a0007891b4077ab59bda8c603f978ee0aa9ec6,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\camera\cutscenesfinal\wagongatlingvehenter.txt,b9a0007891b4077ab59bda8c603f978ee0aa9ec6,False,True
fragments_models,fragments.rpf,8149,car01x.wft,0xD2FC0A84,car01x.wft,root/fragments/car01x.wft,941993984,158430,49152,True,138,True,compressed_resource_not_decoded,,877ab4a8bb56e62262422eeead6142454d69ec7a,,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\fragments\car01x.wft,877ab4a8bb56e62262422eeead6142454d69ec7a,True,
fragments_models,fragments.rpf,1048,truck01x.wft,0x1B0D6F2D,truck01x.wft,root/fragments/truck01x.wft,1978583040,166575,57344,True,138,True,compressed_resource_not_decoded,,c28665868c81fa598d5f56d84ef3cb2905351666,,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\fragments\truck01x.wft,c28665868c81fa598d5f56d84ef3cb2905351666,True,
input_profiles,tune_d11generic.rpf,1250,0x7C56CD34,0x7C56CD34,input_car.xml,root/0xA562A52D/0x6F0783F5/0x7C56CD34,2987664,474,1869,False,,True,zstd_decoded_with_toc_size,1869,c44960f2dc58082978aa536dd510844943a76b7c,5e8cfab37f220d59c857e20a07194194999f9b6c,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\Mods\Game - Driveable vehicles +\tune\player\input_car.xml,5e8cfab37f220d59c857e20a07194194999f9b6c,False,True
locsets,tune_d11generic.rpf,1898,0xA1E01A00,0xA1E01A00,locset_car01.xml,root/0xA562A52D/0xDD245B9C/0x0C450B86/0xA1E01A00,4626584,676,8580,False,,True,zstd_decoded_with_toc_size,8580,123610bca5bd2d7b545135b993b44d50797f4112,a575b362bb3ce15f9d09ee521cca406e4fb67769,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\locset_car01.xml,56f910a3688254c7b377ba16e3dd76145a366b25,False,False
locsets,tune_d11generic.rpf,1901,0xBC06237D,0xBC06237D,locset_truck01.xml,root/0xA562A52D/0xDD245B9C/0x0C450B86/0xBC06237D,4632712,625,5386,False,,True,zstd_decoded_with_toc_size,5386,f4f522d1f395a2de9cb18084dc936bbd0b0a2be2,0a3b33fbac12f16d80b5f14e4d40c30c0bbea563,D:\Games\Red Dead Redemption\Code_RED\related_apps\CodeRED_Tuner\stock_vehicle_files\locset_truck01.xml,d24033152aba2459bcdaccb7c0d24ed93fc3067c,False,False
materials,tune_d11generic.rpf,1136,0xE4A3EE53,0xE4A3EE53,veh_car_body_metal.mtl,root/0xA562A52D/0x3F87D01A/0xE4A3EE53,2980288,203,262,False,,True,zstd_decoded,262,8179a1cce356586f0989356c0b4e13777eb2cb45,77840cbed0e4cce531e9293c775850391185db9f,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\materials\veh_car_body_metal.mtl,b7510a4e753bed01043572df299fc02b36e889ff,False,False
materials,tune_d11generic.rpf,1159,0xFB0C91CF,0xFB0C91CF,veh_car_wheel_rubber.mtl,root/0xA562A52D/0x3F87D01A/0xFB0C91CF,2980496,316,475,False,,True,zstd_decoded,475,e2ed15a5c77ad6976ef65d96e78d1c2f61ad7f5e,6ec3901322593b98db2b3d147fb05066cf9e48a5,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\tune\materials\veh_car_wheel_rubber.mtl,6ec3901322593b98db2b3d147fb05066cf9e48a5,False,True
