archive,archive_path,entry_path,name,extension,layer,size,offset,is_resource,resource_type,base_name,name_hash
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11c022c0_bnd.wtb,11c022c0_bnd.wtb,.wtb,terrain_bounds_wtb,35165,125716480,True,36,11c022c0_bnd,0x05BF4391
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11002580_bnd.wtb,11002580_bnd.wtb,.wtb,terrain_bounds_wtb,26067,119914496,True,36,11002580_bnd,0x7957AA35
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0a402140_bnd.wtb,0a402140_bnd.wtb,.wtb,terrain_bounds_wtb,88288,58132480,True,36,0a402140_bnd,0x7762ECBD
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11c02540_bnd.wtb,11c02540_bnd.wtb,.wtb,terrain_bounds_wtb,12340,126011392,True,36,11c02540_bnd,0xD742D9FB
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/04802880_bnd.wtb,04802880_bnd.wtb,.wtb,terrain_bounds_wtb,16830,1464320,True,36,04802880_bnd,0x69251233
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/09002680_bnd.wtb,09002680_bnd.wtb,.wtb,terrain_bounds_wtb,17879,46790656,True,36,09002680_bnd,0xB35D0229
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12c01c80_bnd.wtb,12c01c80_bnd.wtb,.wtb,terrain_bounds_wtb,10301,135165952,True,36,12c01c80_bnd,0xF9BF8097
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/13002240_bnd.wtb,13002240_bnd.wtb,.wtb,terrain_bounds_wtb,36426,139638784,True,36,13002240_bnd,0xBEFF3623
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/06c02700_bnd.wtb,06c02700_bnd.wtb,.wtb,terrain_bounds_wtb,7398,22736896,True,36,06c02700_bnd,0x5B7C09AF
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0bc02300_bnd.wtb,0bc02300_bnd.wtb,.wtb,terrain_bounds_wtb,67808,71319552,True,36,0bc02300_bnd,0x64C0E66D
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/04002380_bnd.wtb,04002380_bnd.wtb,.wtb,terrain_bounds_wtb,10418,169984,True,36,04002380_bnd,0xC61062BD
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0f801ec0_bnd.wtb,0f801ec0_bnd.wtb,.wtb,terrain_bounds_wtb,36532,105654272,True,36,0f801ec0_bnd,0xF011C3CF
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15c02a80_bnd.wtb,15c02a80_bnd.wtb,.wtb,terrain_bounds_wtb,9173,174292992,True,36,15c02a80_bnd,0x61A96226
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0ec02340_bnd.wtb,0ec02340_bnd.wtb,.wtb,terrain_bounds_wtb,38080,99254272,True,36,0ec02340_bnd,0xDDCAF1C9
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18401d40_bnd.wtb,18401d40_bnd.wtb,.wtb,terrain_bounds_wtb,29297,196556800,True,36,18401d40_bnd,0x59FEC179
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/13c02240_bnd.wtb,13c02240_bnd.wtb,.wtb,terrain_bounds_wtb,61952,147765248,True,36,13c02240_bnd,0x2D514B9A
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15401bc0_bnd.wtb,15401bc0_bnd.wtb,.wtb,terrain_bounds_wtb,20570,165470208,True,36,15401bc0_bnd,0x64F9A166
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18401c40_bnd.wtb,18401c40_bnd.wtb,.wtb,terrain_bounds_wtb,45912,196399104,True,36,18401c40_bnd,0x835FAC0C
