string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
19,0x13,noMPFlash,unknown,17,0x11,0,main,0x0..0x1E5
98,0x62,MultSysThread,unknown,96,0x60,0,main,0x0..0x1E5
308,0x134,Slot,unknown,306,0x132,0,main,0x0..0x1E5
441,0x1B9,top,unknown,439,0x1B7,0,main,0x0..0x1E5
462,0x1CE,MPReward,unknown,460,0x1CC,0,main,0x0..0x1E5
586,0x24A,MP_Ticker,unknown,584,0x248,4,Function_4,0x230..0x339
601,0x259,Reticle,unknown,599,0x257,4,Function_4,0x230..0x339
614,0x266,WeaponAmmo,unknown,612,0x264,4,Function_4,0x230..0x339
630,0x276,Reticle,unknown,628,0x274,4,Function_4,0x230..0x339
643,0x283,WeaponAmmo,unknown,641,0x281,4,Function_4,0x230..0x339
678,0x2A6,Splash_Message,unknown,676,0x2A4,4,Function_4,0x230..0x339
698,0x2BA,Splash_Objective,unknown,696,0x2B8,4,Function_4,0x230..0x339
720,0x2D0,Subtitle_Enabler,likely logic anchor,718,0x2CE,4,Function_4,0x230..0x339
750,0x2EE,Splash_Message,unknown,748,0x2EC,4,Function_4,0x230..0x339
778,0x30A,Splash_Objective,unknown,776,0x308,4,Function_4,0x230..0x339
800,0x320,Subtitle_Enabler,likely logic anchor,798,0x31E,4,Function_4,0x230..0x339
849,0x351,MPReward,unknown,847,0x34F,6,Function_6,0x34A..0x36B
1580,0x62C,miss,unknown,1578,0x62A,15,Function_15,0x61E..0x65D
1594,0x63A,ziss,unknown,1592,0x638,15,Function_15,0x61E..0x65D
1611,0x64B,_short,unknown,1609,0x649,15,Function_15,0x61E..0x65D
1748,0x6D4,MPSplash,unknown,1746,0x6D2,18,Function_18,0x686..0x6E7
2184,0x888,UseCase,unknown,2182,0x886,26,Function_26,0x7FF..0x96C
2194,0x892,ActivationRadius,unknown,2192,0x890,26,Function_26,0x7FF..0x96C
2252,0x8CC,crateMultiplayer_close,unknown,2250,0x8CA,26,Function_26,0x7FF..0x96C
2291,0x8F3,LOCKER_OPEN_QUICK_MASTER,unknown,2289,0x8F1,26,Function_26,0x7FF..0x96C
3277,0xCCD,PackedWeapon,unknown,3275,0xCCB,43,Function_43,0xCC6..0xCDB
3325,0xCFD,PackedMetadata,unknown,3323,0xCFB,46,Function_46,0xCF6..0xD0D
3348,0xD14,ResetTime,unknown,3346,0xD12,47,Function_47,0xD0D..0xD1F
3377,0xD31,gMP_OpenedPickupSet,unknown,3375,0xD2F,48,Function_48,0xD1F..0xD57
3433,0xD69,gMPScratchLayout,unknown,3431,0xD67,49,Function_49,0xD57..0xD86
3535,0xDCF,title_xplvl_0_ui,unknown,3533,0xDCD,50,Function_50,0xD86..0x10A9
3835,0xEFB,net_player_joined,unknown,3833,0xEF9,50,Function_50,0xD86..0x10A9
3995,0xF9B,NoMelee,unknown,3993,0xF99,50,Function_50,0xD86..0x10A9
4035,0xFC3,NoMelee,unknown,4033,0xFC1,50,Function_50,0xD86..0x10A9
4097,0x1001,ArmUp,unknown,4095,0xFFF,50,Function_50,0xD86..0x10A9
4114,0x1012,ArmUp,unknown,4112,0x1010,50,Function_50,0xD86..0x10A9
4154,0x103A,ArmUp,unknown,4152,0x1038,50,Function_50,0xD86..0x10A9
4320,0x10E0,UseCase,unknown,4318,0x10DE,51,Function_51,0x10A9..0x132A
4390,0x1126,mp_needs_rez,unknown,4388,0x1124,51,Function_51,0x10A9..0x132A
4430,0x114E,mp_needs_rez_big,unknown,4428,0x114C,51,Function_51,0x10A9..0x132A
4487,0x1187,MPCOOP_PLAYERDOWN,unknown,4485,0x1185,51,Function_51,0x10A9..0x132A
4514,0x11A2,UN_Narr2_Pdown,unknown,4512,0x11A0,51,Function_51,0x10A9..0x132A
4576,0x11E0,rezMe,unknown,4574,0x11DE,51,Function_51,0x10A9..0x132A
4584,0x11E8,$/content/scripting/gringo/simplegringo/mp_rezBuddy,unknown,4582,0x11E6,51,Function_51,0x10A9..0x132A
4686,0x124E,spine00,unknown,4684,0x124C,51,Function_51,0x10A9..0x132A
5022,0x139E,Tried to get genfloat from not-yet-valid slot ,debug/display text,5020,0x139C,54,Function_54,0x1380..0x13E9
5131,0x140B,,unknown,5129,0x1409,56,Function_56,0x13F9..0x1439
5159,0x1427,NARRATOR,unknown,5157,0x1425,56,Function_56,0x13F9..0x1439
5287,0x14A7,MPPlayerNameColored_0,unknown,5285,0x14A5,57,Function_57,0x1439..0x164D
5312,0x14C0,MPPlayerNameColored_1,unknown,5310,0x14BE,57,Function_57,0x1439..0x164D
5337,0x14D9,MPPlayerNameColored_2,unknown,5335,0x14D7,57,Function_57,0x1439..0x164D
5362,0x14F2,MPPlayerNameColored_3,unknown,5360,0x14F0,57,Function_57,0x1439..0x164D
5387,0x150B,MPPlayerNameColored_4,unknown,5385,0x1509,57,Function_57,0x1439..0x164D
5412,0x1524,MPPlayerNameColored_5,unknown,5410,0x1522,57,Function_57,0x1439..0x164D
5437,0x153D,MPPlayerNameColored_6,unknown,5435,0x153B,57,Function_57,0x1439..0x164D
5462,0x1556,MPPlayerNameColored_7,unknown,5460,0x1554,57,Function_57,0x1439..0x164D
5487,0x156F,MPPlayerNameColored_8,unknown,5485,0x156D,57,Function_57,0x1439..0x164D
5512,0x1588,MPPlayerNameColored_9,unknown,5510,0x1586,57,Function_57,0x1439..0x164D
5537,0x15A1,MPPlayerNameColored_10,unknown,5535,0x159F,57,Function_57,0x1439..0x164D
5563,0x15BB,MPPlayerNameColored_11,unknown,5561,0x15B9,57,Function_57,0x1439..0x164D
5589,0x15D5,MPPlayerNameColored_12,unknown,5587,0x15D3,57,Function_57,0x1439..0x164D
5615,0x15EF,MPPlayerNameColored_13,unknown,5613,0x15ED,57,Function_57,0x1439..0x164D
5641,0x1609,MPPlayerNameColored_14,unknown,5639,0x1607,57,Function_57,0x1439..0x164D
5667,0x1623,MPPlayerNameColored_15,unknown,5665,0x1621,57,Function_57,0x1439..0x164D
5693,0x163D,UNHANDLED SLOT,debug/display text,5691,0x163B,57,Function_57,0x1439..0x164D
5873,0x16F1,Tried to get title from bad slot #,debug/display text,5871,0x16EF,62,Function_62,0x16B1..0x1757
5932,0x172C,Common_Null,unknown,5930,0x172A,62,Function_62,0x16B1..0x1757
5999,0x176F,jp,unknown,5997,0x176D,64,Function_64,0x1768..0x1776
6034,0x1792,Tried to get title from bad slot #,debug/display text,6032,0x1790,65,Function_65,0x1776..0x17CD
6144,0x1800,g,unknown,6142,0x17FE,68,Function_68,0x17F9..0x180D
6214,0x1846,Tried to get bit ,debug/display text,6212,0x1844,70,Function_70,0x1826..0x18A7
6247,0x1867, bit from bad slot ,debug/display text,6245,0x1865,70,Function_70,0x1826..0x18A7
6493,0x195D,DEAD,unknown,6491,0x195B,71,Function_71,0x18A7..0x1BC0
