offset,offset_hex,opcode,width,value,actor_kind,operand_hex
57587,0xE0F3,37,1,50,eActorEnum_candidate,32
57605,0xE105,37,1,10,eActorEnum_candidate,0A
57619,0xE113,37,1,49,eActorEnum_candidate,31
57635,0xE123,37,1,49,eActorEnum_candidate,31
57654,0xE136,37,1,28,eActorEnum_candidate,1C
57670,0xE146,37,1,49,eActorEnum_candidate,31
57681,0xE151,37,1,49,eActorEnum_candidate,31
57690,0xE15A,37,1,49,eActorEnum_candidate,31
57703,0xE167,37,1,50,eActorEnum_candidate,32
57708,0xE16C,37,1,49,eActorEnum_candidate,31
57720,0xE178,37,1,100,eActorEnum_candidate,64
57724,0xE17C,38,2,25750,,64 96
57730,0xE182,65,2,3096,,0C 18
57740,0xE18C,37,1,100,eActorEnum_candidate,64
57758,0xE19E,37,1,50,eActorEnum_candidate,32
57772,0xE1AC,37,1,49,eActorEnum_candidate,31
57788,0xE1BC,37,1,49,eActorEnum_candidate,31
57807,0xE1CF,37,1,28,eActorEnum_candidate,1C
57823,0xE1DF,37,1,49,eActorEnum_candidate,31
57834,0xE1EA,37,1,49,eActorEnum_candidate,31
57843,0xE1F3,37,1,49,eActorEnum_candidate,31
57856,0xE200,37,1,100,eActorEnum_candidate,64
57861,0xE205,38,2,12694,,31 96
57867,0xE20B,65,2,3097,,0C 19
57886,0xE21E,37,1,100,eActorEnum_candidate,64
57900,0xE22C,37,1,49,eActorEnum_candidate,31
57931,0xE24B,37,1,26,eActorEnum_candidate,1A
57950,0xE25E,37,1,26,eActorEnum_candidate,1A
57989,0xE285,37,1,26,eActorEnum_candidate,1A
58000,0xE290,37,1,26,eActorEnum_candidate,1A
58009,0xE299,37,1,26,eActorEnum_candidate,1A
58030,0xE2AE,38,2,6806,,1A 96
58036,0xE2B4,65,2,3041,,0B E1
58068,0xE2D4,37,1,26,eActorEnum_candidate,1A
58129,0xE311,37,1,26,eActorEnum_candidate,1A
58154,0xE32A,37,1,25,eActorEnum_candidate,19
58188,0xE34C,37,1,25,eActorEnum_candidate,19
58199,0xE357,37,1,25,eActorEnum_candidate,19
58208,0xE360,37,1,25,eActorEnum_candidate,19
58221,0xE36D,37,1,25,eActorEnum_candidate,19
58226,0xE372,37,1,25,eActorEnum_candidate,19
58238,0xE37E,37,1,50,eActorEnum_candidate,32
58242,0xE382,38,2,25700,,64 64
58248,0xE388,65,2,3039,,0B DF
