source,relative_path,source_size,source_sha1,output,output_relative_path,status,error,decoded_size,decoded_sha256,output_size,output_sha1,bridge_stdout,bridge_stderr,runtime_compatibility,lzx_magic,lzx_compressed_size,expected_unpacked_size,codec,compressed_size,output_sha256,validate_ok,runtime_note,pc_table_normalization,object_start,converted_header_words,converted_page_pointer_words,converted_native_hash_words,converted_static_words,warning,script_header_words_be,code_size,parameter_count,static_count,static_pointer,native_count,native_pointer,page_pointer_table,page_count
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.xsc,action_areas/wilderness/boarwildernessaa.xsc,12566,AFDF515A459E51540226B6A39597C3CE66D5A2BA,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\wilderness\boarwildernessaa.wsc,action_areas/wilderness/boarwildernessaa.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,28672,3E075403227029B32FCE8A59078A77E3F16E141AAEC7CE37354431A46F205CA8,12598,0C8107845B6BA1DEFE102BBF63AB786D718DD4E5,"{""status"":""ok"",""hr"":0,""input_size"":12542,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12542,28672,zstd-level-22-no-content-size,12582,6D732CF8A970B1B9D1AA4E1A54252120AB8018166C176C09EEDDF1F3BA86A094,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,24576,10,2,255,137,,"['0xA8D74300', '0x50005D60', '0x50005D80', '0x00005729', '0x00000000', '0x00000089', '0x50005B30', '0x349D018A', '0x000000FF', '0x50005730']",22313,0,137,23344,255,22320,23936,2
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\cougarwildernessaa.xsc,action_areas/wilderness/cougarwildernessaa.xsc,12564,08736297354EC8100C97B4D154957DD6569F82FE,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\wilderness\cougarwildernessaa.wsc,action_areas/wilderness/cougarwildernessaa.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,28672,517F69CB2ABB13850B20E1653AF7470366FCEE9BF318AD1D9F869494FD54757A,12609,75326123AFB9874F39571F8F45A5192182CE98C5,"{""status"":""ok"",""hr"":0,""input_size"":12540,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12540,28672,zstd-level-22-no-content-size,12593,EFB5EE4A183FD94D0E0E37B6951FF257B6AB1EDE8836641C72A33ABA296A76AE,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,24576,10,2,255,137,,"['0xA8D74300', '0x50005E00', '0x50005E20', '0x000057CD', '0x00000000', '0x00000089', '0x50005BD0', '0x349D018A', '0x000000FF', '0x500057D0']",22477,0,137,23504,255,22480,24096,2
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\wolfwildernessaa.xsc,action_areas/wilderness/wolfwildernessaa.xsc,12556,68DAEF23AF2A634472BF48D1F553A1769ECF5913,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\wilderness\wolfwildernessaa.wsc,action_areas/wilderness/wolfwildernessaa.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,28672,43E9C5B8EC34F8424086985F7D06A0E3603933297A03BCABC0F8913CA93E9760,12596,08A4AED06E31C51C59BCFEF8A6D189438292AE61,"{""status"":""ok"",""hr"":0,""input_size"":12532,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12532,28672,zstd-level-22-no-content-size,12580,CD80B35604917B722E3D05A938475AD835E940CDCBA3B951B5EDC572D01C9400,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,24576,10,2,255,137,,"['0xA8D74300', '0x50005D90', '0x50005DB0', '0x0000575D', '0x00000000', '0x00000089', '0x50005B60', '0x349D018A', '0x000000FF', '0x50005760']",22365,0,137,23392,255,22368,23984,2
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\ctf\ctf_base_game.xsc,ctf/ctf_base_game.xsc,45446,301C5AA2919AF5BFA3C347F17A9BA78209CF6850,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\ctf\ctf_base_game.wsc,ctf/ctf_base_game.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,110592,B05D2D9811735A03AAD84F3AAA58521AB2B413FE4935F78836766E6707709783,45643,ECFAEC2531CB933BDE286C2CF2DD41DCBBDBE1D9,"{""status"":""ok"",""hr"":0,""input_size"":45422,""output_size"":110592,""message"":""""}",,unproven,0x0FF512F1,45422,110592,zstd-level-22-no-content-size,45627,76C2EB0C012053F58FF0810EF1C3BD678710D868198DE8B2334381607A60D52E,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,106496,10,7,592,1319,,"['0xA8D74300', '0x5001AF10', '0x5001AF40', '0x00018EDB', '0x00000000', '0x00000527', '0x50018000', '0x349D018A', '0x00000250', '0x500194A0']",102107,0,1319,98304,592,103584,110400,7
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\deathmatch\deathmatch.xsc,deathmatch/deathmatch.xsc,34574,7A5909CF0F14B595C71A46971E013178418CA37F,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\deathmatch\deathmatch.wsc,deathmatch/deathmatch.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,86016,22DEEF6255AF76172DE8BE594627C99CC16D9EEDC4B64620BB74C36F305D0E0A,34739,318403EA67DECC4E87376D47161B3AB3B693129F,"{""status"":""ok"",""hr"":0,""input_size"":34550,""output_size"":86016,""message"":""""}",,unproven,0x0FF512F1,34550,86016,zstd-level-22-no-content-size,34723,5613835D51E55FC91F9E4E8929318DBCE485642EC7BDD3B98885E202602A8C9E,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,81920,10,5,495,1054,,"['0xA8D74300', '0x50013E30', '0x50013E60', '0x000125E5', '0x00000000', '0x0000041E', '0x500125F0', '0x349D018A', '0x000001EF', '0x50013670']",75237,0,1054,75248,495,79472,81504,5
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\deathmatch\testmatch.xsc,deathmatch/testmatch.xsc,7596,87BAAF6ADC052DC1768707017FE343BC3AD69930,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\deathmatch\testmatch.wsc,deathmatch/testmatch.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,20480,D0BF106EE3B6E4F48F0E99D4DF83471668E71C31AF122A177E6ED6E11C856B30,7613,E6535555BABD80346669F5DC5060197D79F7EF04,"{""status"":""ok"",""hr"":0,""input_size"":7572,""output_size"":20480,""message"":""""}",,unproven,0x0FF512F1,7572,20480,zstd-level-22-no-content-size,7597,790A07D0771EC1F8D1508842DA5A01498AD7BEC3C813C96C2A1BE8562A632336,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,16384,10,1,111,107,,"['0xA8D74300', '0x50003E60', '0x50003E80', '0x00003AE3', '0x00000000', '0x0000006B', '0x50003CB0', '0x349D018A', '0x0000006F', '0x50003AF0']",15075,0,107,15536,111,15088,16000,1
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\freemode\freemode.xsc,freemode/freemode.xsc,47730,E8273C4D88372400873F17FC44FB1B4BEE8473FE,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\freemode\freemode.wsc,freemode/freemode.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,114688,B95809D018FA03C0BCBF8868EE9D0118766C364D70349B1FD95BF75EA2769963,47932,F2A648E9CD922825E404B58574DF3215CCB69BB6,"{""status"":""ok"",""hr"":0,""input_size"":47706,""output_size"":114688,""message"":""""}",,unproven,0x0FF512F1,47706,114688,zstd-level-22-no-content-size,47916,15C5E5BAF59DCBE466885B6F062B259CF6B159D1D8A215C7FC73D8FB40625C8A,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,98304,10,7,556,530,,"['0xA8D74300', '0x5001B0C0', '0x5001B0F0', '0x00019F82', '0x00000000', '0x00000212', '0x5001A870', '0x349D018A', '0x0000022C', '0x50018030']",106370,0,530,108656,556,98352,110832,7
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\mp_help_barker.xsc,mp_help_barker.xsc,556,26F353E2ED6A25421612EFD6A986D7899CA4027B,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\mp_help_barker.wsc,mp_help_barker.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,4096,22C6D763499F2FC83320BD279F7B8BE3A347C9981D435ED37AE557ED9CBA715C,482,8D28716BEA4EEAB3DEDF5FBB0D5447099C3AC4C2,"{""status"":""ok"",""hr"":0,""input_size"":532,""output_size"":4096,""message"":""""}",,unproven,0x0FF512F1,532,4096,zstd-level-15-no-content-size,466,263D6A7EEE45D656170C392D184C18C17561D367582C087AF57C16B149E5AA50,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,0,10,1,9,99,,"['0xA8D74300', '0x500003A0', '0x500003C0', '0x000001A2', '0x00000000', '0x00000063', '0x500001E0', '0x349D018A', '0x00000009', '0x50000370']",418,0,99,480,9,880,960,1
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\mp_idle.xsc,mp_idle.xsc,41412,5F91B6BEBB0BE1F29C13C8720405BFBD02B9289A,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\mp_idle.wsc,mp_idle.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,110592,A36C9475662CA7E72983914B8AD33D06B289B89BA779269B8ED18A6DE4B68A00,41670,93957F823CCB92B254A72AD43F09C5289A9257DB,"{""status"":""ok"",""hr"":0,""input_size"":41388,""output_size"":110592,""message"":""""}",,unproven,0x0FF512F1,41388,110592,zstd-level-19-no-content-size,41654,025C1B7E1E09025281446A20B259DB604818439AD1347A3BE082F5D26B35BDCC,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,106496,10,7,567,25,,"['0xA8D74300', '0x5001A980', '0x5001A9B0', '0x000198F8', '0x00000000', '0x00000019', '0x5001A910', '0x349D018A', '0x00000237', '0x5001A030']",104696,0,25,108816,567,106544,108976,7
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\mp_teleport.xsc,mp_teleport.xsc,4924,D231DC2CAA4BEAA2F1FFEC36287977A4580390C0,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\mp_teleport.wsc,mp_teleport.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,20480,2233CB8A8A9B51B4A7FDE98F416933EE982F6B94610B4EB5A17E138A6DABEF4A,4857,0812A6B68A4F75674FA37F520DAEAC0550EC666F,"{""status"":""ok"",""hr"":0,""input_size"":4900,""output_size"":20480,""message"":""""}",,unproven,0x0FF512F1,4900,20480,zstd-level-22-no-content-size,4841,00DFE1AC324F421BE9732DD39A9524491B43031A073592D97054CF8814F3A9B5,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,16384,10,1,114,341,,"['0xA8D74300', '0x50004760', '0x50004780', '0x00002201', '0x00000033', '0x00000155', '0x50004030', '0x349D018A', '0x00000072', '0x50004590']",8705,51,341,16432,114,17808,18304,1
