variant,archive_path,layer,entry_index,is_resource,resource_type,expected_size,actual_size,expected_sha1,actual_sha1,status,note
A_converted_wsc_tree_only,root/content/release64/multiplayer/action_areas/wilderness/cougarwildernessaa.wsc,converted_xenon_pc_wsc,1715,True,2,12613,12613,7D1326AE7ACF4C94778860E7759F77AFAEBFC839,7D1326AE7ACF4C94778860E7759F77AFAEBFC839,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/action_areas/wilderness/wolfwildernessaa.wsc,converted_xenon_pc_wsc,1716,True,2,12601,12601,4009FD4875E698AB0BD1C167BDA2244630B1832D,4009FD4875E698AB0BD1C167BDA2244630B1832D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/ctf/ctf_base_game.wsc,converted_xenon_pc_wsc,1719,True,2,45649,45649,71CDC54C375F47C1C79006C35E25ACC709CB463D,71CDC54C375F47C1C79006C35E25ACC709CB463D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/deathmatch/deathmatch.wsc,converted_xenon_pc_wsc,1724,True,2,34747,34747,05C05FF5E154953E92C9C529AF324EEF11BEE27A,05C05FF5E154953E92C9C529AF324EEF11BEE27A,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/deathmatch/testmatch.wsc,converted_xenon_pc_wsc,1725,True,2,7612,7612,BBACFCC745E80281D0F75E3807A451FFF4357D8F,BBACFCC745E80281D0F75E3807A451FFF4357D8F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/freemode/freemode.wsc,converted_xenon_pc_wsc,1728,True,2,47921,47921,D5BC42FA3394A2CCBEAB5033AB71591B04CBD71E,D5BC42FA3394A2CCBEAB5033AB71591B04CBD71E,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/mp_help_barker.wsc,converted_xenon_pc_wsc,1662,True,2,482,482,B85F9DD8DED2796D2114F1EFF14EB568C725B2A3,B85F9DD8DED2796D2114F1EFF14EB568C725B2A3,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/mp_idle.wsc,converted_xenon_pc_wsc,1663,True,2,41676,41676,24A3910648EE433FB939C237E73BA017B0F1C88E,24A3910648EE433FB939C237E73BA017B0F1C88E,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/mp_teleport.wsc,converted_xenon_pc_wsc,1664,True,2,4859,4859,BF1321D39AE062896FCAFC57F7533D72B0ACA568,BF1321D39AE062896FCAFC57F7533D72B0ACA568,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/multiplayer_system_thread.wsc,converted_xenon_pc_wsc,1665,True,2,29531,29531,833396B0CE310DE38A2B9A3F915663FD50C68C6D,833396B0CE310DE38A2B9A3F915663FD50C68C6D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
