input,file_name,platform,reader_endian_requested,returncode,duration_seconds,ok,decoded_size,object_start,function_count,decompiled_chars,error,error_type,stdout,stderr,reader_endian
D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass2\magicrdr_validation_inputs\A0_pass2_repack_control\main.wsc,main.wsc,Switch,Auto,0,4.019,True,233472,229376,1989,42751,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\sp_freemode_sector_graft_pass2\\magicrdr_validation_inputs\\A0_pass2_repack_control\\main.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":233472,""object_start"":229376,""function_count"":1989,""decompiled_chars"":42751,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass2\magicrdr_validation_inputs\A1_pass2_callsite_noop_control\main.wsc,main.wsc,Switch,Auto,0,2.061,True,233472,229376,1989,42751,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\sp_freemode_sector_graft_pass2\\magicrdr_validation_inputs\\A1_pass2_callsite_noop_control\\main.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":233472,""object_start"":229376,""function_count"":1989,""decompiled_chars"":42751,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass2\magicrdr_validation_inputs\A2_tes_single_sector\main.wsc,main.wsc,Switch,Auto,0,2.092,True,233472,229376,1989,42751,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\sp_freemode_sector_graft_pass2\\magicrdr_validation_inputs\\A2_tes_single_sector\\main.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":233472,""object_start"":229376,""function_count"":1989,""decompiled_chars"":42751,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass2\magicrdr_validation_inputs\A4_tes_small_set\main.wsc,main.wsc,Switch,Auto,0,2.095,True,233472,229376,1989,42751,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\sp_freemode_sector_graft_pass2\\magicrdr_validation_inputs\\A4_tes_small_set\\main.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":233472,""object_start"":229376,""function_count"":1989,""decompiled_chars"":42751,""error"":""""}",,Little
