root,path,rel,ext,size,sha1,terms,context
D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_pausemenu_savegame.sc.xml.decoded.xml,root_content_ui_pausemenu_savegame.sc.xml.decoded.xml,.xml,15170,a4937eda7b076afdd28923fa4e048dde851ddcdb,fileNoSaveEvent,"L19: <transition event=""fileNoSaveEvent"" consume=""false"">"
D:\Games\Red Dead Redemption\Code_RED\research\menu resources,D:\Games\Red Dead Redemption\Code_RED\research\menu resources\ImportedFileNames.txt,ImportedFileNames.txt,.txt,3574397,124f2ed1121ac1f75977101283870d4441045364,AvatarPicker|Avatar|Net_Profile,L5204: mp_avatarpicker-br.wst || L5205: mp_avatarpicker-chs.wst || L5206: mp_avatarpicker-cht.wst || L5207: mp_avatarpicker-de.wst || L5208: mp_avatarpicker-en.wst || L5209: mp_avatarpicker-es.wst || L5210: mp_avatarpicker-fr.wst || L5211: mp_avatarpicker-it.wst
D:\Games\Red Dead Redemption\Code_RED\research\menu resources,D:\Games\Red Dead Redemption\Code_RED\research\menu resources\root\content\ui\boot.sc.xml,root\content\ui\boot.sc.xml,.xml,37855,413e61f0ca0b3df0a06069f2346f98e30c8464fc,NetMachine,"L119: <onfocused expr=""NetMachine.Authenticate('Online')""></onfocused> || L144: <onshow expr=""NetMachine.ShowSignInUI(true)""></onshow> || L147: <action expr=""NetMachine.Authenticate('Online')""></action> || L173: <onshow expr=""NetMachine.ShowSignInUI(true)""></onshow> || L176: <action expr=""NetMachine.Authenticate('Online')""></action> || L250: <action expr=""NetMachine.SetMultiplayerModeToLaunch('JoinWish')""></action> || L277: <action expr=""NetMachine.SetMultiplayerModeToLaunch('Offline')""></action> || L287: <action expr=""NetMachine.SetMultiplayerModeToLaunch('Offline')""></action>"
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\avatar_picker_research_report.md,avatar_picker_research_report.md,.md,5100,e453937b4f50db73428575e46b7dac4d7381f374,LaunchAvatarPicker|Global_124888|4294967294|AvatarPicker|Avatar|Outfitter|nMPProfile|Net_Profile|Net_Profile_Mount_Select|MpTitleStringId|GET_ACTOR_ENUM_FROM_STRING|UPDATE_STRING_PROFILE_STAT|NetMachine|MP_AvatarGroupSelector|MP_ProfileEditor|Profile_Selected|NetConf_AvatarPicker,L1: # Code RED MP Avatar Picker / Outfitter Access - Research Report || L5: The avatar picker/outfitter path is real and is much narrower than the full MP freeroam problem. || L12: -> NetConf_AvatarPicker || L13: -> NetMachine.SendScriptEvent('LaunchAvatarPicker') || L15: -> DECOR_CHECK_STRING Param LaunchAvatarPicker || L16: -> PC Global_124888 = 4294967294 || L19: The first safe patch should be SCXML-only. It should expose the existing avatar picker event from offline/single-player networking UI without touching WSC bytecode or authentication. || L28: LaunchAvatarPicker
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\avatar_picker_token_inventory.csv,avatar_picker_token_inventory.csv,.csv,5707,91772bd7f1fc365c166ffa0efee09ac663439576,LaunchAvatarPicker|Global_124888|4294967294|AvatarPicker|Avatar|nMPProfile|Net_Profile|Net_Profile_Mount_Select|Global_122919|MpTitleStringId|GET_ACTOR_ENUM_FROM_STRING|fileStartingMPWithoutAutoSave|NetMachine|MP_AvatarGroupSelector|MP_ProfileEditor|NetConf_AvatarPicker,"L2: LaunchAvatarPicker,FUI script event,""imports/fuieventmonitor.wsc; public pc_scripts/fuieventmonitor.c"",""public xbox360_scripts (standard)/fuieventmonitor.c; public xbox360_scripts (goty)/fuieventmonitor.c"",not found in local PSN text scan y || L3: NetConf_AvatarPicker,UI confirmation,""logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_pausemenu_lobby_main.sc.xml.decoded.xml"",""same logical route in public/decompiled MP UI references not directly file-compared"",not found yet,unkn || L4: mp_fe_avatarpicker_tab,UI tab text,""logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_pausemenu_networking.sc.xml.decoded.xml"",unknown,unknown,unknown,""online NetTabs button at networking.sc.xml lines 84-89 routes to NetConf_AvatarPi || L5: nMPProfile,UI state / FUI owner,""public pc_scripts/fuieventmonitor.c; imports/fuieventmonitor.wsc strings"",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie and xbox goty z,""fuieventmonitor handles nMPProfile Mount_ || L6: Net_Profile_Mount_Select,UI list id,""logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_net_profileeditor_main.sc.xml.decoded.xml; fuieventmonitor.wsc strings"",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie || L7: Net_titles,UI list id,""logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_pausemenu_net_titles.sc.xml.decoded.xml; fuieventmonitor.wsc strings"",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie and xbox goty z || L8: MPP_TitleValue,UI label,""logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_pausemenu_net_profile.sc.xml.decoded.xml; fuieventmonitor.wsc strings"",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie and xbox got || L9: MP_AvatarQuit,UI confirmation,""logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_net_profileeditor_main.sc.xml.decoded.xml; fuieventmonitor.wsc strings"",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie and x"
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\candidate_patch_plan.md,candidate_patch_plan.md,.md,2974,79504ea6e86db35e7607d8f1059d97d86587c44b,LaunchAvatarPicker|AvatarPicker|Avatar|Outfitter|NetMachine|MP_AvatarGroupSelector|MP_ProfileEditor|NetConf_AvatarPicker,L1: # Code RED Avatar Picker Candidate Patch Plan || L3: Goal: expose the multiplayer avatar picker/outfitter path from regular PC single-player/offline networking UI without trying to boot full multiplayer. || L5: ## Recommended Variant A - Offline Networking Avatar Event || L10: build/avatar_picker_access_pass1/variant_a_offline_networking_avatar_event/ || L27: 1. Add an avatar picker tab to `NetOfflineTabs`. || L28: 2. Add local `NetConf_AvatarPicker` messagebox definition copied from `lobby/main`. || L32: NetMachine.SendScriptEvent('LaunchAvatarPicker') || L38: NetMachine.Authenticate(...)
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\fuieventmonitor_cross_platform_diff.md,fuieventmonitor_cross_platform_diff.md,.md,3170,c7f39b69a296bab2be0e50162298c592d5dc695c,LaunchAvatarPicker|Global_124888|4294967294|AvatarPicker|Avatar|nMPProfile|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|MP_ProfileEditor|NetConf_AvatarPicker,"L1: # Code RED Avatar Picker - fuieventmonitor Cross-Platform Diff || L3: Scope: compare the persistent FUI event monitor lane for `LaunchAvatarPicker`, profile, mount, and title handling. || L21: Important local string offsets from `reports/avatar_picker/pc_fuieventmonitor_inspect/strings.csv`: || L24: 0x1C4  NetTab_ProfileTitles || L25: 0x1DE  NetTab_Profile || L28: 0x30C  Net_Profile_Mount_Select || L29: 0x5BB  MpTitleStringId || L30: 0x1094 MP_AvatarQuit"
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\scxml_avatar_routes.csv,scxml_avatar_routes.csv,.csv,2098,4ef5ef42a181ec806d480e1fa79e247097246e3c,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|NetMachine|MP_AvatarGroupSelector|MP_ProfileEditor|NetConf_AvatarPicker,"L2: SCXML_ROUTE_001,root_content_ui_pausemenu_networking.sc.xml.decoded.xml,NetworkingLayerOffline / NetTabs,84-89,""Online NetTabs has avatar picker button: desc=mp_fe_avatarpicker_tab -> goto(NetConf_AvatarPicker)"",""existing online UI route"","" || L3: SCXML_ROUTE_002,root_content_ui_pausemenu_networking.sc.xml.decoded.xml,NetworkingLayerOffline / NetOfflineTabs,140-184,""Offline tabs enter NetOfflineTabs and expose public/private/LAN, but no avatar picker button"",""missing offline UI route || L4: SCXML_ROUTE_003,root_content_ui_pausemenu_lobby_main.sc.xml.decoded.xml,NetConf_AvatarPicker,147-163,""MessageBox confirmation exits NetConf_AvatarPicker, calls NetMachine.LeavePosse, sends LaunchAvatarPicker, stackPush(HudSceneOnline)"",""exi || L5: SCXML_ROUTE_004,root_content_ui_net_profileeditor_main.sc.xml.decoded.xml,MP_ProfileEditor,2-60,""Profile editor layer contains buttons for avatar, mount, title; avatar enters MP_AvatarGroupSelector"",""avatar picker surface"",""direct SCXML inc || L6: SCXML_ROUTE_005,root_content_ui_net_profileeditor_main.sc.xml.decoded.xml,MP_AvatarGroupSelector,60-130,""Scrollable avatar group selector with accept/cancel transitions"",""avatar selection menu"",""direct SCXML route candidate"",""Do not patch f || L7: SCXML_ROUTE_006,root_content_ui_pausemenu_net_profile.sc.xml.decoded.xml,MPProfile / MPP_TitleValue / mount labels,3-56,""Profile display panel exists and is included by networking.sc.xml"",""profile display"",""already included"",""Use to confirm"
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\pc_fuieventmonitor_inspect\strings.csv,pc_fuieventmonitor_inspect\strings.csv,.csv,15599,e88cf26ef02b85e0a5fca054ddfee76679383f66,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|fileNoSaveEvent,"L11: 452,0x1C4,20,NetTab_ProfileTitles, || L12: 478,0x1DE,14,NetTab_Profile, || L27: 780,0x30C,24,Net_Profile_Mount_Select, || L47: 1467,0x5BB,15,MpTitleStringId, || L146: 4244,0x1094,13,MP_AvatarQuit, || L149: 4301,0x10CD,10,AvatarQuit, || L150: 4319,0x10DF,13,MP_AvatarQuit, || L247: 6848,0x1AC0,15,fileNoSaveEvent,"
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\pc_fuieventmonitor_inspect\strings.txt,pc_fuieventmonitor_inspect\strings.txt,.txt,8664,35b067471c94ae3ecf1dcd1a27cc912f26dc56f8,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|fileNoSaveEvent,L10: NetTab_ProfileTitles || L11: NetTab_Profile || L26: Net_Profile_Mount_Select || L46: MpTitleStringId || L145: MP_AvatarQuit || L148: AvatarQuit || L149: MP_AvatarQuit || L246: fileNoSaveEvent
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\pc_fuieventmonitor_map\function_context.json,pc_fuieventmonitor_map\function_context.json,.json,526945,83167871bba38119a123dce0acd52f519ffc4e1d,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|fileNoSaveEvent,"L704: ""string_text"": ""NetTab_ProfileTitles"", || L715: ""string_text"": ""NetTab_Profile"", || L880: ""string_text"": ""Net_Profile_Mount_Select"", || L1659: ""string_text"": ""MpTitleStringId"", || L3082: ""string_text"": ""MP_AvatarQuit"", || L3115: ""string_text"": ""AvatarQuit"", || L3126: ""string_text"": ""MP_AvatarQuit"", || L4083: ""string_text"": ""fileNoSaveEvent"","
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\pc_fuieventmonitor_map\script_map.json,pc_fuieventmonitor_map\script_map.json,.json,2294252,7db16bb790543f53a3e4b57c5f67c6353183ce38,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|fileNoSaveEvent,"L97638: ""text"": ""NetTab_ProfileTitles"", || L97645: ""text"": ""NetTab_Profile"", || L97750: ""text"": ""Net_Profile_Mount_Select"", || L97890: ""text"": ""MpTitleStringId"", || L98583: ""text"": ""MP_AvatarQuit"", || L98604: ""text"": ""AvatarQuit"", || L98611: ""text"": ""MP_AvatarQuit"", || L99290: ""text"": ""fileNoSaveEvent"","
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\pc_fuieventmonitor_map\strings.csv,pc_fuieventmonitor_map\strings.csv,.csv,20877,2530f800ea5907c137db4893ae719a995e3fbc4b,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|fileNoSaveEvent,"L11: 452,0x1C4,20,NetTab_ProfileTitles,,unknown || L12: 478,0x1DE,14,NetTab_Profile,,unknown || L27: 780,0x30C,24,Net_Profile_Mount_Select,,unknown || L47: 1467,0x5BB,15,MpTitleStringId,,unknown || L146: 4244,0x1094,13,MP_AvatarQuit,,unknown || L149: 4301,0x10CD,10,AvatarQuit,,unknown || L150: 4319,0x10DF,13,MP_AvatarQuit,,unknown || L247: 6848,0x1AC0,15,fileNoSaveEvent,,event/task name"
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\pc_fuieventmonitor_map\string_context.md,pc_fuieventmonitor_map\string_context.md,.md,48148,6c990d69a3989d185b17a5ed6d8f1da870cdc433,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|fileNoSaveEvent,L55: - Text: `NetTab_ProfileTitles` || L61: - Text: `NetTab_Profile` || L151: - Text: `Net_Profile_Mount_Select` || L253: - Text: `MpTitleStringId` || L847: - Text: `MP_AvatarQuit` || L865: - Text: `AvatarQuit` || L871: - Text: `MP_AvatarQuit` || L1393: - Text: `fileNoSaveEvent`
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\pc_fuieventmonitor_map\string_references.csv,pc_fuieventmonitor_map\string_references.csv,.csv,30724,84c496f01c98274e74153128ead104dc7f2e865d,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|fileNoSaveEvent,"L10: 452,0x1C4,NetTab_ProfileTitles,unknown,450,0x1C2,2,Function_2,0x19F..0x3E8 || L11: 478,0x1DE,NetTab_Profile,unknown,476,0x1DC,2,Function_2,0x19F..0x3E8 || L26: 780,0x30C,Net_Profile_Mount_Select,unknown,778,0x30A,2,Function_2,0x19F..0x3E8 || L43: 1467,0x5BB,MpTitleStringId,unknown,1465,0x5B9,6,Function_6,0x554..0x5D2 || L142: 4244,0x1094,MP_AvatarQuit,unknown,4242,0x1092,11,Function_11,0x6BB..0x1BE7 || L145: 4301,0x10CD,AvatarQuit,unknown,4299,0x10CB,11,Function_11,0x6BB..0x1BE7 || L146: 4319,0x10DF,MP_AvatarQuit,unknown,4317,0x10DD,11,Function_11,0x6BB..0x1BE7 || L233: 6848,0x1AC0,fileNoSaveEvent,event/task name,6846,0x1ABE,11,Function_11,0x6BB..0x1BE7"
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\pc_fuieventmonitor_z_inspect\strings.csv,pc_fuieventmonitor_z_inspect\strings.csv,.csv,13160,8c36911f32ffad126c575cdccd1d655386142d10,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|fileNoSaveEvent,"L10: 452,0x1C4,20,NetTab_ProfileTitles, || L11: 478,0x1DE,14,NetTab_Profile, || L26: 780,0x30C,24,Net_Profile_Mount_Select, || L46: 1467,0x5BB,15,MpTitleStringId, || L72: 2270,0x8DE,13,MP_AvatarQuit, || L75: 2327,0x917,10,AvatarQuit, || L76: 2345,0x929,13,MP_AvatarQuit, || L193: 5088,0x13E0,15,fileNoSaveEvent,"
D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker,D:\Games\Red Dead Redemption\Code_RED\reports\avatar_picker\pc_fuieventmonitor_z_inspect\strings.txt,pc_fuieventmonitor_z_inspect\strings.txt,.txt,7264,215b37549cabda63036387858081d523504de67b,LaunchAvatarPicker|AvatarPicker|Avatar|Net_Profile|Net_Profile_Mount_Select|NetTab_Profile|NetTab_ProfileTitles|MpTitleStringId|fileNoSaveEvent,L9: NetTab_ProfileTitles || L10: NetTab_Profile || L25: Net_Profile_Mount_Select || L45: MpTitleStringId || L71: MP_AvatarQuit || L74: AvatarQuit || L75: MP_AvatarQuit || L192: fileNoSaveEvent
