root,path,rel,ext,size,sha1,terms,context
D:\Games\Red Dead Redemption\Code_RED\imports,D:\Games\Red Dead Redemption\Code_RED\imports\CodeX.Games.RDR1-main\CodeX.Games.RDR1.strings.txt,CodeX.Games.RDR1-main\CodeX.Games.RDR1.strings.txt,.txt,4402324,501915f17afbee436c4cd5cdf0eee1d2a5d8df54,AvatarPicker|Avatar|Net_Profile,L102696: mp_avatar_category || L102697: mp_avatar_confirm_desc || L102698: mp_avatar_confirm_name || L102699: mp_avatar_confirm_title || L102700: mp_avatar_locked || L102701: mp_avatar_locked_help || L102702: mp_avatar_look || L102703: mp_avatar_objective
D:\Games\Red Dead Redemption\Code_RED\imports,D:\Games\Red Dead Redemption\Code_RED\imports\CodeX.Games.RDR1-main\bin\Debug\CodeX_025_RDR1\Codex.Games.RDR1.strings.txt,CodeX.Games.RDR1-main\bin\Debug\CodeX_025_RDR1\Codex.Games.RDR1.strings.txt,.txt,3186199,c4859c5d9032a01d866753637297eaed684c67b4,AvatarPicker|Avatar|Net_Profile,L8239: mp_avatarpicker || L36857: mp_avatar.xas || L36858: mp_avatar_picker.xat || L36859: mp_avatarpicker-de.xst || L36860: mp_avatarpicker-en.xst || L36861: mp_avatarpicker-es.xst || L36862: mp_avatarpicker-fr.xst || L36863: mp_avatarpicker-it.xst
D:\Games\Red Dead Redemption\Code_RED\imports,D:\Games\Red Dead Redemption\Code_RED\imports\CodeX.Games.RDR1-main\bin\Debug\net7.0-windows\Codex.Games.RDR1.strings.txt,CodeX.Games.RDR1-main\bin\Debug\net7.0-windows\Codex.Games.RDR1.strings.txt,.txt,6164601,6429ec709d1a399240bbe28b776e268aae0e7742,AvatarPicker|Avatar|Net_Profile,L5204: mp_avatarpicker-br.wst || L5205: mp_avatarpicker-chs.wst || L5206: mp_avatarpicker-cht.wst || L5207: mp_avatarpicker-de.wst || L5208: mp_avatarpicker-en.wst || L5209: mp_avatarpicker-es.wst || L5210: mp_avatarpicker-fr.wst || L5211: mp_avatarpicker-it.wst
D:\Games\Red Dead Redemption\Code_RED\imports,D:\Games\Red Dead Redemption\Code_RED\imports\CodeX.Games.RDR1-main\bin\Debug\net8.0-windows7.0\Codex.Games.RDR1.strings.txt,CodeX.Games.RDR1-main\bin\Debug\net8.0-windows7.0\Codex.Games.RDR1.strings.txt,.txt,6164601,6429ec709d1a399240bbe28b776e268aae0e7742,AvatarPicker|Avatar|Net_Profile,L5204: mp_avatarpicker-br.wst || L5205: mp_avatarpicker-chs.wst || L5206: mp_avatarpicker-cht.wst || L5207: mp_avatarpicker-de.wst || L5208: mp_avatarpicker-en.wst || L5209: mp_avatarpicker-es.wst || L5210: mp_avatarpicker-fr.wst || L5211: mp_avatarpicker-it.wst
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\boot.sc.xml,ui\boot.sc.xml,.xml,36553,f484e3557ca006f88f55f4bb8ac68e31646964cf,NetMachine,"L119: <onfocused expr=""NetMachine.Authenticate('Online')""></onfocused> || L143: <onshow expr=""NetMachine.ShowSignInUI(true)""></onshow> || L146: <action expr=""NetMachine.Authenticate('Online')""></action> || L172: <onshow expr=""NetMachine.ShowSignInUI(true)""></onshow> || L175: <action expr=""NetMachine.Authenticate('Online')""></action> || L290: <action expr=""NetMachine.SetMultiplayerModeToLaunch('JoinWish')""></action> || L309: <action expr=""NetMachine.SetMultiplayerModeToLaunch('Offline')""></action> || L321: <action expr=""NetMachine.SetMultiplayerModeToLaunch('Offline')""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\generalmenus.sc.xml,ui\generalmenus.sc.xml,.xml,48838,22575735e4d7a3b1fb0a9ad810baa57cfac996bd,fileNoSaveEvent|SG_AutoSaveDisabled,"L703: <transition event=""fileNoSaveEvent"" consume=""false""> || L846: <action expr=""Enter(SG_AutoSaveDisabled)""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\hudscene.sc.xml,ui\hudscene.sc.xml,.xml,30041,f85c04ef827e0809ee561523537885a4b36fac3c,AvatarPicker|Avatar,"L154: <uiobject id=""HudAvatarPicker"">"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\savegame.sc.xml,ui\savegame.sc.xml,.xml,61441,2f1917df8e9b81b3813ad9c2bb71f48fe35655e3,fileStartingMPWithoutAutoSave|fileNoSaveEvent|SG_AutoSaveDisabled,"L76: <transition event=""fileStartingMPWithoutAutoSave""> || L77: <action expr=""Enter(SG_AutoSaveDisabled)""></action> || L438: <action expr=""Enter(SG_AutoSaveDisabled)""></action> || L452: <UIMessageBox id =""SG_AutoSaveDisabled""> || L458: <action expr=""SendEvent('fileNoSaveEvent')""></action> || L459: <action expr=""Exit(SG_AutoSaveDisabled)""></action> || L490: <UIMessageBox id =""SG_AutoSaveDisabledNotSignedIn"" enterParent=""fuckyeah""> || L496: <action expr=""SendEvent('fileNoSaveEvent')""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\net\hudsceneonline.sc.xml,ui\net\hudsceneonline.sc.xml,.xml,8645,8151e6230b37fec9cd40e817dd2bfc0cf26a91c1,NetMachine,"L28: <onactivate expr=""NetMachine.SendNetModeEvent(PlayerList)""></onactivate>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\net\taskmachine.sc.xml,ui\net\taskmachine.sc.xml,.xml,28084,656580ee7169974721d6891db8f316189f10ceca,Avatar|NetMachine,"L33: <action expr=""NetMachine.StartMultiplayer()""  ></action> || L38: <action expr=""NetMachine.TriggerSinglePlayerLoad()""></action> || L57: <action expr=""SetTextCB(AvatarName,'Common_Null')""></action> || L79: <action expr=""NetMachine.TriggerMultiplayerLoad('InviteFail')""></action> || L88: <NetTaskMachine id=""NetMachine"" enterParent=""PBTA""> || L157: <action expr=""NetMachine.ReturnToFreeRoam()""></action> || L164: <action expr=""NetMachine.ReturnToFreeRoam()""></action> || L171: <action expr=""NetMachine.ReturnToFreeRoam()""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\networking.sc.xml,ui\pausemenu\networking.sc.xml,.xml,15914,9f89d9f1f1ae48b605675c7db0a3da4754619f63,AvatarPicker|Avatar|Net_Profile|NetMachine|NetConf_AvatarPicker,"L10: <onhide       expr=""Exit(NetConf_AvatarPicker)""></onhide> || L20: <onfocused expr=""NetMachine.SendNetModeEvent(NetworkingLayerOffline)""></onfocused> || L84: <UIButton desc=""mp_fe_avatarpicker_tab""> || L87: <action expr=""goto(NetConf_AvatarPicker)""></action> || L94: <action expr=""NetMachine.Authenticate('Online Multiplayer')""></action> || L101: <action expr=""NetMachine.Authenticate('Online Multiplayer')""></action> || L154: <action expr=""NetMachine.Authenticate('Online Multiplayer')""></action> || L162: <action expr=""NetMachine.Authenticate('Online Multiplayer')""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\net_profile.sc.xml,ui\pausemenu\net_profile.sc.xml,.xml,3632,96bf775efb891f3cac0fa795ef6df8f3a0fff6ce,Avatar|Net_Profile,"L18: <UILabel id=""MP_titletitle"" text=""Net_Profile_Title""></UILabel> || L24: <UILabel id=""MPP_MountTitle"" text=""Net_Profile_Mount""></UILabel> || L59: <UITexture id=""AvatarImage""  flashObject=""_global.avatar""></UITexture> || L60: <UILabel id=""AvatarName""  flashObject=""_global.avatar""></UILabel>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\net_titles.sc.xml,ui\pausemenu\net_titles.sc.xml,.xml,26013,d81ad493f97ee9ec9969adb13a2a75c2f8ef6ad0,NetTab_Profile|NetTab_ProfileTitles,"L11: <action	expr=""Focus(NetTab_ProfileTitles)""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\savegame.sc.xml,ui\pausemenu\savegame.sc.xml,.xml,15170,a4937eda7b076afdd28923fa4e048dde851ddcdb,fileNoSaveEvent,"L19: <transition event=""fileNoSaveEvent"" consume=""false"">"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\net\profileeditor\main.sc.xml,ui\net\profileeditor\main.sc.xml,.xml,16741,a326c0ffdbe1fe11fe3e6f82323a7f5dfff05e51,Avatar|mp_avatar_group|mp_avatar0|MP_AvatarGroupSelector|MP_AvatarModelSelector|MP_ProfileEditor|Profile_Selected|AvatarGroup_Selected|AvatarModel_Selected,"L2: <UILayer id=""MP_ProfileEditor"" movie=""pause_main""> || L8: <ondeactivate	expr=""SetSelection(MP_AvatarGroupSelector,0)""></ondeactivate> || L44: <action expr=""SendEvent('Profile_Selected')""></action> || L47: <UIButton text=""mp_fe_profile_avatar"" id=""mp_fe_profile_avatar"" target=""Enter(MP_AvatarGroupSelector)""  consume=""false""></UIButton> || L60: <UIScrollableList id=""MP_AvatarGroupSelector"" flashObject=""menu.elements[0]"" scrollable=""true"" allowScrollbar=""true"" MaxHeight=""9""> || L61: <onshow expr=""SetSelection(MP_AvatarGroupSelector,0)"" ></onshow> || L68: <action	expr=""Exit(MP_AvatarGroupSelector)""></action> || L74: <action expr=""SendEvent('AvatarGroup_Cancelled')""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\lobby\currentgamers.sc.xml,ui\pausemenu\lobby\currentgamers.sc.xml,.xml,4437,98f1adbf7089b163a81503b2cdc98dae654825c9,NetMachine,"L6: <onfocused expr=""NetMachine.SendNetModeEvent(NetPlayersList)""   ></onfocused>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\lobby\main.sc.xml,ui\pausemenu\lobby\main.sc.xml,.xml,15426,c16fc93d68b5bebeeb06a02558bce716cce94a63,LaunchAvatarPicker|AvatarPicker|Avatar|NetMachine|NetConf_AvatarPicker,"L24: <onactivate expr=""NetMachine.SendNetModeEvent(OL_NetworkingMenu)"" ></onactivate> || L28: <action expr=""NetMachine.FixupQuickmatchOption()""></action> || L33: <action expr=""NetMachine.FixupQuickmatchOption()""></action> || L38: <action expr=""NetMachine.FixupQuickmatchOption()""></action> || L125: <action expr=""NetMachine.SetGameWish('MULTI_FREE_ROAM')""></action> || L147: <onhide expr=""Exit(NetConf_AvatarPicker)""></onhide> || L148: <UIMessageBox id=""NetConf_AvatarPicker""> || L151: <data name=""description"" expr=""mp_avatarpicker_conf""></data>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\net\lanmenu.sc.xml,ui\pausemenu\net\lanmenu.sc.xml,.xml,1290,e8a6ac52dafdd7d932acbc37a1c22d4b0d607541,NetMachine,"L13: <action expr=""NetMachine.Authenticate('Online Multiplayer')""></action> || L19: <action expr=""NetMachine.Authenticate('Online Multiplayer')""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\net\offlinemenu.sc.xml,ui\pausemenu\net\offlinemenu.sc.xml,.xml,4262,b679e3b71892c190eddbe5578d69f6abcd1e8684,NetMachine,"L35: <onfocused expr=""NetMachine.Authenticate('Online Multiplayer')""></onfocused> || L36: <transition event=""auth.fail_NotOnline"" target=""NetMachine.ShowSignInUI(true)""></transition>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\net\plaympconf.sc.xml,ui\pausemenu\net\plaympconf.sc.xml,.xml,2331,ae4f22dbe2a60f7a18cbb15b0b13b9fb9e2abc33,NetMachine,"L14: <onshow expr=""NetMachine.ResetNewGameWarning(arg2)""></onshow> || L51: <action expr=""NetMachine.TriggerMultiplayerLoad(arg2)""></action> || L55: <UIButton text=""Common_Yes"" icon=""action"" target=""NetMachine.Authenticate(arg1)""></UIButton>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\netstats\errormsgrecovery.sc.xml,ui\pausemenu\netstats\errormsgrecovery.sc.xml,.xml,797,aecd827e8cd4b46159c761af1f53b89421f35263,NetMachine,"L9: <action expr=""NetMachine.Authenticate('Gamespy')""></action> || L19: <action expr=""NetMachine.Authenticate('Online')""></action>"
D:\Games\Red Dead Redemption\Code_RED\game\content_extracted,D:\Games\Red Dead Redemption\Code_RED\game\content_extracted\ui\pausemenu\netstats\main.sc.xml,ui\pausemenu\netstats\main.sc.xml,.xml,11867,e04dec147795f7c889c0e79dbe5d32eda790ca35,NetMachine|stats.readSuccess|stats.readFail,"L69: <transition event=""stats.readSuccess""> || L78: <transition event=""stats.readFail""> || L119: <action expr=""NetMachine.Authenticate('Gamespy')""></action> || L123: <action expr=""NetMachine.Authenticate('Gamespy')""></action> || L127: <action expr=""NetMachine.Authenticate('Gamespy')""></action> || L144: <onshow expr=""NetMachine.ShowSignInUI(true)""></onshow> || L150: <onshow expr=""NetMachine.ShowSignInUI(true)""></onshow> || L175: <action expr=""NetMachine.Authenticate('Gamespy')""></action>"
D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_generalmenus.sc.xml.decoded.xml,root_content_ui_generalmenus.sc.xml.decoded.xml,.xml,48838,22575735e4d7a3b1fb0a9ad810baa57cfac996bd,fileNoSaveEvent|SG_AutoSaveDisabled,"L703: <transition event=""fileNoSaveEvent"" consume=""false""> || L846: <action expr=""Enter(SG_AutoSaveDisabled)""></action>"
D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_hudsceneonline.sc.xml.decoded.xml,root_content_ui_net_hudsceneonline.sc.xml.decoded.xml,.xml,8645,8151e6230b37fec9cd40e817dd2bfc0cf26a91c1,NetMachine,"L28: <onactivate expr=""NetMachine.SendNetModeEvent(PlayerList)""></onactivate>"
D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded,D:\Games\Red Dead Redemption\Code_RED\logs\content_mp_scxml_zstd_probe\decoded\root_content_ui_net_profileeditor_main.sc.xml.decoded.xml,root_content_ui_net_profileeditor_main.sc.xml.decoded.xml,.xml,16741,a326c0ffdbe1fe11fe3e6f82323a7f5dfff05e51,Avatar|mp_avatar_group|mp_avatar0|MP_AvatarGroupSelector|MP_AvatarModelSelector|MP_ProfileEditor|Profile_Selected|AvatarGroup_Selected|AvatarModel_Selected,"L2: <UILayer id=""MP_ProfileEditor"" movie=""pause_main""> || L8: <ondeactivate	expr=""SetSelection(MP_AvatarGroupSelector,0)""></ondeactivate> || L44: <action expr=""SendEvent('Profile_Selected')""></action> || L47: <UIButton text=""mp_fe_profile_avatar"" id=""mp_fe_profile_avatar"" target=""Enter(MP_AvatarGroupSelector)""  consume=""false""></UIButton> || L60: <UIScrollableList id=""MP_AvatarGroupSelector"" flashObject=""menu.elements[0]"" scrollable=""true"" allowScrollbar=""true"" MaxHeight=""9""> || L61: <onshow expr=""SetSelection(MP_AvatarGroupSelector,0)"" ></onshow> || L68: <action	expr=""Exit(MP_AvatarGroupSelector)""></action> || L74: <action expr=""SendEvent('AvatarGroup_Cancelled')""></action>"
