term,offset,offset_hex,context_ascii,context_hex
FREEROAM,349,0x15D,"hread.R.f<.R..Rp.RpfRl.+.l.8W,..<.%.,..Rl..c..o.FREEROAM.Rl..Rl..Rl..9.8.k.,...i..8.j.,.4`Rk.8.=.9.b..j.",68 72 65 61 64 00 52 83 66 3C 87 52 83 1D 52 70 CA 52 70 66 52 6C F0 2B 8B 6C 01 38 57 2C 01 07 3C 84 25 1E 2C 02 08 52 6C DF 06 63 00 0E 6F 09 46 52 45 45 52 4F 41 4D 00 52 6C CF 8C 52 6C C0 8D 52 6C B1 8B 39 08 38 08 6B 01 2C 8F 8C 02 69 00 14 38 08 6A 01 2C 8F 34 60 52 6B FF 38 08 3D 01 39 08 62 FF E1 6A 01
FREEROAM,27613,0x6BDD,"ut.,.5l.5.k.5.{-....,...,.. c..j.2.=pRk.z-....o.FREEROAM.8.r..8.?..8.?..8.? .8.?$~-....A..8.0A..8.?.A..8",75 74 00 2C 03 35 6C 01 35 EE 6B 01 35 EE 7B 2D 00 00 02 00 2C 01 0E 06 2C 01 E4 20 63 00 09 6A 01 32 F2 3D 70 52 6B D6 7A 2D 01 00 03 00 6F 09 46 52 45 45 52 4F 41 4D 00 38 00 72 10 8A 38 00 3F 10 8A 38 00 3F 1C 8B 38 00 3F 20 8B 38 00 3F 24 7E 2D 01 00 03 00 41 FF FE 38 00 30 41 FF FE 38 00 3F 04 41 FF FE 38
multiplayer_update_thread,15231,0x3B7F,"ultiplayer Save Triggered, will be picked up by Multiplayer_update_thread soon enough.....,...R;.8.c...R;.b...R;.R..~-...",75 6C 74 69 70 6C 61 79 65 72 20 53 61 76 65 20 54 72 69 67 67 65 72 65 64 2C 20 77 69 6C 6C 20 62 65 20 70 69 63 6B 65 64 20 75 70 20 62 79 20 4D 75 6C 74 69 70 6C 61 79 65 72 5F 75 70 64 61 74 65 5F 74 68 72 65 61 64 20 73 6F 6F 6E 20 65 6E 6F 75 67 68 00 8B 8B 8B 8B 2C 0E 83 8D 52 3B D3 38 00 63 00 07 8C 52 3B D3 62 00 04 8C 52 3B C4 52 0E 7F 7E 2D 01 00 03
SaveLoad,15171,0x3B43,"....R.K.c......RG..c...R<@.%.R;.b...R;;z-.....o.SaveLoad.oWMultiplayer Save Triggered, will be picked up",00 00 02 00 52 15 4B 06 63 00 18 8C 8E 8C 8C 52 47 D8 06 63 00 0A 8C 52 3C 40 8C 25 08 52 3B FE 62 00 04 8B 52 3B 3B 7A 2D 01 00 03 00 8C 6F 09 53 61 76 65 4C 6F 61 64 00 6F 57 4D 75 6C 74 69 70 6C 61 79 65 72 20 53 61 76 65 20 54 72 69 67 67 65 72 65 64 2C 20 77 69 6C 6C 20 62 65 20 70 69 63 6B 65 64 20 75 70
SaveLoad,33758,0x83DE,".R;.z-....o.SaveGame_DoNotInterruptMe.,...c...o.SaveLoad.o.Multiplayer Save Called.....,..8.c..R.].O.u?,",8D 52 3B C4 7A 2D 01 00 03 00 6F 1A 53 61 76 65 47 61 6D 65 5F 44 6F 4E 6F 74 49 6E 74 65 72 72 75 70 74 4D 65 00 2C 03 04 06 63 00 80 8C 6F 09 53 61 76 65 4C 6F 61 64 00 6F 18 4D 75 6C 74 69 70 6C 61 79 65 72 20 53 61 76 65 20 43 61 6C 6C 65 64 00 8B 8B 8B 8B 2C 0E 83 38 00 63 00 03 52 84 5D 8C 4F 85 75 3F 2C
LoadingScreen,3155,0xC53,"read.R.w+;.,..,.-c.9,.-c.0o.LS_.7.r..%.,..7.u.o.LoadingScreenTexture.7.,./b..,.0,.1z-....R..9.8.8.,.29.8.R..c",72 65 61 64 00 52 0C 77 2B 3B 84 2C 02 08 2C 01 2D 63 00 39 2C 01 2D 63 00 30 6F 04 4C 53 5F 00 37 10 72 08 8C 25 0D 2C 05 2E 37 10 75 08 6F 15 4C 6F 61 64 69 6E 67 53 63 72 65 65 6E 54 65 78 74 75 72 65 00 37 10 2C 04 2F 62 00 03 2C 00 30 2C 00 31 7A 2D 01 00 05 00 52 0C AC 39 03 38 03 38 00 2C 05 32 39 04 38 04 52 0C 96 63
SESSION,446,0x1BE,"9.b..j.2.Rk.Rk.j.,.A..,..j.2.%',..Rk.o.playersInSession..,..l.2.Rk.c..A..Rkmb..A..Rk[%.RkJRk.m.i-Rh..9.",39 08 62 FF E1 6A 01 32 90 52 6B FF 52 6B BC 6A 01 2C 8F 41 06 01 2C 04 09 6A 01 32 F2 25 27 2C 04 0A 52 6B 8D 6F 11 70 6C 61 79 65 72 73 49 6E 53 65 73 73 69 6F 6E 00 8C 2C 07 0B 6C 01 32 F0 52 6B 7F 63 00 09 41 10 00 52 6B 6D 62 00 06 41 10 00 52 6B 5B 25 80 52 6B 4A 52 6B 8D 6D 00 69 2D 52 68 FF 8C 39 09
