old_id,old_name,offset,before_hex,value_hex,after_hex
1200,Chuckwagon,540,6C 79 00 8B 52 2A 37 37,04 B0,37 04 25 57 98 8B 8B 52
1200,Chuckwagon,4919,25 09 4F B7 7C 34 01 41,04 B0,96 8B 8B 52 28 5F 2B 25
