string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
72043,0x1196B,STAT_DECREASE_NOW: You cannot decrease a STAT_TYPE_LIFETIME!,debug/display text,72041,0x11969,227,Function_227,0x118B6..0x11AA3
72152,0x119D8,STAT_DECREASE_NOW: fDecreaseValue < 0.0 - I am turning this into a positive number for you!,debug/display text,72150,0x119D6,227,Function_227,0x118B6..0x11AA3
72365,0x11AAD,chartest,unknown,72363,0x11AAB,228,Function_228,0x11AA3..0x11B37
72513,0x11B41,regiontest,unknown,72511,0x11B3F,229,Function_229,0x11B37..0x11B5B
72549,0x11B65,missiontest,likely logic anchor,72547,0x11B63,230,Function_230,0x11B5B..0x11BD0
72666,0x11BDA,ppp,unknown,72664,0x11BD8,231,Function_231,0x11BD0..0x11C48
72686,0x11BEE,Console Print: ,debug/display text,72684,0x11BEC,231,Function_231,0x11BD0..0x11C48
72731,0x11C1B, ,debug/display text,72729,0x11C19,231,Function_231,0x11BD0..0x11C48
72786,0x11C52,crime,unknown,72784,0x11C50,232,Function_232,0x11C48..0x11EFD
72824,0x11C78,new,unknown,72822,0x11C76,232,Function_232,0x11C48..0x11EFD
72934,0x11CE6,: New Console Crime!,debug/display text,72932,0x11CE4,232,Function_232,0x11C48..0x11EFD
73006,0x11D2E,report,unknown,73004,0x11D2C,232,Function_232,0x11C48..0x11EFD
73145,0x11DB9,upgrade,unknown,73143,0x11DB7,232,Function_232,0x11C48..0x11EFD
73259,0x11E2B,: New Console Crime!,debug/display text,73257,0x11E29,232,Function_232,0x11C48..0x11EFD
73331,0x11E73,finish,unknown,73329,0x11E71,232,Function_232,0x11C48..0x11EFD
73485,0x11F0D,Attempting to CREATE_CRIME_EVENT with an invalid CrimeCategory,debug/display text,73483,0x11F0B,233,Function_233,0x11EFD..0x121B0
73567,0x11F5F,Attempting to CREATE_CRIME_EVENT with an invalid CrimeType,debug/display text,73565,0x11F5D,233,Function_233,0x11EFD..0x121B0
73646,0x11FAE,Attempting to CREATE_CRIME_EVENT with an invalid criminal,debug/display text,73644,0x11FAC,233,Function_233,0x11EFD..0x121B0
73730,0x12002,Attempting to CREATE_CRIME_EVENT with an invalid victim,debug/display text,73728,0x12000,233,Function_233,0x11EFD..0x121B0
73804,0x1204C,Crime is disabled: CREATE_CRIME_EVENT failure,likely logic anchor,73802,0x1204A,233,Function_233,0x11EFD..0x121B0
73874,0x12092,CurrentCrimes,unknown,73872,0x12090,233,Function_233,0x11EFD..0x121B0
74181,0x121C5,CurrentCrimes,unknown,74179,0x121C3,234,Function_234,0x121B0..0x12223
74572,0x1234C,setweather,unknown,74570,0x1234A,242,Function_242,0x12342..0x12400
74618,0x1237A,fair,unknown,74616,0x12378,242,Function_242,0x12342..0x12400
74640,0x12390,rainy,unknown,74638,0x1238E,242,Function_242,0x12342..0x12400
