offset,offset_hex,length,text,population_term,string_class
15,0xF,4,":E?,",,debug/display text
47,0x2F,7,q/:E?Xo,,debug/display text
55,0x37,25,PR_MULTIPLAYER_NET_EVENTS,,event/task name
89,0x59,4,RjtL,,unknown
100,0x64,5,Rj>Ri,,unknown
110,0x6E,11,GAME INVITE,,debug/display text
124,0x7C,21,Ready For Invite Sent,,debug/display text
155,0x9B,18,net.readyForInvite,,unknown
191,0xBF,19,netRandomSessioning,,unknown
219,0xDB,19,netRandomSessioning,,unknown
259,0x103,5,"T:E>,",,unknown
281,0x119,9,":E?,:E>,n",,debug/display text
367,0x16F,8,:E?T:E=T,,debug/display text
380,0x17C,7,":E?,:E=",,debug/display text
395,0x18B,4,":E?,",,debug/display text
400,0x190,5,":E?,b",,debug/display text
414,0x19E,4,:E?l,,debug/display text
419,0x1A3,4,:E?|,,debug/display text
424,0x1A8,4,:E?p,,debug/display text
429,0x1AD,4,:E?x,,debug/display text
434,0x1B2,4,:E?h,,debug/display text
439,0x1B7,4,:E?t,,debug/display text
444,0x1BC,4,:E?D,,debug/display text
449,0x1C1,4,:E?H,,debug/display text
454,0x1C6,4,:E?L,,debug/display text
491,0x1EB,5,:E?dm,,debug/display text
499,0x1F3,10,Rg}RgqRgfj,,unknown
512,0x200,11,"=,%@RgY:E=T",,debug/display text
527,0x20F,6,:E=TA#,,unknown
534,0x216,4,RgFm,,unknown
551,0x227,6,":E?,Rg",,debug/display text
558,0x22E,5,:E>dc,,unknown
585,0x249,5,:E?dm,,debug/display text
609,0x261,5,:E>P8,,unknown
620,0x26C,6,:E?PRf,,debug/display text
648,0x288,6,:E>|RV,,unknown
680,0x2A8,4,R5nc,,unknown
729,0x2D9,5,R5N c,,debug/display text
738,0x2E2,27,net_help_wanted_no_teleport,,likely logic anchor
772,0x304,4,R4yb,,unknown
783,0x30F,22,HUD_MENU_SELECT_MASTER,,unknown
852,0x354,5,:E?l8,,debug/display text
858,0x35A,5,":E?|,",,debug/display text
875,0x36B,9,.:E>l:E?L,,debug/display text
885,0x375,4,:E?l,,debug/display text
890,0x37A,5,:E?|o,,debug/display text
