offset,offset_hex,opcode,width,value,actor_kind,operand_hex
30924,0x78CC,37,1,9,eActorEnum_candidate,09
30975,0x78FF,37,1,12,eActorEnum_candidate,0C
30995,0x7913,65,2,256,eActorEnum_candidate,01 00
31032,0x7938,37,1,13,eActorEnum_candidate,0D
31045,0x7945,37,1,18,eActorEnum_candidate,12
31052,0x794C,37,1,34,eActorEnum_candidate,22
31059,0x7953,37,1,44,eActorEnum_candidate,2C
31066,0x795A,37,1,47,eActorEnum_candidate,2F
31074,0x7962,37,1,10,eActorEnum_candidate,0A
31216,0x79F0,37,1,23,eActorEnum_candidate,17
31225,0x79F9,37,1,23,eActorEnum_candidate,17
31279,0x7A2F,65,2,256,eActorEnum_candidate,01 00
31288,0x7A38,37,1,19,eActorEnum_candidate,13
31318,0x7A56,37,1,24,eActorEnum_candidate,18
31327,0x7A5F,37,1,24,eActorEnum_candidate,18
31367,0x7A87,37,1,12,eActorEnum_candidate,0C
31389,0x7A9D,37,1,12,eActorEnum_candidate,0C
31411,0x7AB3,37,1,25,eActorEnum_candidate,19
31416,0x7AB8,37,1,10,eActorEnum_candidate,0A
31433,0x7AC9,37,1,12,eActorEnum_candidate,0C
31446,0x7AD6,37,1,12,eActorEnum_candidate,0C
31459,0x7AE3,37,1,13,eActorEnum_candidate,0D
31496,0x7B08,37,1,8,eActorEnum_candidate,08
31505,0x7B11,37,1,8,eActorEnum_candidate,08
31523,0x7B23,37,1,9,eActorEnum_candidate,09
31534,0x7B2E,37,1,11,eActorEnum_candidate,0B
31547,0x7B3B,37,1,20,eActorEnum_candidate,14
31554,0x7B42,37,1,57,eActorEnum_candidate,39
31662,0x7BAE,37,1,17,eActorEnum_candidate,11
31699,0x7BD3,37,1,15,eActorEnum_candidate,0F
31708,0x7BDC,37,1,15,eActorEnum_candidate,0F
31716,0x7BE4,37,1,26,eActorEnum_candidate,1A
31732,0x7BF4,65,2,256,eActorEnum_candidate,01 00
31738,0x7BFA,37,1,11,eActorEnum_candidate,0B
31866,0x7C7A,37,1,11,eActorEnum_candidate,0B
31871,0x7C7F,37,1,12,eActorEnum_candidate,0C
31877,0x7C85,37,1,11,eActorEnum_candidate,0B
31886,0x7C8E,37,1,56,eActorEnum_candidate,38
31900,0x7C9C,37,1,9,eActorEnum_candidate,09
31909,0x7CA5,37,1,9,eActorEnum_candidate,09
31918,0x7CAE,37,1,10,eActorEnum_candidate,0A
31927,0x7CB7,37,1,10,eActorEnum_candidate,0A
32252,0x7DFC,37,1,16,eActorEnum_candidate,10
32401,0x7E91,37,1,23,eActorEnum_candidate,17
32406,0x7E96,37,1,24,eActorEnum_candidate,18
32450,0x7EC2,65,2,65534,,FF FE
32591,0x7F4F,65,2,65534,,FF FE
32712,0x7FC8,65,2,32767,,7F FF
32720,0x7FD0,37,1,15,eActorEnum_candidate,0F
32725,0x7FD5,65,2,32767,,7F FF
32749,0x7FED,40,4,1073741824,,40 00 00 00
32768,0x8000,40,4,2147483648,,80 00 00 00
32806,0x8026,65,2,32767,,7F FF
32820,0x8034,65,2,32767,,7F FF
32824,0x8038,37,1,15,eActorEnum_candidate,0F
32841,0x8049,40,4,1073741824,,40 00 00 00
32860,0x805C,40,4,2147483648,,80 00 00 00
33309,0x821D,65,2,457,law_actor,01 C9
33331,0x8233,37,1,23,eActorEnum_candidate,17
33340,0x823C,37,1,23,eActorEnum_candidate,17
33656,0x8378,37,1,30,eActorEnum_candidate,1E
33904,0x8470,65,2,456,law_actor,01 C8
34196,0x8594,37,1,11,eActorEnum_candidate,0B
34202,0x859A,37,1,16,eActorEnum_candidate,10
34209,0x85A1,37,1,15,eActorEnum_candidate,0F
34216,0x85A8,37,1,43,eActorEnum_candidate,2B
34487,0x86B7,37,1,8,eActorEnum_candidate,08
34492,0x86BC,37,1,8,eActorEnum_candidate,08
34600,0x8728,37,1,8,eActorEnum_candidate,08
34605,0x872D,37,1,8,eActorEnum_candidate,08
35102,0x891E,37,1,16,eActorEnum_candidate,10
35241,0x89A9,37,1,16,eActorEnum_candidate,10
35895,0x8C37,65,2,468,gang_actor,01 D4
35906,0x8C42,37,1,16,eActorEnum_candidate,10
35942,0x8C66,40,4,1092616192,,41 20 00 00
35964,0x8C7C,37,1,17,eActorEnum_candidate,11
35977,0x8C89,37,1,8,eActorEnum_candidate,08
35994,0x8C9A,37,1,14,eActorEnum_candidate,0E
36003,0x8CA3,37,1,14,eActorEnum_candidate,0E
36320,0x8DE0,40,4,1092616192,,41 20 00 00
36336,0x8DF0,65,2,468,gang_actor,01 D4
36357,0x8E05,37,1,16,eActorEnum_candidate,10
36491,0x8E8B,65,2,456,law_actor,01 C8
36514,0x8EA2,37,1,8,eActorEnum_candidate,08
36519,0x8EA7,37,1,8,eActorEnum_candidate,08
36939,0x904B,37,1,12,eActorEnum_candidate,0C
36953,0x9059,37,1,18,eActorEnum_candidate,12
36967,0x9067,37,1,24,eActorEnum_candidate,18
36981,0x9075,37,1,18,eActorEnum_candidate,12
36993,0x9081,37,1,24,eActorEnum_candidate,18
37002,0x908A,37,1,25,eActorEnum_candidate,19
37011,0x9093,37,1,26,eActorEnum_candidate,1A
37020,0x909C,37,1,27,eActorEnum_candidate,1B
37029,0x90A5,37,1,28,eActorEnum_candidate,1C
37047,0x90B7,37,1,16,eActorEnum_candidate,10
37451,0x924B,37,1,12,eActorEnum_candidate,0C
38101,0x94D5,37,1,13,eActorEnum_candidate,0D
38809,0x9799,37,1,26,eActorEnum_candidate,1A
38843,0x97BB,37,1,25,eActorEnum_candidate,19
38877,0x97DD,37,1,24,eActorEnum_candidate,18
38911,0x97FF,37,1,23,eActorEnum_candidate,17
38947,0x9823,37,1,26,eActorEnum_candidate,1A
39044,0x9884,37,1,55,eActorEnum_candidate,37
39078,0x98A6,37,1,54,eActorEnum_candidate,36
39112,0x98C8,37,1,27,eActorEnum_candidate,1B
39433,0x9A09,37,1,52,eActorEnum_candidate,34
39467,0x9A2B,37,1,51,eActorEnum_candidate,33
39501,0x9A4D,37,1,50,eActorEnum_candidate,32
39535,0x9A6F,37,1,49,eActorEnum_candidate,31
39569,0x9A91,37,1,17,eActorEnum_candidate,11
39919,0x9BEF,37,1,19,eActorEnum_candidate,13
39979,0x9C2B,37,1,18,eActorEnum_candidate,12
40014,0x9C4E,37,1,17,eActorEnum_candidate,11
40069,0x9C85,37,1,9,eActorEnum_candidate,09
40075,0x9C8B,37,1,16,eActorEnum_candidate,10
40110,0x9CAE,37,1,15,eActorEnum_candidate,0F
40165,0x9CE5,37,1,8,eActorEnum_candidate,08
40327,0x9D87,37,1,9,eActorEnum_candidate,09
40375,0x9DB7,65,2,440,law_actor,01 B8
40785,0x9F51,65,2,4096,,10 00
40802,0x9F62,65,2,4096,,10 00
40821,0x9F75,65,2,473,gang_actor,01 D9
40849,0x9F91,65,2,474,gang_actor,01 DA
40873,0x9FA9,65,2,475,gang_actor,01 DB
40897,0x9FC1,65,2,476,gang_actor,01 DC
40920,0x9FD8,37,1,8,eActorEnum_candidate,08
40926,0x9FDE,37,1,30,eActorEnum_candidate,1E
40933,0x9FE5,37,1,31,eActorEnum_candidate,1F
40949,0x9FF5,37,1,10,eActorEnum_candidate,0A
40966,0xA006,37,1,9,eActorEnum_candidate,09
40977,0xA011,37,1,30,eActorEnum_candidate,1E
40982,0xA016,65,2,473,gang_actor,01 D9
40988,0xA01C,65,2,473,gang_actor,01 D9
40998,0xA026,37,1,30,eActorEnum_candidate,1E
41007,0xA02F,37,1,30,eActorEnum_candidate,1E
41252,0xA124,40,4,1073741824,,40 00 00 00
41287,0xA147,65,2,16384,,40 00
41510,0xA226,37,1,12,eActorEnum_candidate,0C
41518,0xA22E,37,1,20,eActorEnum_candidate,14
41527,0xA237,37,1,16,eActorEnum_candidate,10
41715,0xA2F3,37,1,16,eActorEnum_candidate,10
41722,0xA2FA,37,1,19,eActorEnum_candidate,13
42165,0xA4B5,37,1,12,eActorEnum_candidate,0C
42170,0xA4BA,37,1,255,eActorEnum_candidate,FF
42197,0xA4D5,37,1,15,eActorEnum_candidate,0F
42225,0xA4F1,37,1,105,eActorEnum_candidate,69
42445,0xA5CD,37,1,90,eActorEnum_candidate,5A
42509,0xA60D,65,2,275,eActorEnum_candidate,01 13
42603,0xA66B,37,1,255,eActorEnum_candidate,FF
42620,0xA67C,37,1,255,eActorEnum_candidate,FF
42650,0xA69A,65,2,275,eActorEnum_candidate,01 13
42680,0xA6B8,65,2,275,eActorEnum_candidate,01 13
42945,0xA7C1,65,2,275,eActorEnum_candidate,01 13
43025,0xA811,37,1,15,eActorEnum_candidate,0F
43030,0xA816,37,1,255,eActorEnum_candidate,FF
43040,0xA820,37,1,255,eActorEnum_candidate,FF
43043,0xA823,37,1,12,eActorEnum_candidate,0C
44307,0xAD13,37,1,38,eActorEnum_candidate,26
46134,0xB436,37,1,62,eActorEnum_candidate,3E
46819,0xB6E3,65,2,1078,eActorEnum_candidate,04 36
46965,0xB775,37,1,14,eActorEnum_candidate,0E
47031,0xB7B7,40,4,3212836864,,BF 80 00 00
47191,0xB857,37,1,39,eActorEnum_candidate,27
47563,0xB9CB,37,1,39,eActorEnum_candidate,27
47747,0xBA83,37,1,17,eActorEnum_candidate,11
48010,0xBB8A,37,1,79,eActorEnum_candidate,4F
48250,0xBC7A,37,1,8,eActorEnum_candidate,08
48516,0xBD84,37,1,17,eActorEnum_candidate,11
48534,0xBD96,37,1,39,eActorEnum_candidate,27
49128,0xBFE8,37,1,79,eActorEnum_candidate,4F
49207,0xC037,37,1,13,eActorEnum_candidate,0D
49218,0xC042,65,2,65534,,FF FE
49377,0xC0E1,37,1,17,eActorEnum_candidate,11
49381,0xC0E5,37,1,39,eActorEnum_candidate,27
49548,0xC18C,37,1,79,eActorEnum_candidate,4F
49634,0xC1E2,37,1,17,eActorEnum_candidate,11
49638,0xC1E6,37,1,39,eActorEnum_candidate,27
49831,0xC2A7,37,1,79,eActorEnum_candidate,4F
50347,0xC4AB,37,1,45,eActorEnum_candidate,2D
50353,0xC4B1,37,1,45,eActorEnum_candidate,2D
50400,0xC4E0,37,1,8,eActorEnum_candidate,08
50424,0xC4F8,37,1,45,eActorEnum_candidate,2D
50750,0xC63E,37,1,80,eActorEnum_candidate,50
50752,0xC640,65,2,20000,,4E 20
50953,0xC709,65,2,65534,,FF FE
51132,0xC7BC,37,1,146,eActorEnum_candidate,92
51138,0xC7C2,37,1,146,eActorEnum_candidate,92
51153,0xC7D1,37,1,146,eActorEnum_candidate,92
51160,0xC7D8,37,1,146,eActorEnum_candidate,92
51183,0xC7EF,37,1,145,eActorEnum_candidate,91
51338,0xC88A,37,1,145,eActorEnum_candidate,91
51445,0xC8F5,65,2,8192,,20 00
51464,0xC908,37,1,146,eActorEnum_candidate,92
51525,0xC945,65,2,65534,,FF FE
51788,0xCA4C,37,1,146,eActorEnum_candidate,92
51973,0xCB05,37,1,10,eActorEnum_candidate,0A
52224,0xCC00,37,1,8,eActorEnum_candidate,08
52409,0xCCB9,37,1,10,eActorEnum_candidate,0A
52652,0xCDAC,37,1,8,eActorEnum_candidate,08
52871,0xCE87,37,1,8,eActorEnum_candidate,08
52912,0xCEB0,37,1,8,eActorEnum_candidate,08
52963,0xCEE3,37,1,8,eActorEnum_candidate,08
53022,0xCF1E,37,1,8,eActorEnum_candidate,08
53255,0xD007,37,1,32,eActorEnum_candidate,20
53295,0xD02F,37,1,32,eActorEnum_candidate,20
53804,0xD22C,65,2,415,eActorEnum_candidate,01 9F
53829,0xD245,37,1,26,eActorEnum_candidate,1A
53845,0xD255,65,2,416,eActorEnum_candidate,01 A0
53870,0xD26E,37,1,27,eActorEnum_candidate,1B
53886,0xD27E,65,2,422,eActorEnum_candidate,01 A6
53911,0xD297,37,1,28,eActorEnum_candidate,1C
53927,0xD2A7,65,2,423,eActorEnum_candidate,01 A7
53952,0xD2C0,37,1,29,eActorEnum_candidate,1D
53968,0xD2D0,65,2,418,eActorEnum_candidate,01 A2
53993,0xD2E9,37,1,30,eActorEnum_candidate,1E
54009,0xD2F9,65,2,419,eActorEnum_candidate,01 A3
54034,0xD312,37,1,31,eActorEnum_candidate,1F
54050,0xD322,65,2,397,eActorEnum_candidate,01 8D
54075,0xD33B,37,1,12,eActorEnum_candidate,0C
54091,0xD34B,65,2,398,eActorEnum_candidate,01 8E
54116,0xD364,37,1,32,eActorEnum_candidate,20
54132,0xD374,65,2,403,eActorEnum_candidate,01 93
54157,0xD38D,37,1,33,eActorEnum_candidate,21
54173,0xD39D,65,2,404,eActorEnum_candidate,01 94
54198,0xD3B6,37,1,34,eActorEnum_candidate,22
54214,0xD3C6,65,2,400,eActorEnum_candidate,01 90
54239,0xD3DF,37,1,35,eActorEnum_candidate,23
54255,0xD3EF,65,2,401,eActorEnum_candidate,01 91
54280,0xD408,37,1,36,eActorEnum_candidate,24
54296,0xD418,65,2,496,gang_actor,01 F0
54321,0xD431,37,1,13,eActorEnum_candidate,0D
54337,0xD441,65,2,497,gang_actor,01 F1
54362,0xD45A,37,1,14,eActorEnum_candidate,0E
54378,0xD46A,65,2,502,gang_actor,01 F6
54403,0xD483,37,1,17,eActorEnum_candidate,11
54419,0xD493,65,2,503,gang_actor,01 F7
54459,0xD4BB,65,2,499,gang_actor,01 F3
54484,0xD4D4,37,1,18,eActorEnum_candidate,12
54500,0xD4E4,65,2,500,gang_actor,01 F4
54525,0xD4FD,37,1,19,eActorEnum_candidate,13
54541,0xD50D,65,2,477,gang_actor,01 DD
54581,0xD535,65,2,478,gang_actor,01 DE
54606,0xD54E,37,1,42,eActorEnum_candidate,2A
54622,0xD55E,65,2,483,gang_actor,01 E3
54647,0xD577,37,1,41,eActorEnum_candidate,29
54663,0xD587,65,2,484,gang_actor,01 E4
54703,0xD5AF,65,2,480,gang_actor,01 E0
54743,0xD5D7,65,2,481,gang_actor,01 E1
54783,0xD5FF,65,2,505,gang_actor,01 F9
54808,0xD618,37,1,43,eActorEnum_candidate,2B
54824,0xD628,65,2,506,gang_actor,01 FA
54849,0xD641,37,1,44,eActorEnum_candidate,2C
54865,0xD651,65,2,513,gang_actor,02 01
54890,0xD66A,37,1,15,eActorEnum_candidate,0F
54906,0xD67A,65,2,514,gang_actor,02 02
54946,0xD6A2,65,2,508,gang_actor,01 FC
54971,0xD6BB,37,1,16,eActorEnum_candidate,10
54987,0xD6CB,65,2,509,gang_actor,01 FD
55027,0xD6F3,65,2,486,gang_actor,01 E6
55052,0xD70C,37,1,45,eActorEnum_candidate,2D
55068,0xD71C,65,2,487,gang_actor,01 E7
55093,0xD735,37,1,46,eActorEnum_candidate,2E
55109,0xD745,65,2,492,gang_actor,01 EC
55134,0xD75E,37,1,8,eActorEnum_candidate,08
55150,0xD76E,65,2,493,gang_actor,01 ED
55175,0xD787,37,1,9,eActorEnum_candidate,09
55191,0xD797,65,2,489,gang_actor,01 E9
55216,0xD7B0,37,1,10,eActorEnum_candidate,0A
55232,0xD7C0,65,2,490,gang_actor,01 EA
55257,0xD7D9,37,1,11,eActorEnum_candidate,0B
55273,0xD7E9,65,2,467,gang_actor,01 D3
55298,0xD802,37,1,47,eActorEnum_candidate,2F
55314,0xD812,65,2,468,gang_actor,01 D4
55339,0xD82B,37,1,48,eActorEnum_candidate,30
55355,0xD83B,65,2,406,eActorEnum_candidate,01 96
55380,0xD854,37,1,20,eActorEnum_candidate,14
55396,0xD864,65,2,407,eActorEnum_candidate,01 97
55421,0xD87D,37,1,21,eActorEnum_candidate,15
55437,0xD88D,65,2,412,eActorEnum_candidate,01 9C
55462,0xD8A6,37,1,22,eActorEnum_candidate,16
55478,0xD8B6,65,2,413,eActorEnum_candidate,01 9D
55503,0xD8CF,37,1,23,eActorEnum_candidate,17
55519,0xD8DF,65,2,410,eActorEnum_candidate,01 9A
55544,0xD8F8,37,1,24,eActorEnum_candidate,18
55560,0xD908,65,2,411,eActorEnum_candidate,01 9B
55585,0xD921,37,1,25,eActorEnum_candidate,19
55601,0xD931,65,2,787,eActorEnum_candidate,03 13
55626,0xD94A,37,1,60,eActorEnum_candidate,3C
55784,0xD9E8,37,1,8,eActorEnum_candidate,08
55806,0xD9FE,37,1,8,eActorEnum_candidate,08
55886,0xDA4E,65,2,358,eActorEnum_candidate,01 66
55892,0xDA54,65,2,359,eActorEnum_candidate,01 67
56094,0xDB1E,37,1,14,eActorEnum_candidate,0E
56237,0xDBAD,65,2,1118,eActorEnum_candidate,04 5E
56275,0xDBD3,65,2,1087,eActorEnum_candidate,04 3F
