offset,offset_hex,opcode,width,value,actor_kind,operand_hex,candidate_source
25758,0x649E,,2,824,eActorEnum_candidate,03 38,raw_u16be_window
25760,0x64A0,,2,366,eActorEnum_candidate,01 6E,raw_u16be_window
25762,0x64A2,,2,768,eActorEnum_candidate,03 00,raw_u16be_window
25763,0x64A3,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
25764,0x64A4,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
25765,0x64A5,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
25766,0x64A6,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
25767,0x64A7,,2,15,eActorEnum_candidate,00 0F,raw_u16be_window
25769,0x64A9,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
25770,0x64AA,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
25771,0x64AB,,2,1,eActorEnum_candidate,00 01,raw_u16be_window
25772,0x64AC,,2,256,eActorEnum_candidate,01 00,raw_u16be_window
25773,0x64AD,,2,108,eActorEnum_candidate,00 6C,raw_u16be_window
25775,0x64AF,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
25776,0x64B0,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
25777,0x64B1,,2,2,eActorEnum_candidate,00 02,raw_u16be_window
25778,0x64B2,,2,512,gang_actor,02 00,raw_u16be_window
25779,0x64B3,,2,192,eActorEnum_candidate,00 C0,raw_u16be_window
25782,0x64B6,,2,288,eActorEnum_candidate,01 20,raw_u16be_window
25785,0x64B9,,2,907,eActorEnum_candidate,03 8B,raw_u16be_window
25788,0x64BC,,2,79,eActorEnum_candidate,00 4F,raw_u16be_window
25795,0x64C3,,2,279,eActorEnum_candidate,01 17,raw_u16be_window
25798,0x64C6,,2,6,eActorEnum_candidate,00 06,raw_u16be_window
25804,0x64CC,,2,25,eActorEnum_candidate,00 19,raw_u16be_window
25807,0x64CF,,2,908,eActorEnum_candidate,03 8C,raw_u16be_window
25810,0x64D2,,2,79,eActorEnum_candidate,00 4F,raw_u16be_window
25817,0x64D9,,2,279,eActorEnum_candidate,01 17,raw_u16be_window
25820,0x64DC,,2,6,eActorEnum_candidate,00 06,raw_u16be_window
25826,0x64E2,,2,3,eActorEnum_candidate,00 03,raw_u16be_window
25827,0x64E3,,2,908,eActorEnum_candidate,03 8C,raw_u16be_window
25832,0x64E8,,2,1163,vehicle_actor,04 8B,raw_u16be_window
25835,0x64EB,,2,79,eActorEnum_candidate,00 4F,raw_u16be_window
25844,0x64F4,,2,359,eActorEnum_candidate,01 67,raw_u16be_window
25846,0x64F6,,2,6,eActorEnum_candidate,00 06,raw_u16be_window
25852,0x64FC,,2,26,eActorEnum_candidate,00 1A,raw_u16be_window
25855,0x64FF,,2,1164,vehicle_actor,04 8C,raw_u16be_window
25858,0x6502,,2,79,eActorEnum_candidate,00 4F,raw_u16be_window
25867,0x650B,,2,359,eActorEnum_candidate,01 67,raw_u16be_window
25869,0x650D,,2,6,eActorEnum_candidate,00 06,raw_u16be_window
25875,0x6513,,2,3,eActorEnum_candidate,00 03,raw_u16be_window
25876,0x6514,,2,908,eActorEnum_candidate,03 8C,raw_u16be_window
25881,0x6519,,2,228,eActorEnum_candidate,00 E4,raw_u16be_window
25884,0x651C,,2,907,eActorEnum_candidate,03 8B,raw_u16be_window
25887,0x651F,,2,79,eActorEnum_candidate,00 4F,raw_u16be_window
25894,0x6526,,2,279,eActorEnum_candidate,01 17,raw_u16be_window
25897,0x6529,,2,6,eActorEnum_candidate,00 06,raw_u16be_window
25903,0x652F,,2,25,eActorEnum_candidate,00 19,raw_u16be_window
25906,0x6532,,2,908,eActorEnum_candidate,03 8C,raw_u16be_window
25909,0x6535,,2,79,eActorEnum_candidate,00 4F,raw_u16be_window
25916,0x653C,,2,279,eActorEnum_candidate,01 17,raw_u16be_window
25919,0x653F,,2,6,eActorEnum_candidate,00 06,raw_u16be_window
25925,0x6545,,2,3,eActorEnum_candidate,00 03,raw_u16be_window
25926,0x6546,,2,908,eActorEnum_candidate,03 8C,raw_u16be_window
25937,0x6551,,2,313,eActorEnum_candidate,01 39,raw_u16be_window
25944,0x6558,,2,7,eActorEnum_candidate,00 07,raw_u16be_window
25948,0x655C,,2,1281,eActorEnum_candidate,05 01,raw_u16be_window
25949,0x655D,,2,354,eActorEnum_candidate,01 62,raw_u16be_window
